trial_type.Alegría	trial_type.Enojo	trial_type.SinRostro	trial_type.Tristeza	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	intercept
-7.35395502133527e-08	-9.03831495604934e-12	0.0020354992071012	9.177942069667794e-17	0.0679180068101464	1.93697187400232e-16	-1.323244236317991e-16	0.004612855649064	0.0272690486610681	-5.259590135000156e-17	-9.404622886379734e-16	0.0007436010148794	0.0849325942078856	-2.0239554445833402e-16	-5.922224339094823e-16	0.0072135455588806	-0.0037896788562085	3.022694462313309e-16	-7.872538066150855e-16	1.4361665836968982e-05	0.0010127444299455	1.9301523227478327e-16	2.2082203975943695e-16	1.0256512798513492e-06	-0.000654583709151	4.736388267143957e-16	3.876326444646082e-16	4.284798323839079e-07	0.0944887950000013	0.0944818252000017	0.0944702094000009	0.0944539479000016	0.094433041800001	0.0944074919000013	1
1.2585233779064602e-06	2.4824835621634955e-11	0.0006566136822988	-2.491412898888789e-16	0.0707566115236493	0.0028386047135033	8.057676719352573e-06	0.0050064980743097	0.0269963923001194	-0.0002726563609484	7.434149008140764e-08	0.0007288051972215	0.1075798732672692	0.0226472790593849	0.0005128992487936	0.0115734291322004	-0.0032416411508517	0.0005480377053568	3.0034532563390574e-07	1.0508237352822204e-05	0.0010126622495376	-8.218040759551802e-08	6.797301776968976e-15	1.0254848308874354e-06	-0.0007148611606529	-6.027745150150994e-05	3.633371985382321e-09	5.11026479012196e-07	0.0944702094000017	0.0944074919000016	0.0943029937000009	0.0941567609000014	0.0939688583000008	0.0937393690000011	1
-6.07099887780713e-06	-6.684770666877713e-11	0.1584025036605887	-2.921025035949514e-16	0.0818806662711339	0.0111240547474843	0.0001237445940244	0.0067044435090074	0.0469287904158762	0.0199323981157568	0.0003973004946442	0.0022023113698965	0.0738226389061505	-0.0337572343611195	0.0011395508717111	0.0054497820150673	-0.0022548059974841	0.0009868351533676	9.738436190288896e-07	5.0841500838622e-06	0.0011713778053774	0.0001587155558395	2.519062731456164e-08	1.3721259629564884e-06	-0.0003341797543058	0.0003806814063474	1.449183345938823e-07	1.1167610561030365e-07	0.0944330418000014	0.0942588838000011	0.093968858300001	0.0935633218000012	0.0930427729000009	0.0924078514000009	1
2.2984574877920735e-05	1.7659377743673822e-10	0.4534043304571722	-9.967734011556838e-16	0.0665884906412383	-0.0152921756298964	0.0002338506354954	0.0044340270858791	0.0307048165092135	-0.0162239739066627	0.0002632173293232	0.000942785756864	0.076253863123667	0.0024312242175172	5.910851195212213e-06	0.0058146516412826	-0.0023381109007751	-8.330490329136808e-05	6.939706580322608e-09	5.4667625850700895e-06	0.0012802266617149	0.0001088488563376	1.1848073270187334e-08	1.6389803058232734e-06	-0.0006200046881474	-0.0002858249338419	8.16958925763325e-08	3.844058125257244e-07	0.0943772996000009	0.0940361177000009	0.0934683946000009	0.0926754979000015	0.0916593379000009	0.0904223624000011	1
-7.810667348042651e-05	-4.576673370959624e-10	0.459180981195888	-9.22583309863663e-18	0.0665926641406152	4.173499377354704e-06	1.7417847644380913e-11	0.0044345829173453	0.0408262307687575	0.0101214142595445	0.0001024430266122	0.0016667811187831	0.0884962495998991	0.0122423864762318	0.0001498760266328	0.0078315861932473	-0.0027611022832837	-0.0004229913825092	1.789217099093117e-07	7.623685820626921e-06	0.0011279899428327	-0.0001522367188822	2.3176018526867173e-08	1.2723613110052366e-06	-0.0007149443406858	-9.493965253866928e-05	9.013537810423413e-09	5.111454100078669e-07	0.0943029937000009	0.0937393690000008	0.0928024885000011	0.0914960826000012	0.0898253534000009	0.087796953300001	1
0.0002511691388741	1.1626758607193166e-09	0.2564714747033665	5.440783934957789e-16	0.0666036721271447	1.1007986529555214e-05	1.211756210791164e-10	0.0044360491408208	0.0403664924714916	-0.0004597382972662	2.113593009839694e-07	0.0016294537144505	0.0836940556164619	-0.0048021939834372	2.3061067053979694e-05	0.0070046949455307	-0.0025820924653113	0.0001790098179729	3.204451458066967e-08	6.667201500186652e-06	0.0011489253875718	2.093544473933842e-05	4.3829250872682315e-10	1.3200295464049443e-06	-0.000715018349906	-7.400922002574873e-08	5.982713565325518e-15	5.112512401413032e-07	0.0942101387000012	0.0933688711000007	0.091972318600001	0.0900287868000013	0.0875498343000008	0.0845502041000009	1
-0.0007463010395676	-2.890416810712597e-09	0.2528232870162842	-6.403766681346306e-15	0.0504273660309589	-0.0161763060961854	0.0002616728789186	0.002542919244819	0.0058401680319933	-0.0345263244394983	0.0011920670793012	3.410756264196808e-05	0.1165444917788963	0.0328504361624348	0.0010791511560637	0.013582618564	-0.0001358737341715	0.0024462187311401	5.98398608228395e-06	1.846167133166488e-08	0.0008526006192753	-0.0002963247682971	8.780836750684643e-08	7.269278155278443e-07	-0.0014699425519367	-0.000754924202031	5.699105507637531e-07	2.1607311069407617e-06	0.0940987529000017	0.0929249155000015	0.0909793543000012	0.0882782271000014	0.0848439661000009	0.0807050921000009	1
0.0018485490939933	7.011115044133297e-09	0.4563680942694927	2.7868361064416564e-14	0.0664449470669696	0.0160175810360116	0.0002565629022463	0.0044149309907323	0.0159672951127149	0.0101271270807226	0.0001025587029076	0.0002549545132155	0.0956934326013365	-0.0208510591775597	0.000434766668826	0.0091572330430258	-0.0004358893885966	-0.0003000156544273	9.000939422613492e-08	1.899995575069798e-07	0.0008528127712252	2.1215194951012454e-07	4.503447807064313e-14	7.272896223405898e-07	-0.0014323153605352	3.762719140083569e-05	1.4158054011670483e-09	2.0515272920864165e-06	0.0939688583000014	0.0924078514000009	0.0898253534000011	0.0862499114000013	0.0817210491000009	0.0762888293000007	1
0.0018119309528187	-1.6514817808779732e-08	0.4162518056361301	-1.0226569597736669e-13	0.0537955610671192	-0.012649385999851	0.0001600069661735	0.0028939623905254	0.047289035843533	0.0313217407308185	0.0009810514424085	0.0022362529110103	0.0409809802902705	-0.0547124523110667	0.002993452437892	0.0016794407455518	-0.0013886053653777	-0.0009527159767811	9.07667732270204e-07	1.9282248610656327e-06	0.0011029986401487	0.0002501858689237	6.259296893228362e-08	1.2166060008210507e-06	-0.0007167345336385	0.0007155808268967	5.120559194293884e-07	5.137083910180459e-07	0.0938204803000006	0.091818085800001	0.0885123583000009	0.0839502217000009	0.0781964342000009	0.0713326694000009	1
0.1669532960209853	3.748094433215555e-08	0.2054029133799709	3.371209494786349e-13	0.0665092174554628	0.0127136563883438	0.0001616370587609	0.0044234760065379	0.0799693050883415	0.0326802692448082	0.0010679999979124	0.0063950897563122	0.0828177616405407	0.0418367813502714	0.0017503162737513	0.0068587816431485	5.077514066686314e-05	0.0014393805060455	2.0718162416606274e-06	2.578111667382874e-09	0.0008519842446823	-0.0002510143954657	6.300822623262687e-08	7.25877151931481e-07	-0.0006460214450083	7.071308862924993e-05	5.000341440936482e-09	4.173437058798712e-07	0.0936536481000013	0.0911560825000013	0.0870426931000009	0.081386393400001	0.0742874465000007	0.0658716875000008	1
