img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-3170_run-1	mni152	0.9217459583559198	86.95889236508032	13.04110763491968	6.6680603212133445
sub-1286_run-1	mni152	0.9030721986986107	82.96881824670551	17.031181753294486	4.87158316131857
sub-3210_run-1	mni152	0.9394553637142409	89.34502727140595	10.65497272859405	8.385289155329001
sub-1021_run-1	mni152	0.9140047603600364	84.76689647173107	15.233103528268924	5.564650454480559
sub-1243_run-1	mni152	0.9056796967921402	83.71882951196076	16.281170488039244	5.142064544650751
sub-1240_run-1	mni152	0.9253519202940867	86.7839757609063	13.216024239093707	6.566572078779536
sub-1010_run-1	mni152	0.9327670567027732	88.7472818596674	11.25271814033261	7.886741741230905
sub-1004_run-1	mni152	0.9229087881890401	86.29218788618816	13.70781211381184	6.29511020210447
sub-3223_run-1	mni152	0.9098300088710178	86.20166275200255	13.79833724799745	6.2472500274997245
sub-3175_run-1	mni152	0.9339612432616581	88.54656685792453	11.453433142075465	7.731006568907172
sub-3166_run-1	mni152	0.9259673620625358	87.40893294829462	12.591067051705377	6.942138628072484
sub-1294_run-1	mni152	0.9236775997724903	86.44829064884367	13.551709351156326	6.379142911699718
sub-1253_run-1	mni152	0.9187606714175965	85.60669027105996	14.393309728940034	5.947672348003053
sub-3189_run-1	mni152	0.9285727110768857	87.68438384241799	12.315616157582014	7.119772386575703
sub-3206_run-1	mni152	0.9209269881555017	86.02224160970061	13.977758390299389	6.154222959627084
sub-1249_run-1	mni152	0.9311487591914519	88.02920369691911	11.970796303080892	7.353663153909258
sub-3167_run-1	mni152	0.9218224377524716	86.29056415376934	13.709435846230654	6.294246176256372
sub-1242_run-1	mni152	0.9296087558283774	87.75500214619747	12.244997853802534	7.166600043049107
sub-1300_run-1	mni152	0.9318963411948867	88.26339857880647	11.73660142119353	7.520354096665805
sub-1247_run-1	mni152	0.9263329729857923	86.75047102937965	13.249528970620354	6.547438118120355
sub-1019_run-1	mni152	0.9179443447917586	85.3641551054637	14.635844894536307	5.832540295458508
sub-3122_run-1	mni152	0.9227336675451285	86.61161328720753	13.388386712792471	6.469159813291843
sub-1303_run-1	mni152	0.926654117404876	86.89826965983465	13.101730340165348	6.632579621443954
sub-1301_run-1	mni152	0.9330530497789177	88.08466732189324	11.915332678106772	7.392547879400797
sub-3125_run-1	mni152	0.9290806545053484	87.56938111482646	12.430618885173551	7.044651752558646
sub-3212_run-1	mni152	0.9062934166020201	84.04737656614127	15.952623433858735	5.26856143220647
sub-1302_run-1	mni152	0.9180194933001622	85.6659026124776	14.334097387522407	5.976372302803547
sub-3199_run-1	mni152	0.9281932933473344	86.97213502966605	13.02786497033394	6.675854810263413
sub-3101_run-1	mni152	0.9363396134379592	89.23838833243045	10.761611667569552	8.29228846840414
sub-3116_run-1	mni152	0.9274217016298097	86.97899454533977	13.021005454660225	6.679898480052471
sub-3186_run-1	mni152	0.9250685150437135	86.50837875438681	13.491621245613194	6.412007658643326
sub-3220_run-1	mni152	0.9231579447541814	86.58857261706679	13.411427382933205	6.456327887011908
sub-1009_run-1	mni152	0.9344122081528247	88.00326706780665	11.996732932193357	7.335602748282324
sub-1007_run-1	mni152	0.9169641404429075	85.26955145849814	14.730448541501847	5.788659538659537
sub-3140_run-1	mni152	0.9225454960575988	86.08913182429305	13.91086817570695	6.188623940426206
sub-3164_run-1	mni152	0.901951076108988	82.91940485334699	17.08059514665301	4.854596935376416
sub-1244_run-1	mni152	0.9146989049661435	85.19139036024698	14.808609639753007	5.752828417568302
sub-3173_run-1	mni152	0.9179202041362798	85.68235951421767	14.31764048578234	5.984391045389197
sub-1002_run-1	mni152	0.9262099298585608	87.41372432428363	12.58627567571636	6.945162061954312
sub-1006_run-1	mni152	0.9284519089625899	88.4037409266424	11.596259073357592	7.623470669929238
sub-3152_run-1	mni152	0.927315013255862	87.15421801796424	12.845781982035751	6.784656484116382
sub-1001_run-1	mni152	0.9262321836579263	88.2433563426676	11.756643657332402	7.50582895209483
sub-1251_run-1	mni152	0.923804611626224	87.39512962696786	12.604870373032142	6.933441363581804
sub-3190_run-1	mni152	0.9193740185539218	86.43912782168202	13.560872178317984	6.374156963140364
sub-3176_run-1	mni152	0.9084693867664015	83.65638216242259	16.3436178375774	5.1185963226623565
sub-1248_run-1	mni152	0.9272813859397073	87.79487878994551	12.205121210054486	7.193282006705576
sub-1245_run-1	mni152	0.9203553550866014	86.66796513609583	13.332034863904173	6.50073046018992
sub-1276_run-1	mni152	0.9325619848010009	88.71326990639041	11.286730093609595	7.85996202359962
sub-1003_run-1	mni152	0.9189430626733744	85.40653130189064	14.59346869810936	5.852380477093522
sub-3218_run-1	mni152	0.9209404674583193	86.47939238244165	13.520607617558362	6.396117306897976
sub-3143_run-1	mni152	0.9206138606844909	85.91884126132614	14.081158738673857	6.101688281188843
sub-3200_run-1	mni152	0.9361666211154162	88.98031844992512	11.019681550074875	8.07467239825279
