trial_type.Alternate	trial_type.Happy	trial_type.Neutral	trial_type.Sad	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
2.2796892666989598e-15	-7.990348999128406e-06	1.1446771818070698	-0.1446691914686698	-0.0065131666855222	-0.0095185264269447	9.060234534041762e-05	4.242134027340079e-05	-0.2312342258212685	-0.1544806602764631	0.0238642743994519	0.0534692671911615	-0.0029007620696212	0.009651123751823	9.314418967273288e-05	8.414420583828055e-06	0.0006623712656476	0.0009624590733156	9.26327467807344e-07	4.3873569398351337e-07	-0.0002298724100165	0.0003653316580775	1.334672202967542e-07	5.284132434385749e-08	-0.0011239242068585	0.0008491683371302	7.210868646805686e-07	1.263205622852109e-06	0.0775202656000007	0.0655497724000005	0.0469489822000003	0.0235993474000003	-0.0021373388999998	-0.0276578354000002	-0.0503807682000004	-0.0680077345000006	1
-2.99458678334017e-16	1.9388570537134167e-05	1.1243568854639516	-0.1243762740614124	0.0007474288359503	0.0072605955214725	5.271624732602968e-05	5.586498647095876e-07	-0.0737703015928443	0.1574639242284243	0.0247948874334152	0.0054420573970989	0.0037948161159356	0.0066955781855568	4.483076723868751e-05	1.4400629353320736e-05	-0.0001028841319238	-0.0007652553975719	5.856158241032159e-07	1.0585144160721955e-08	-0.0008658959603655	-0.0006360235503492	4.045259571333497e-07	7.497758147853624e-07	-0.0020420487640075	-0.0009181245571493	8.42952702804101e-07	4.169963154537154e-06	0.0772475461000005	0.0645158866000004	0.0448275254000003	0.0203054443000003	-0.0064061582999999	-0.0324269895000003	-0.0549512416000006	-0.0715501408000005	1
6.495032995051558e-15	-4.567057778973942e-05	1.0880016288967125	-0.0879559583356544	0.0001663972104211	-0.000581031625529	3.375977497012045e-07	2.7688031595285328e-08	-0.1884102464758544	-0.1146399448830102	0.0131423169627792	0.0354984209770921	-0.00569064711135	-0.0094854632272857	8.997401263599543e-05	3.238346454522033e-05	0.0004612069824458	0.0005640911143698	3.181987851168169e-07	2.127118807274003e-07	-0.0005027696609953	0.0003631262993707	1.318607090379137e-07	2.527773322295631e-07	-0.0011668880736163	0.0008751606903911	7.659062338419415e-07	1.3616277759821422e-06	0.0769663555000006	0.0634537020000005	0.0426618292000004	0.0169759185000002	-0.0106574189999998	-0.0370681691000004	-0.0592265694000004	-0.0745906743000005	1
-1.0955294430336821e-14	0.0001034621804678	1.0535336180345505	-0.0536370802415321	0.0004610205467941	0.0002946233363727	8.68029099722742e-08	2.1253994427665346e-07	-0.1405677919792655	0.0478424544965893	0.0022889004522579	0.0197593041419258	0.0058871444429801	0.0115777915543303	0.0001340452572755	3.4658469692374335e-05	0.0006563278746977	0.0001951208922514	3.8072162095691155e-08	4.307662794184811e-07	-0.0002529484499036	0.0002498212110917	6.2410637410951e-08	6.398291806559353e-08	-0.0013644199239003	-0.0001975318502842	3.9018831883635526e-08	1.8616417284522928e-06	0.0766767246000003	0.0623636846000004	0.0404540309000002	0.0136166111000002	-0.0148794682999999	-0.0415630576000004	-0.0631837885000005	-0.0771080077000006	1
3.225793632329876e-14	-0.0002135513139062	1.0290707284083274	-0.0288571771175996	0.0242355485944193	0.0237745280476252	0.0005652281838875	0.000587361815672	-0.0167352076457651	0.1238325843334994	0.0153345089427131	0.0002800671749472	0.0180696285617336	0.0121824841187534	0.0001484129193029	0.0003265114763595	-0.0005743163679757	-0.0012306442426738	1.514485252789574e-06	3.298392894703623e-07	-0.0008259329990262	-0.0005729845491231	3.283112938446184e-07	6.821653200275244e-07	-0.0019762364192552	-0.0006118164953542	3.743194238540258e-07	3.905510384058229e-06	0.0763786853000002	0.0612463124000003	0.0382063093000006	0.0102334157000002	-0.0190607341	-0.0458939156000004	-0.0668016447000002	-0.0790844839000007	1
-7.174264499987675e-14	0.000395465579331	1.013502927844835	-0.0138983934455011	0.0006308288550372	-0.0236047197393823	0.0005571827939753	3.9794504456773633e-07	-0.1783428066882069	-0.1616075990424416	0.0261170160682623	0.0318061566974267	-0.020609670761381	-0.0386792993231145	0.0014960881961272	0.0004247585288913	-0.0002950671081329	0.000279249259843	7.798014908184318e-08	8.706459739497477e-08	-0.0006172296724728	0.0002087033265536	4.355707807241161e-08	3.809724691709196e-07	-0.0018370927764125	0.0001391436428423	1.9360952383353253e-08	3.3749098693245985e-06	0.0760722702000008	0.0601020755000005	0.0359208828000005	0.0068322673000002	-0.0231897557999999	-0.0500436514000006	-0.0700607062000004	-0.0805062393000009	1
1.701387827359898e-13	-0.0009756515958547	1.007023219220567	-0.006047567647351	0.0007788869083357	0.0001480580532984	2.192118687031205e-08	6.066648159841196e-07	-0.1602479717686127	0.0180948349195945	0.0003274230507669	0.0256794124559539	-0.0098590981860198	0.0107505725753609	0.000115574810698	9.720181704089849e-05	0.0002027401854752	0.0004978072936084	2.47812101387334e-07	4.11035827793182e-08	-0.0008271863871365	-0.0002099567146635	4.4081821320078573e-08	6.842373201849148e-07	-0.001836917336863	1.7543954945994135e-07	3.085263077579732e-14	3.3742653026092705e-06	0.0757575129000006	0.0589314758000006	0.0336000067000001	0.0034191328000001	-0.0272552159	-0.0539958877000005	-0.0729434684000006	-0.0813633012000007	1
-3.71786433464267e-13	0.0311817009348254	0.9711897057928388	-0.0023714067498197	-0.0153228513994466	-0.0161017383077827	0.000259265976532	0.0002347897750094	-0.0980862271237014	0.0621617446449107	0.0038640824972989	0.0096209079513622	0.0190322785079368	0.0288913766939563	0.0008347116472725	0.0003622276252039	-0.0002901042719279	-0.0004928444574033	2.428956591569584e-07	8.41604883237397e-08	-0.000503152402951	0.0003240339841862	1.0499802268736717e-07	2.5316234027278616e-07	-0.0024000769934333	-0.0005631596565699	3.1714879876189977e-07	5.760369574728316e-06	0.0754344479000001	0.0577350269	0.0312459714000002	1.5191194254640322e-16	-0.0312459714000001	-0.0577350269000005	-0.0754344479000005	-0.0816496581000006	1
7.749847028506331e-13	0.2962504434859762	0.7045607323225074	-0.0008111758303616	-0.006458870265732	0.0088639811337151	7.857016153894139e-05	4.171700510956033e-05	-0.1121805097032503	-0.014094282579549	0.0001986488014316	0.0125844667572809	0.0043819374865933	-0.0146503410213446	0.0002146324920416	1.9201376135974805e-05	-0.0004520025931299	-0.0001618983212019	2.621106632149269e-08	2.0430634428436326e-07	-1.988785701904134e-06	0.0005011636172493	2.511649717581208e-07	3.954543554428801e-12	-0.0022620033502856	0.0001380736431475	1.9064330831245938e-08	5.116659156881759e-06	0.0751031108000005	0.0565132535000002	0.0288611001000001	-0.0034191327999998	-0.0351510839	-0.0612463124000004	-0.0775202656000005	-0.0813633012000006	1
-1.4426262209384314e-12	0.7066978317341344	0.2934968773431439	-0.0001947090999543	-0.0012407391183161	0.005218131147416	2.7228892671678985e-05	1.5394335596992089e-06	-0.1090185009782511	0.0031620087249991	9.998299176546736e-06	0.0118850335555448	0.0033743061206291	-0.0010076313659651	1.0153209696489606e-06	1.1385941794994629e-05	-0.0001920851348812	0.0002599174582487	6.755708484677917e-08	3.689669919849914e-08	-0.0005212851258907	-0.0005192963401893	2.696686896008761e-07	2.717381824999863e-07	-0.0022420503967152	1.9952953570671e-05	3.9812056577314364e-10	5.0267899816487305e-06	0.0747635377000012	0.0552666915000004	0.0264477464	-0.0068322672999998	-0.0389598496000002	-0.0645158866000003	-0.0791897184000005	-0.0805062393000004	1
