trial_type.Alegría	trial_type.Enojo	trial_type.Sin_Rostro	trial_type.Tristeza	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	intercept
-0.0010834053241438	2.248510866448743e-09	-1.7246007925312583e-16	2.0201007729293347e-06	0.0203694408332628	-2.325580834452353e-15	2.4236262998378297e-15	0.0004149141198598	-0.0760714877955771	7.816480395764649e-16	1.4976460287379504e-16	0.0057868712554338	-0.1777096188615325	7.976633156473782e-16	4.67426523449703e-16	0.0315807086359101	-0.0088791112840485	4.685874954579551e-16	-6.381785694871062e-16	7.883861719684788e-05	3.195882816174976e-06	8.469973710865923e-16	7.58329798844796e-16	1.0212047662247212e-11	-0.0003819923066742	-6.082621698946497e-16	-5.8338807184474e-16	1.4591812219932458e-07	0.1154637225000002	0.1154447293000005	0.115413076300001	1
0.0157581669283292	-7.966631169984551e-09	1.1796493293228372e-16	-5.512970404567166e-06	0.0189531309324031	-0.0014163099008631	2.0059337369020326e-06	0.0003592211721409	-0.0129418959239892	0.0631295918715887	0.0039853453698745	0.0001674926701071	-0.1601019155796368	0.0176077032818974	0.0003100312148639	0.0256326233722665	-0.0067127300157627	0.0021663812682856	4.693207800872525e-06	4.5060744266366845e-05	-0.0005196850957952	-0.0005228809786123	2.7340451824012974e-07	2.700725998560848e-07	-0.0006912514061556	-0.000309259099482	9.564119052987545e-08	4.778285064814333e-07	0.1154130763000006	0.1152422001000007	0.1149575937000009	1
0.0855821142629285	2.6064496652353307e-08	6.03296072538846e-16	1.4785254959609782e-05	0.0171461674634382	-0.0018069634689669	3.2651169795523707e-06	0.0002939910586849	0.0289997316170619	0.0419416275410511	0.0017591001207929	0.0008409844338607	-0.1419018292942037	0.0182000862854334	0.0003312431407977	0.0201361291570382	-0.003390772947219	0.003321957068544	1.1035398768221884e-05	1.1497341178364818e-05	0.0002902609249472	0.0008099460207441	6.560125558576534e-07	8.425140306196043e-08	-0.001628009257191	-0.0009367578510355	8.775152709982697e-07	2.6504141423021493e-06	0.1153118061000009	0.1148374968000007	0.1140484259000013	1
0.1007544532646496	-8.100475012734622e-08	4.973040338610272e-16	-3.8999966019772994e-05	0.0181603053980274	0.0010141379345874	1.0284757523756904e-06	0.0003297966921501	-0.0265155285540309	-0.0555152601710924	0.0030819441118632	0.0007030732544999	-0.1548330726302736	-0.0129312433360686	0.0001672170542166	0.0239732803801287	-0.0049430117261569	-0.0015522387789392	2.409445226661821e-06	2.443336492475672e-05	6.868656290748784e-06	-0.0002833922686557	8.031117875312208e-08	4.717789354940253e-11	-0.0013629914189187	0.0002650178382727	7.023445512542586e-08	1.8577456085880931e-06	0.1151599564000006	0.1142313295000007	0.1126891610000012	1
0.0588602619280697	2.4260358090571426e-07	3.71418205896011e-16	0.0001011213455341	0.0088831230146982	-0.009277182383331	8.606611297527009e-05	7.890987449430074e-05	-0.0257330209126419	0.0007825076413898	6.123182090113584e-07	0.000662188365291	-0.1380015342025502	0.0168315384277247	0.0002833006858439	0.0190444234422546	-0.0045820770700399	0.0003609346561167	1.302738263557241e-07	2.0995430275230987e-05	-8.222336164536391e-05	-8.90920179366866e-05	7.937388014028978e-09	6.760680796900456e-09	-0.001430195504797	-6.72040858783388e-05	4.516389372932416e-09	2.0454591824376248e-06	0.1149575937000009	0.1134247617000007	0.1108851636000011	1
0.0222239039989318	-7.059231994080809e-07	7.660213392318205e-17	-0.0002533742889049	0.018151096032597	0.0092679730178965	8.58953238624649e-05	0.0003294622871857	-0.0267828868424424	-0.0010498659298001	1.1022184705713092e-06	0.0007173230276153	-0.1295625182392442	0.0084390159633055	7.121699042914358e-05	0.016786446132492	-0.0044042475276308	0.0001778295424085	3.1623347095676943e-08	1.9397396283773165e-05	-0.0003238497117837	-0.0002416263501382	5.838329274568556e-08	1.0487863664786577e-07	-0.0014312204461608	-1.0249413635218355e-06	1.0506189582966674e-12	2.0483919653540976e-06	0.1147048067000007	0.1124192083000009	0.1086435530000011	1
0.001607896219656	2.005581932351408e-06	2.46541208527689e-17	0.0006073456329765	0.018226262054527	7.516602192748425e-05	5.649932297704925e-09	0.0003321966284806	0.0188063981479006	0.0455892849903434	0.0020783829059313	0.0003536806112965	-0.1307880016942327	-0.0012254834549871	1.5018096989660214e-06	0.017105501387168	-0.0040217744433757	0.0003824730842543	1.4628566056583556e-07	1.617466967281564e-05	-0.0003656233727292	-4.177366094546546e-05	1.7450383440129907e-09	1.3368045239184778e-07	-0.0014312421357783	-2.1689617048578744e-08	2.141348423973526e-16	2.0484540516620416e-06	0.1144017065000009	0.1112164334000005	0.1059731760000009	1
-0.0072900476045918	-5.580561956247246e-06	-6.64077845401628e-17	-0.001513156469363	0.0135725832894602	-0.0046536787650685	2.1656726050093237e-05	0.0001842150171498	0.0255251846134561	0.0067187864655553	4.514209156961762e-05	0.0006515350495502	-0.1118763483399668	0.0189116533542669	0.000357650632592	0.0125163173178826	-0.0034807962311974	0.0005409782121786	2.926574266987812e-07	1.2115942402602177e-05	-0.0004020102414596	-3.638686872936732e-05	1.324003916631222e-09	1.616122361053472e-07	-0.0014312043419036	3.779387529939434e-08	1.273777990972908e-15	2.0483458693206416e-06	0.1140484259000012	0.1098185471000006	0.102884571300001	1
-0.009401945739419	1.5230859166844592e-05	-9.817080246900116e-18	0.018219191939442	0.0182076667817353	0.004635083492273	2.1483998981844245e-05	0.0003315191296354	0.0019581168852608	-0.0235670677281948	0.0005554066813049	3.834221736534546e-06	-0.0778425635079615	0.0340337848320062	0.0011582985099909	0.0060594646934875	-0.0037427860522169	-0.0002619898210188	6.86386659468826e-08	1.4008447433449236e-05	-0.0003853229096166	1.6687331844499706e-05	2.784668686072137e-10	1.4847374622490878e-07	-0.0014312259136478	-2.1571744667246724e-08	-1.0605120327606131e-16	2.048407616944212e-06	0.1136451198000015	0.108228001800001	0.0993899282000012	1
-0.0079061877542778	-4.076931899344218e-05	4.90725282196761e-16	0.0881699570644694	0.0108472341270853	-0.0073604326546518	5.4175968865093794e-05	0.0001176624882084	0.0394399489011753	0.0374818320159148	0.0014048877312697	0.0015555095693265	-0.089436437802182	-0.0115938742942201	0.0001344179211508	0.0079988764067405	-0.0028790378144168	0.0008637482377996	7.460610180268546e-07	8.288858737156106e-06	-4.594138441204413e-05	0.0003393815252037	1.1517981952623557e-07	2.110611377802139e-09	-0.0014300695520597	1.156361587763134e-06	1.336668097294702e-12	2.0450989246386176e-06	0.1131919653000014	0.1064475877000008	0.095503038400001	1
