trial_type.negative_nonmusic	trial_type.positive_nonmusic	trial_type.response	trial_type.tones	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	intercept
1.353613674674118e-13	0.0007097552144632	-0.0025430597608353	1.003163404309546	0.046312300000001	0.0044770000000007	2.004352899852563e-05	0.0021448291312884	0.027380700000002	0.0078145000000007	6.106641024886499e-05	0.0007497027324927	0.0413604	-0.018936500000002	0.0003585910322507	0.0017106826881579	0.0006581939999994	0.0002732360000008	7.465791155749604e-08	4.332193418243107e-07	0.0008066449999988	-0.0001995250000022	3.981022558423781e-08	6.506761551799991e-07	-0.000417500999998	-9.767093015439418e-16	-8.5157746620626475e-16	1.7430708116361058e-07	0.1532252108000014	0.1119359729000017	1
-3.72462154202083e-13	-0.0018643752252083	0.0064229706163975	0.9956045889075598	0.0381328000000008	-0.0081795000000021	6.690422024981254e-05	0.0014541104358386	-0.0223379000000022	-0.0497186000000038	0.0024719391859654	0.0004989817764089	0.0086077499999981	-0.0327526500000013	0.0010727360820243	7.409336005825839e-05	-7.457709999676286e-06	-0.0006656517100018	4.430921982096923e-07	5.5616746390675936e-11	0.0011499000000018	0.0003432550000023	1.1782399565502989e-07	1.3222700115602545e-06	-0.0004175010000011	1.1085662045503762e-15	-6.637293674894054e-16	1.7430708512055597e-07	0.1500456416000025	0.100445361900002	1
1.0298493021528869e-12	0.0046446601553991	-0.0154759186608478	1.0108235767062634	0.046313000000001	0.0081802000000014	6.691567204136421e-05	0.002144893969002	-0.0065624400000028	0.0157754600000016	0.0002488651382116	4.3065618752340667e-05	0.0368042999999998	0.0281965500000029	0.0007950454319039	0.0013545564984893	-0.0001925170000032	-0.0001850592899995	3.4246940039991333e-08	3.706279658285526e-08	0.0010891000000009	-6.080000000117219e-05	3.696640398924158e-09	1.1861388091278336e-06	-0.0004175009999993	-4.436457930587872e-16	-2.095274458972564e-16	1.7430708385430685e-07	0.146572351000002	0.0881686297000015	1
-2.7966745651933827e-12	-0.0109325824953694	0.1852645340436655	0.8256708462910785	0.0365964000000002	-0.0097166000000013	9.441231556103172e-05	0.0013392964929595	-0.0065624400000023	-6.782969384297797e-17	-9.92865744414468e-16	4.306561875115276e-05	0.0509212000000018	0.0141169000000014	0.0001992868656103	0.002592968609441	-0.0001925170000019	1.7018713093284993e-15	-2.1706388274891834e-16	3.7062797169457766e-08	0.0011495200000013	6.042000000128144e-05	3.650576197389866e-09	1.3213962316567666e-06	-0.000417501	3.5338952106939793e-16	-1.1681654893763532e-15	1.743070844835147e-07	0.1428121382000011	0.0752018585000014	1
7.499935640852164e-12	0.1805641021619518	0.5728708539202708	0.2465639266494079	0.0348393000000002	-0.0017571000000003	3.08740040987127e-06	0.001213776824489	-0.0020724100000013	0.0044900300000009	2.016036940047661e-05	4.294883206190236e-06	0.0509201000000024	-1.1000000004789138e-06	1.2102718932750092e-12	0.0025928565840106	-0.0002044330000006	-1.1915999999739945e-05	1.4199195046320128e-10	4.179285188336048e-08	0.0011495200000023	-9.064769755647529e-16	-1.4042121313218889e-15	1.3213962322788194e-06	-0.0004175020000012	-9.9999987873317e-10	-6.699135298979536e-16	1.7430792031681454e-07	0.1387723639000013	0.0616465307000011	1
-1.988125816734617e-11	0.7608931055259536	0.3322637234914093	-0.0931563928879816	0.0325593000000017	-0.0022800000000004	5.198399999877372e-06	0.0010601080164898	-0.0032030300000019	-0.0011306199999994	1.278301583848797e-06	1.0259401178588311e-05	0.0509131000000021	-7.00000000043536e-06	4.899961689302837e-11	0.0025921437516121	-0.0003309100000006	-0.0001264770000005	1.5996431684504895e-08	1.0950142897373274e-07	0.0010231700000014	-0.0001263500000005	1.59643222782757e-08	1.046876849126686e-06	-0.0003594810000021	5.8021000001172747e-05	3.366436395269163e-09	1.2922658933097544e-07	0.1344609362000013	0.0476087353000002	1
5.202527094854978e-11	1.0951174753668582	0.0466494582731157	-0.1417670962997571	0.0291069000000023	-0.0034524	1.1919065758873164e-05	0.0008472116276067	0.0222634000000001	0.0254664300000026	0.0006485390569486	0.0004956589795613	0.0534770000000018	0.0025638999999989	6.573583208954732e-06	0.0028597895290032	-0.0001942230000015	0.000136687000001	1.8683335069189003e-08	3.772257400215979e-08	0.0009425830000002	-8.058700000031386e-05	6.494265896255638e-09	8.884627136756363e-07	-0.0002649110000005	9.456999999982792e-05	8.943487260428986e-09	7.017783876980443e-08	0.1298862949000011	0.0331983368999995	1
-1.343250120971997e-10	1.141569011253583	-0.0429565072966064	-0.0986124439183268	0.0017614799999982	-0.0273454200000031	0.0007477719949821	3.1028117896424174e-06	0.0328742000000022	0.0106108000000002	0.0001125890766397	0.001080713025643	0.0509099000000015	-0.0025671000000007	6.590002410828479e-06	0.0025918179180124	-7.18751999990727e-05	0.0001223478000012	1.49689829575756e-08	5.1660438142589994e-09	0.0005989850000016	-0.0003435979999996	1.180595858809605e-07	3.587830292615077e-07	-0.0002459440000006	1.8967000000416378e-05	3.5974592545005663e-10	6.048845178592083e-08	0.1250573950000007	0.0185281165999997	1
3.422192193868784e-10	1.0977791354452373	-0.0514115672032148	-0.0463675903795455	0.0037161499999973	0.0019546700000016	3.820734806981249e-06	1.3809770822384542e-05	0.0179443000000017	-0.0149299000000014	0.0002229019140095	0.0003219979024907	0.0284855000000004	-0.0224244000000018	0.0005028537153611	0.0008114237102507	-0.0006709820000013	-0.0005991068000032	3.589289590633693e-07	4.502168487796572e-07	0.0003319470000023	-0.0002670380000016	7.13092941235702e-08	1.1018880961240733e-07	-0.0003022820000012	-5.633800000028708e-05	3.1739699285243634e-09	9.137440896984933e-08	0.1199836895000012	0.0037128885999996	1
-8.574390502556118e-10	1.0459026877987456	-0.02919033004125	-0.0167123490345151	0.0193052000000007	0.0155890500000023	0.000243018479905	0.0003726907470378	-0.0071720900000007	-0.0251163900000012	0.0006308330466323	5.143887496660814e-05	-0.0010585500000017	-0.0295440500000019	0.0008728508904038	1.1205281013787513e-06	0.0002050210000004	0.0008760030000014	7.673812593200223e-07	4.203360598971165e-08	0.0003319469999999	-5.599583714021772e-16	-1.4113904165780373e-15	1.1018880967528065e-07	-0.0001141790000013	0.0001881030000013	3.538273991799876e-08	1.3036844482021426e-08	0.1146751102000022	-0.0111313977000006	1
