img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-mdd07_run-4	mni152	0.8808687760627075	90.08838952484265	9.911610475157335	9.089177762851158
sub-mdd16_run-2	mni152	0.8950013678821277	91.95692154484931	8.043078455150702	11.433050424363456
sub-control17_run-1	mni152	0.875107672371079	89.64205956303782	10.357940436962192	8.654428948360348
sub-mdd06_run-4	mni152	0.8768866076326307	92.03056184950181	7.969438150498193	11.547936016511867
sub-control16_run-1	mni152	0.8871389867452588	90.33064761919647	9.669352380803527	9.341954255233167
sub-mdd17_run-1	mni152	0.869254468432141	88.80681357932782	11.193186420672177	7.934006478737336
sub-control09_run-4	mni152	0.8781088459081141	91.00489182996175	8.995108170038243	10.117153691724292
sub-mdd04_run-2	mni152	0.8857653242336452	89.87358930466371	10.126410695336283	8.875167323211075
sub-mdd09_run-1	mni152	0.869779162819329	90.3738911785987	9.626108821401303	9.388413621262458
sub-control11_run-4	mni152	0.8976526373540246	92.21426472305086	7.7857352769491515	11.844002068252328
sub-control10_run-5	mni152	0.8978538976802201	92.85498514091637	7.145014859083636	12.99577215334514
sub-control06_run-2	mni152	0.8900810782757123	90.5088230924998	9.491176907500215	9.536101157378805
sub-control18_run-5	mni152	0.8570994887287078	87.1056463355444	12.89435366445559	6.755332496863237
sub-mdd12_run-4	mni152	0.8596239212025377	89.45120911624882	10.548790883751174	8.479759443713588
sub-mdd13_run-1	mni152	0.8788933963095333	90.09962811264221	9.900371887357794	9.100630677085398
sub-mdd06_run-5	mni152	0.8772458964955975	92.1228870802992	7.8771129197008145	11.695006535947712
sub-control12_run-2	mni152	0.8810026221470575	91.18230358504958	8.81769641495042	10.340830449826989
sub-control04_run-1	mni152	0.8898653702318624	91.63083242410627	8.369167575893718	10.948619631901838
sub-control19_run-1	mni152	0.8703490864124477	89.19655421742951	10.803445782570497	8.25630599834479
sub-control12_run-1	mni152	0.8795226140417693	91.3323513388083	8.667648661191711	10.537154297420617
sub-control19_run-2	mni152	0.872436769208561	89.34039772196807	10.65960227803193	8.381213050142327
sub-control13_run-4	mni152	0.8884539665049834	90.6731045220954	9.326895477904603	9.721681210741538
sub-control07_run-5	mni152	0.8918317556357959	91.82676848874598	8.17323151125402	11.235062699778705
sub-control05_run-1	mni152	0.8728991278541578	89.05671307470988	10.943286925290131	8.138022303783174
sub-control09_run-5	mni152	0.8794698849449964	91.26070804019696	8.739291959803044	10.442574576974504
sub-mdd03_run-4	mni152	0.8909262531350316	91.75055231974292	8.249447680257079	11.122023664605347
sub-mdd05_run-1	mni152	0.8999409541804441	92.62623520689083	7.373764793109176	12.561593406593408
sub-control14_run-1	mni152	0.8664333569676311	89.1188113019909	10.881188698009087	8.190172395254649
sub-mdd18_run-1	mni152	0.8737279943982281	89.50052041305594	10.499479586944064	8.524281577188685
sub-control02_run-4	mni152	0.8937011422190004	92.17392358613331	7.826076413866684	11.777794990963077
sub-mdd19_run-4	mni152	0.8745833097381883	88.85922618705146	11.140773812948536	7.9760371836804955
sub-mdd13_run-2	mni152	0.8776602059613123	90.06598571815964	9.93401428184037	9.066424021838035
sub-mdd15_run-5	mni152	0.88192144142492	89.91142652374423	10.088573476255764	8.912204162001467
sub-control20_run-5	mni152	0.8804905799665894	89.56746252941905	10.43253747058095	8.58539571815517
sub-control15_run-4	mni152	0.866548122805438	88.25929803379158	11.74070196620842	7.517378286904452
sub-control14_run-2	mni152	0.8701833643369652	89.26339155324493	10.736608446755067	8.3139281828074
sub-mdd10_run-4	mni152	0.890736080960662	92.31066523465469	7.6893347653453095	12.005026189090525
sub-control11_run-5	mni152	0.8896945428965667	90.95643583917811	9.04356416082189	10.057587276619916
sub-control10_run-4	mni152	0.8951048120509115	93.10079306908678	6.899206930913223	13.494419576245898
sub-mdd01_run-4	mni152	0.8904442450953626	91.74204644546336	8.25795355453665	11.10953771289538
sub-mdd14_run-1	mni152	0.8881039961482908	90.64904328134644	9.350956718653556	9.694092915703173
sub-mdd05_run-2	mni152	0.8999458311751471	93.02234337770403	6.977656622295969	13.331459028876003
sub-control16_run-2	mni152	0.886888997749644	90.10377582244963	9.896224177550362	9.104864057834353
sub-mdd02_run-1	mni152	0.8648444378941958	88.82885610374287	11.171143896257137	7.951634759042424
sub-mdd08_run-5	mni152	0.8864769511107665	91.19004223515289	8.809957764847113	10.350792213671344
sub-control13_run-5	mni152	0.8882920348870791	90.62819203268641	9.371807967313584	9.670299727520437
sub-mdd16_run-1	mni152	0.8945168428817311	91.83371731944305	8.166282680556947	11.24547372552868
sub-mdd04_run-1	mni152	0.8852485332619872	89.97890500258346	10.021094997416542	8.978949408800156
sub-control03_run-1	mni152	0.8739948058449889	91.84834434908421	8.151655650915787	11.267446551028641
sub-control17_run-2	mni152	0.8766937152192001	89.77604064881767	10.223959351182334	8.780946555547061
sub-mdd14_run-2	mni152	0.8871721440833892	90.58545174425002	9.414548255749972	9.6218585622443
sub-mdd03_run-5	mni152	0.8929620197876166	91.75225097071234	8.247749029287665	11.124520235145507
sub-control20_run-4	mni152	0.8817872009514661	89.72433508007742	10.27566491992258	8.731730333685642
sub-mdd01_run-5	mni152	0.8895670804762779	91.78656422522621	8.213435774773794	11.175172819532287
sub-mdd15_run-4	mni152	0.8809883264328904	89.72537051489631	10.27462948510369	8.732711057365279
sub-mdd07_run-5	mni152	0.8805777643398155	90.04277501438227	9.957224985617733	9.04295877058523
sub-control04_run-2	mni152	0.8908371524832904	91.52679902628938	8.473200973710613	10.801915275025944
sub-control18_run-4	mni152	0.8562434495350327	87.12078106571308	12.879218934286932	6.764446004856783
sub-control07_run-4	mni152	0.8918691359275905	91.70307252046076	8.296927479539242	11.052654461137143
sub-mdd11_run-4	mni152	0.891147605083089	91.96597544195205	8.034024558047946	11.447061778001004
sub-control06_run-1	mni152	0.8896059442953071	90.53795932426296	9.462040675737033	9.568544717465043
sub-mdd10_run-5	mni152	0.8942085002811407	92.48425153621231	7.515748463787683	12.305394729722417
sub-mdd19_run-5	mni152	0.8730704748670856	88.85818707269925	11.141812927300746	7.9752000551876385
sub-mdd18_run-2	mni152	0.8735742494696874	89.55939482674475	10.440605173255246	8.577988856063723
sub-control02_run-5	mni152	0.8950013732491073	92.29987982471403	7.7001201752859725	11.986810299527063
sub-mdd08_run-4	mni152	0.883402489626556	91.18210964924569	8.817890350754304	10.340581025873808
sub-control03_run-2	mni152	0.8809651937890102	92.2882255635385	7.711774436461496	11.967184248439251
sub-control15_run-5	mni152	0.866535193947256	88.21324702487729	11.786752975122706	7.484100770675475
sub-control05_run-2	mni152	0.8730891707700803	88.98589605714044	11.014103942859565	8.07926786589207
sub-mdd12_run-5	mni152	0.8612090121635155	89.73854438850296	10.261455611497036	8.745206117537458
sub-control01_run-5	mni152	0.8820366181554351	91.21281666519552	8.787183334804483	10.380210949271724
sub-mdd17_run-2	mni152	0.8696983095813068	88.88794471975558	11.11205528024442	7.999235287983594
sub-mdd09_run-2	mni152	0.8749691795598841	90.54065906028495	9.45934093971504	9.571561024949427
sub-control08_run-4	mni152	0.8595371840273538	89.57716903693806	10.422830963061944	8.594322344322345
sub-mdd02_run-2	mni152	0.865883881887146	88.81775766124656	11.18224233875343	7.942750207929026
sub-control08_run-5	mni152	0.8546530220658778	89.32507818779395	10.67492181220605	8.367750111823469
sub-control01_run-4	mni152	0.8835966091422621	91.34196004723006	8.658039952769945	10.549958252156975
sub-mdd11_run-5	mni152	0.8922519720725614	91.90719575016098	8.092804249839022	11.356656223581481
