trial_type.correctrejection	trial_type.falsealarm	trial_type.hit	trial_type.miss	trial_type.missed	rt_reg.rt	liking_demean	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	intercept
0.2825505849197444	2.3412736889165432e-14	0.0386101840709878	-4.88642859865317e-16	2.392841849609355e-06	0.4630470653346726	-0.2859913219558092	0.0092582575934571	1.92957686360566e-08	8.671525436028503e-16	8.57153336663839e-05	0.0171276028407296	0.0033949465433101	1.1525662032443674e-05	0.0002933547790704	-0.0390888615426863	0.0162970674274596	0.0002655944067345	0.001527939096703	-0.0001131480428758	-5.0989257220216085e-16	-1.3774840224173814e-16	1.2802478529610897e-08	0.0002459311247977	-1.6860835343556006e-16	-5.731909140971302e-16	6.048211825691077e-08	0.0012010112526398	-6.415951636657793e-16	-4.862107201675044e-16	1.4424280291958466e-06	-0.0912392418000014	0.0287162346999998	0.0458586883000001	1
0.3352776009669004	-2.651636208568633e-13	-0.0070592729058354	1.349873643120065e-16	-5.462292037131494e-06	0.3631680041537595	0.0312402296825996	0.0092511152146795	-7.142378776207764e-06	5.101367871344371e-11	8.55831327147667e-05	0.0196870632464082	0.002559460405678	6.5508375686152686e-06	0.0003875804592687	-0.0571860441270998	-0.0180971825844135	0.0003275080174934	0.0032702436429064	7.693934319965564e-05	0.0001900873860746	3.6133214131561375e-08	5.91966234452953e-09	0.0001010466246129	-0.0001448845001842	2.0991518904044163e-08	1.0210419964394484e-08	0.0012009972276209	-1.4025018673036116e-08	-7.398483223607029e-16	1.4423943403726707e-06	-0.0927013771000011	0.0333745172000001	0.0391140859000004	1
0.2405987432405261	1.2286264931341626e-12	0.0717243399999727	4.318353965563736e-16	1.1907552546520589e-05	0.2522494265258255	0.124472639520591	0.0158453111965992	0.0065941959819194	4.348342064852696e-05	0.0002510738869163	0.0211061085539369	0.0014190453075287	2.013689584675727e-06	0.0004454678182915	-0.0392489060381459	0.0179371380889541	0.0003217409228218	0.0015404766251906	8.787420339322452e-06	-6.815192286141795e-05	4.644684127391465e-09	7.721844571756178e-11	0.0003540053229589	0.0002529586983455	6.398810447814749e-08	1.253197701802124e-07	0.0012009994291699	2.201548717666781e-09	-5.963335359075411e-16	1.44239962836622e-06	-0.0941228505000011	0.0379742494000003	0.0322151180000002	1
0.0982331767862583	-4.593321670769935e-12	0.2259563645408251	8.3254574855367635e-16	-2.424875324500959e-05	0.1896259178586896	0.0843453734513694	0.0090752445694152	-0.0067700666271837	4.583380213695324e-05	8.236006399440422e-05	0.0232082419429537	0.0021021333890158	4.418964785418271e-06	0.0005386224940836	-0.0571357020805155	-0.0178867960423697	0.0003199374726614	0.003264488452233	-2.964771243614805e-05	-3.84351327762562e-05	1.477258729004679e-09	8.789871711026425e-10	0.0002459830619463	-0.0001080222610133	1.1668808662493549e-08	6.050766678496808e-08	0.0012010049263466	5.497177323503581e-09	-1.407632359688793e-15	1.4424128333906338e-06	-0.0955030384000008	0.0425073619000004	0.0251890118	1
0.0086312334735014	1.5514319338471862e-11	0.2072986814756837	4.172502795026818e-16	4.363674303110819e-05	0.0901790718630877	0.0610825695005656	0.017613525159504	0.0085382805900883	7.290223543533628e-05	0.0003102362685447	0.0232146208098812	6.378866928083536e-06	4.0688925988473423e-11	0.0005389186193472	-0.0158035311343084	0.041332170946207	0.0017083483551294	0.0002497515963125	-0.000481265511978	-0.0004516177995407	2.039586374033791e-07	2.316164924536916e-07	0.000441710694899	0.0001957276329535	3.8309306901393696e-08	1.951083395182664e-07	0.0012016062494972	6.013231501326539e-07	3.6171783541873917e-13	1.4438575791487892e-06	-0.0968413356000012	0.0469659021	0.0180634960999998	1
-0.031236290160572	-4.9261607699536256e-11	0.0996529538159631	1.0691236140265341e-16	-5.1285492960251e-05	-0.0008517540796609	0.0398768895944176	0.0092564128971865	-0.0083571122623178	6.984132536603202e-05	8.56811797229783e-05	0.023183055574862	-3.156523501974443e-05	9.96364039299887e-10	0.0005374540657876	-0.0405249993477587	-0.0247214682134514	0.0006111509906292	0.0016422755721344	-0.0003811474080026	0.0001001181039758	1.0023633779817174e-08	1.4527334644050196e-07	0.0002457722216501	-0.0001959384732484	3.839188678710954e-08	6.040398303241171e-08	0.0012010497991859	-5.564503111999824e-07	3.0924799443626625e-13	1.4425206205127751e-06	-0.0981371550000012	0.0513420481000002	0.0108666919999999	1
-0.0406177119868339	1.4990656365779534e-10	0.086206359010492	-3.3693091740631633e-16	-2.9980278939987144e-05	0.022297366389422	0.1540418515268045	0.0161015236841276	0.0068451107869415	4.685554168605168e-05	0.0002592590649501	0.0232341603662149	5.110479135359658e-05	2.611699504373105e-09	0.0005398262079235	-0.014317496010653	0.0262075033371054	0.0006868332311648	0.0002049906920144	-0.0009942834023372	-0.0006131359943336	3.759357487900921e-07	9.885994872602474e-07	0.0004709032576569	0.0002251310360084	5.068398418497015e-08	2.2174987676576258e-07	0.0012017352996171	6.85500430695476e-07	4.697428841343561e-13	1.4441677308298906e-06	-0.0993899282000015	0.0556281227000001	0.0036270019999998	1
-0.0352200374546545	-4.4176558577238325e-10	0.2182904002579423	-4.797549165265711e-16	7.920288660351754e-05	0.2058037739138319	0.4996354028251539	0.0092358812914587	-0.0068656423926686	4.713704546398076e-05	8.530150323015059e-05	0.0231315669411459	-0.0001025934250689	1.0525411027707272e-08	0.0005350693891531	-0.0443334112961499	-0.0300159152854975	0.0009009551704276	0.0019654513571529	-0.0005498059488185	0.0004444774535196	1.9756020721761239e-07	3.022865820250355e-07	0.0005081700616534	3.726680399454074e-05	1.388814130491208e-09	2.582368131787432e-07	0.0012016404374274	-9.486218939968765e-08	8.523326901208724e-15	1.4439397414066689e-06	-0.1005991057000012	0.0598166067000004	-0.003627002	1
-0.0245726278502108	1.2661659446780071e-09	0.2215541265786653	-6.547985925773529e-16	0.0235295531724088	0.2433212812665832	0.5290559322465007	0.0136522211336247	0.0044163398421668	1.9504057601376744e-05	0.0001863831418807	0.0233324401972653	0.0002008732561195	4.03500655296184e-08	0.0005444027655597	-0.0381185627353979	0.0062148485607524	3.862434263244362e-05	0.0014530248250123	-0.0009829013111451	-0.0004330953623269	1.87571593145366e-07	9.660949909808402e-07	0.0006669106448872	0.0001587405832331	2.5198572616594056e-08	4.447698117829625e-07	0.0012018287156335	1.8827820588501405e-07	3.469838782519564e-14	1.4443922624846712e-06	-0.1017641571000012	0.0639001520000004	-0.0108666920000002	1
-0.0146870772179553	-3.545423663822719e-09	0.1143909097862327	-1.1837045443962975e-16	0.276411969004405	0.1373065500506026	0.3011895851564113	0.0092475778636887	-0.0044046432699361	1.9400882335344925e-05	8.551769634496486e-05	0.0230671603960682	-0.0002652798011982	7.037337279224494e-08	0.0005320938887385	-0.0572676028006213	-0.0191490400652234	0.0003666857354193	0.0032795783305296	-0.000661758462452	0.0003211428486918	1.0313272869013201e-07	4.379242628451591e-07	0.0004871495226188	-0.0001797611222682	3.2314062065155337e-08	2.373146581812408e-07	0.0010591613210287	-0.0001426673946047	2.0353986764978437e-08	1.1218227031758263e-06	-0.1028845713000009	0.0678715947000003	-0.0180634961000003	1
