bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-control01_T1w	0.3181666536411508	4.000886790920711	0.5407737804568418	4744.333293080545	4.038079515069164	3.5546585452074937	4.39809	4.16149	0.23848938723437274	0.42098342706906444	0.3405271856965628	1.3075411319732666	0.3455200195312502	0.0	0.003835399691687756	28.00628096746963	16.290022913144593	24.858792671384045	176	256	256	2.9329158528263832	11.590373756205382	12.504821738863347	22.991175607558276	63.674346779493845	122.11334332970141	120.09124934205964	174.48605791698364	1.1999999284744263	1.0	1.0	14733.172687373057	3.754663196893313	9.65925539317457	7.3772297129035	2370992.0	2.477427888661623	21.91147332638502	9.525465257177364	29.758553583068448	130.88266165692235	364.493872034053	364.92512799985707	14694.0	197.64369156211615	529.0739945072676	124.41976811207927	0.2485559965170543	58.44214889077418	702.367131452028	699.8458515703678	19295.0	607.1184783954174	806.3201968297362	60.3800818365211	1.4426427343621908	37.056893291077486	995.6031948635602	1000.0000037699938	145809.0	913.7855132445693	1057.4763307869434	43.49479955656334	0.1682766079902649	0.4600369930267334	0.4986596405506134	0.4393524220075981
sub-control02_T1w	0.3620164318896791	3.6273731324624285	0.5403853037277926	4929.245963340735	3.592260619677077	3.2273418590312315	3.75087	3.79857	0.20421263926726246	0.4387962604761151	0.35699110025662245	1.2212762832641602	0.32347045540809627	0.0	0.004606529560909572	29.126764574988876	14.761704829659578	21.647121762513564	176	256	256	0.8621592454955327	10.270342645205789	11.280796209950994	22.709886739151663	35.054168732995215	63.83248341805351	63.204152219552405	90.72580450760849	1.1999999284744263	1.0	1.0	8.712314000687718	7.221058806920087	10.348339118909127	9.92601714283228	2992741.0	2.5277434960007668	22.564734622836113	6.791126985045072	6.138907965156186	164.0734247901463	522.1951687206198	386.37484120577574	10455.0	185.27126780077816	1626.0357386969029	448.12645087217635	0.007036532452433075	68.55435576189957	706.3272243594629	703.5758238136768	32384.0	597.4105969816446	821.8248976022005	68.50452657898278	0.9170197318893818	38.75606245739389	998.355417865888	999.9999879300594	170337.0	920.9617644697428	1066.9543644338846	44.03355525522036	0.14909254014492035	0.43936803936958313	0.4946739077568054	0.4388904270948918
sub-control03_T1w	0.3461996899960638	3.668558336519147	0.5339208132703082	4624.0	3.951254513764319	3.4889835412929577	4.25503	4.10975	0.2274484119891659	0.4147999493748263	0.35775163863600784	1.1425212621688843	0.33369162678718556	0.0	0.017073195568278767	29.90276228953767	17.12166172106825	24.88773532548843	176	256	256	2.1197981825053227	11.127898905409882	12.5815374332132	24.49691521172439	74.24969602357814	123.94142225324424	123.54863756733653	172.45479442518717	1.1999999284744263	1.0	1.0	214.19734098291804	3.7988875218686435	9.593945955509609	7.531640529632568	2446443.0	2.5623106956481934	22.361984252929688	6.537734116016489	63.87378169241943	93.47565659870723	424.49449673587844	430.5458426475525	12671.0	201.06374382972717	568.0176937580109	203.09898199131706	0.22184504338623245	61.127553760977264	720.7128381135802	718.6893272399902	19047.0	618.0836918354034	835.1890535354615	64.58276327752938	1.1465789136637197	36.2621081632916	996.8346222360707	999.9999833106995	155490.0	923.8294744491577	1057.1472764015198	40.82133440156989	0.18124084174633026	0.46976688504219055	0.5249017477035522	0.38810094964041075
sub-control04_T1w	0.3127012907805233	4.070351586817177	0.5709599634505931	5114.384551124972	4.087722969482681	3.6183089084480455	4.45538	4.18948	0.22948726626139032	0.4073735704588338	0.36313916327977586	1.6001067161560059	0.46127647161483765	0.0	0.009760065889626031	23.224302864145645	13.62079342774791	19.32980228012535	176	256	256	1.7847061380392115	10.41927866552023	12.508298144261223	25.320909629224225	68.29688132354958	130.9402624804495	130.0651613052286	190.95834011168677	1.1999998092651367	1.0	1.0	26748.6359373313	3.4307818458853103	8.133671009638643	6.805962324142456	2220719.0	2.314027190208435	16.062071084976196	8.47819443386496	42.64904301846744	137.5339898806376	369.940237091777	357.65332013368607	19755.0	167.01831543445587	533.2675659835338	200.39392490089455	0.28674851060147777	62.66222136161111	691.023239214141	685.7007041573524	21328.0	590.0769335031509	807.9800262540577	65.80922258169095	1.0343004161838785	35.619587988162195	996.9300589703901	1000.0000442862511	204162.0	925.610876083374	1055.468637228012	39.49295700235914	0.16421282291412354	0.46048271656036377	0.5109570026397705	0.46933746291523587
sub-control05_T1w	0.30576806317268446	4.140920344708177	0.5502740038090524	4505.456772930859	4.033359397646742	3.5331081929402273	4.44975	4.11722	0.22525708045814352	0.3999019274724211	0.3748409920694354	1.6914916038513184	0.631620568037033	0.0	0.01272322621751547	28.035977742292584	16.11438085628201	21.661446474624015	176	256	256	2.4352509964461673	11.526380611073632	12.959376354820359	24.916497456941276	63.5287316455712	123.15596174636393	121.13515638822588	176.72077577274254	1.2000000476837158	1.0	1.0	16959.345654307923	3.707183620155875	8.506233890560932	7.5013720616698265	2472994.0	2.500457353889942	19.515764713287354	9.582733501662517	43.20441633157675	136.39723148793018	368.84007533160184	359.48648469522595	10428.0	190.4037288222462	535.6467546150088	147.6107588945511	0.5686496028199679	56.331107203831955	698.6842550918857	696.8957605585456	15205.0	603.9641284644604	803.549414716661	60.45894778521928	0.6910853726400141	36.34848330006492	998.5137904471843	999.9999812617898	172338.0	928.767440058291	1062.1454945206642	40.13393462344982	0.1775488406419754	0.4418843686580658	0.5230221748352051	0.4448694991589343
sub-control06_T1w	0.3403210193381615	3.8314316886396123	0.5833190928386198	3711.9204391127205	4.071728840906931	3.6225165227207925	4.31362	4.27905	0.24808629893360773	0.38168438985354797	0.3702293112128443	1.5589512586593628	0.48137903213500977	0.00020061581436688568	0.013115860848622032	24.558813806723048	15.355536596099691	20.248925522935714	176	256	256	2.9811667738643015	12.51163398063576	12.814173492506646	22.949719723019868	67.30572321810791	141.65831379457336	135.11147167781544	196.3703780207651	1.2000000476837158	1.0	1.0	1116.0817648622906	3.3362280234096735	9.079426033396183	6.750754818320274	2159132.0	2.191034458577633	22.324864618480206	8.077366275774798	15.446211662054708	133.01014356488568	350.5161267395017	342.74884989857674	15180.0	186.05731667913497	526.6210538338869	114.96759028364073	-0.03152302965302223	57.242649243765975	722.8043991687533	721.3832911998034	16009.0	630.3665354475379	819.9561549767851	57.65520006499441	1.1541531152634974	37.57646300050895	997.4504230423353	999.9999703243375	192524.0	919.4054325371981	1063.7176210656762	43.57340243415619	0.16124556958675385	0.41446274518966675	0.5019292235374451	0.45870098689161093
sub-control07_T1w	0.33402961002277065	3.8456113967739705	0.5576012685005842	2621.5275220980348	3.9878300708907886	3.568050212672365	4.308	4.08744	0.22892247688629444	0.39884374096961284	0.3722337821440927	1.0637524127960205	0.3185738235712051	0.0	0.004181889036746049	30.083471699699448	17.377467559201598	23.90608731143745	176	256	256	2.9278368457966226	11.535383458588973	13.181172671127214	25.080297708996046	64.57801077057772	113.96066500597551	112.80335298499743	159.87138317843903	1.1999999284744263	1.0	1.0	10125.068161130006	4.097896556954977	11.35878671741384	10.604693353176117	2177933.0	2.6511733382940292	23.860560044646263	12.971554954660798	24.530103055276317	131.96899524234598	392.5394540108306	403.93728245794773	16689.0	186.65388460457325	567.1818705648184	137.96027635714424	0.18874981922203604	60.3812513086019	716.6039746155072	712.8271803408861	19181.0	621.3334961980581	824.0072367191315	61.79322959325579	1.067560811475066	35.54298034093602	998.3356969079989	1000.0000200271606	161241.0	929.6593146473169	1060.130887657404	39.871812156174364	0.16895653307437897	0.4528951644897461	0.5064679384231567	0.42979053529868116
sub-control08_T1w	0.35657521710894224	3.6166195658544975	0.5609288649462437	2987.2061692902253	3.827822844565945	3.3615585336978357	4.16573	3.95618	0.2228558791100879	0.4150937928044146	0.3620503280854975	1.3079042434692383	0.3727484762668609	0.0	0.007894519226158199	27.78253408448243	15.707484729265184	22.294177081390288	176	256	256	2.280649117158477	10.66780182671934	11.744724439816778	22.28572237557252	48.0670259379569	113.12198954142256	106.95199676695552	159.66697482148706	1.1999999284744263	1.0	1.0	15931.237688135578	4.1031427622419345	10.469820197557516	10.332103550434113	2417485.0	2.6445265039801598	20.91020956635475	8.540926434752555	5.917815117297462	127.10624467922793	335.4356749048968	301.0455171391368	11030.0	178.68696583695709	553.3825461119413	131.99394325766517	0.1594495208634279	62.73249378716557	712.8677077286841	708.4871006011963	19937.0	610.3813173651695	831.1316297695041	66.4119322555023	0.6037330255069988	41.21378952296343	997.5391179949565	1000.0000222027302	165297.0	918.5117055103183	1066.9126928150654	44.87164384834589	0.18189191818237305	0.4507562518119812	0.5040808320045471	0.45933500946354416
sub-control09_T1w	0.335677562997115	3.770499363901344	0.5232432048983005	4556.685494276795	3.890028957305422	3.443516871916267	4.1671	4.05947	0.23230248908462747	0.41526131539143935	0.3524361955239332	1.6040565967559814	0.43716394901275657	7.269577751768844e-06	0.011551578099085906	28.367455024448756	16.35188112642163	24.175710888244303	176	256	256	1.864305254364338	11.419473574718332	11.964848493154745	22.610766650381564	70.14888999883138	127.78145049078465	125.85926043412377	179.64744081275526	1.1999999284744263	1.0	1.0	6.438298566467752	3.6467893123154935	8.173532986830052	7.194686885923147	2680830.0	2.3982289619743824	17.15656103566289	5.255152284762312	46.937928629543165	132.74313096828396	387.25616945355006	390.4808694496751	11639.0	190.24719903990626	538.8635998405516	209.4421466124845	0.2210238628134884	59.89851445478198	712.7744937701724	711.290112901479	14971.0	612.6552602089942	818.2880204357207	62.285389274119545	1.4639415864535152	37.01491152000226	996.6937485314668	999.9999840930104	151810.0	916.0004773736	1062.2309510037303	44.22657161339954	0.17683760821819305	0.4635336399078369	0.5209624171257019	0.48091322055193736
sub-control10_T1w	0.33775630158312336	3.7872742959832584	0.5350125322369843	3937.0055670319666	3.968818957894515	3.473166873683544	4.34722	4.08607	0.25382940121697606	0.40554848129116455	0.3406221174918594	1.0372748374938965	0.2302701026201247	0.0	0.005566238115164776	31.3742452414269	19.435900537726013	28.9739650613596	176	256	256	3.217545330628835	11.525849788894474	12.49345517364651	22.73697040141622	62.73707723023118	118.08546346479712	115.76986072345744	166.48704147534403	1.1999999284744263	1.0	1.0	13656.17599087534	3.9350592575558356	10.15898011921121	7.839022237807512	2334400.0	2.592432551085949	20.862909577786922	13.099576294978482	42.710597772209155	113.56764043318121	368.34289401848713	376.8285886757076	10920.0	195.54348385334015	527.1341245125979	117.11142983361705	0.19002692766507767	60.398583953182595	711.127786760752	709.2772010602057	13397.0	613.3571966700256	816.1224569156766	61.535656117602166	1.0326295777454666	37.794871473733956	998.5752919351154	999.99999428913	119628.0	921.2394244037569	1068.5142831392586	43.981049234010214	0.17210587859153748	0.4601817727088928	0.5033788084983826	0.45987680604047804
