img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-11_run-03	mni152	0.9101082295282826	84.06186567030124	15.938134329698755	5.2742600815995315
sub-24_run-04	mni152	0.9176617813206126	85.37834326092035	14.621656739079656	5.839170265345348
sub-38_run-02	mni152	0.9104623014122882	84.6598013305386	15.340198669461405	5.518820398270044
sub-14_run-02	mni152	0.907398154365036	84.06749992766832	15.932500072331685	5.276478866845236
sub-29_run-04	mni152	0.9038652905859421	83.85807205226709	16.141927947732903	5.195046857091489
sub-32_run-01	mni152	0.9132601095603821	85.14838416355623	14.851615836443766	5.733274082851923
sub-36_run-02	mni152	0.8848237523640876	80.58476639648332	19.41523360351668	4.15059473618113
sub-23_run-01	mni152	0.9095926961087392	84.21911851281996	15.780881487180043	5.336781635502255
sub-42_run-02	mni152	0.8820729096776255	79.21469874393657	20.785301256063434	3.8110921640276088
sub-27_run-04	mni152	0.8987086514972268	82.13869463869464	17.86130536130536	4.598694942903753
sub-13_run-01	mni152	0.8799158867566945	79.29756874272766	20.702431257272337	3.830350539860967
sub-41_run-03	mni152	0.9292737557419992	87.87102430102894	12.12897569897105	7.2447192971524705
sub-17_run-02	mni152	0.9069604722822623	83.9238501963981	16.076149803601893	5.220394884451425
sub-04_run-01	mni152	0.9104854990301081	85.22976901058425	14.770230989415758	5.770374821602945
sub-23_run-04	mni152	0.9132065441511307	84.70178339007262	15.298216609927382	5.536709640724239
sub-37_run-04	mni152	0.9213128817786815	86.64520177496227	13.354798225037726	6.487945404709962
sub-31_run-02	mni152	0.9288499733565858	88.63562821658603	11.364371783413972	7.7994305277787195
sub-27_run-03	mni152	0.9004768177231376	82.48705175065976	17.512948249340237	4.710060840485113
sub-40_run-01	mni152	0.9084515543647996	83.99184866748756	16.008151332512437	5.246817507084702
sub-14_run-03	mni152	0.9082447794510765	84.12493584043607	15.875064159563932	5.299187139962203
sub-03_run-01	mni152	0.8987776217219084	85.19575035420046	14.804249645799544	5.754817190506735
sub-32_run-02	mni152	0.9112110258896823	84.69090842877692	15.309091571223075	5.532066225795708
sub-42_run-04	mni152	0.8821520084371846	79.23982829603061	20.760171703969387	3.8169158437586423
