trial_type.neutral_cue	trial_type.neutral_prep	trial_type.neutral_resp	trial_type.reward_cue	trial_type.reward_prep	trial_type.reward_resp	trial_type.vgs_prep	trial_type.vgs_resp	incorrect	drop	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
3.742620467879106e-09	-9.043515839794555e-10	-2.0958948261595536e-10	1.6050580640156764e-15	4.754762151652327e-15	1.5724693438360042e-15	-3.0728365491141555e-08	-9.336485459787416e-09	1.1472490349300589e-17	-8.447947742731756e-16	-0.029776999999997	-9.282682033633022e-18	-7.653940921730979e-16	0.0008866697289953	0.0295737999999982	6.045977863370552e-16	-1.4202657455323601e-15	0.0008746096464378	-0.1191750000000063	1.716388570887588e-15	-1.3311429589988214e-15	0.0142026806250024	-0.0002829470000068	6.419625996410644e-16	-2.844773740036302e-16	8.005900477271849e-08	0.000191267999997	4.728088598846172e-16	-2.9128827130946155e-17	3.6583449477832135e-08	0.0010758300000093	-2.5406954306666708e-15	1.411570315926872e-16	1.1574101941291512e-06	-3.645951859834371e-15	-4.13426245896849e-15	-1.6675818415658737e-15	-1.7366153652064597e-15	1
-9.418948750363168e-09	2.2958665619773263e-09	5.616154810038079e-10	1.5019704503314836e-15	3.8738041660530425e-15	1.6328664323912436e-15	6.905028211196275e-08	2.2939544955548475e-08	5.935087364776761e-16	-3.015224580837488e-16	0.1892130000000042	0.2189900000000084	0.0479566201000136	0.0358015593690014	-0.1405920000000031	-0.170165800000004	0.028956399489646	0.0197661104640028	-0.1325010000000027	-0.0133259999999994	0.0001775822759999	0.0175565150010024	-0.0007601730000005	-0.0004772260000006	2.2774465486684123e-07	5.778629904042749e-07	0.0002722559999995	8.09879999999305e-05	6.559056258391353e-09	7.412332919221848e-08	0.0001510620000001	-0.0009247680000014	8.551958526012255e-07	2.281972865267241e-08	0.0964459903000008	0.0964382681000007	0.0964253982999999	0.0964073815000012	1
2.3199472583719097e-08	-5.709849491619083e-09	-1.477471752980996e-09	1.8929243886897663e-15	4.239665273088945e-15	1.6382645272061232e-15	-1.4724129559945604e-07	-5.496524589064242e-08	-1.398377852834462e-15	-6.799801597814901e-17	0.3038520000000104	0.1146390000000041	0.0131421003209963	0.0923260379040097	-0.1307320000000041	0.0098600000000014	9.72195999973693e-05	0.0170908558240022	-0.1013710000000002	0.0311300000000013	0.0009690768999991	0.0102760796409944	-0.0007878659999993	-2.769299999957496e-05	7.669023131952082e-10	6.207328328522548e-07	1.5614499989970582e-06	-0.0002706945499988	7.32755388965474e-08	2.436516652382288e-12	-0.000164739	-0.0003158010000013	9.973027173709737e-08	2.7138936571145404e-08	0.0964253982999981	0.0963559109999994	0.0962401358999994	0.0960781287000007	1
-5.5746442576405296e-08	1.3875143305334568e-08	3.815580420410871e-09	1.8119296325350813e-15	4.6099723775763186e-15	1.5376449186709328e-15	2.894613422814257e-07	1.2774786148093325e-07	-2.680373897316096e-16	-2.0046566204901687e-16	0.2171610000000071	-0.0866910000000056	0.0075153294810006	0.0471588999210041	-0.0607760000000023	0.0699560000000016	0.0048938419360002	0.0036937221760006	-0.1951420000000036	-0.093771000000003	0.0087930004410027	0.0380804001640038	-0.0008466659999983	-5.880000000036206e-05	3.4574383695605206e-09	7.168433151812481e-07	0.000629478999999	0.0006279175500005	3.9428045105040873e-07	3.9624381296168194e-07	-0.000185966000002	-2.122699999747221e-05	4.5058352060754966e-10	3.4583351730461105e-08	0.0963842185999994	0.096191266999999	0.0958699670999997	0.0954207476000008	1
1.3001225904956906e-07	-3.280720065834587e-08	-9.6654303740809e-09	1.5271872226739016e-15	4.7667628449361374e-15	1.5123003740295538e-15	-4.89160184268437e-07	-2.8542551014659065e-07	-2.8262505697537523e-16	-3.477452467800875e-16	0.1490120000000052	-0.0681490000000029	0.0046442862009997	0.0222045761440013	0.0348995000000012	0.0956755000000021	0.0091538013002528	0.001217975100247	-0.1885440000000046	0.0065980000000004	4.353360399815095e-05	0.0355488399360064	-0.0002774679999982	0.0005691980000021	3.239863640339044e-07	7.698848807214256e-08	0.0008428980000034	0.0002134190000005	4.554766853338128e-08	7.104770381847092e-07	0.0004858099999997	0.0006717760000032	4.512829972434861e-07	2.360113582704977e-07	0.0963224601000014	0.0959444767999992	0.0953156030999996	0.0944374833000007	1
-2.917979792827541e-07	7.496476117407524e-08	2.39762959762482e-08	1.942035318364972e-15	4.258494919572578e-15	1.3569942691321337e-15	5.450965314890201e-07	6.033472731699419e-07	3.183936320847326e-16	-1.8146409978773155e-16	0.1091050000000041	-0.0399070000000027	0.0015925686489971	0.0119039010249999	-0.051515700000001	-0.0864152000000034	0.0074675867910418	0.0026538673464903	-0.1342570000000035	0.0542870000000019	0.0029470783690008	0.0180249420490027	-0.0010001399999995	-0.0007226720000029	5.222548220612684e-07	1.0002800185189988e-06	0.0007623720000002	-8.052600000487599e-05	6.484435154019609e-09	5.812110644075083e-07	-0.0003573920000017	-0.0008432020000024	7.109896169427224e-07	1.277290403619393e-07	0.096240135900001	0.0956157511999997	0.0945781089000001	0.0931316938000012	1
6.208260400168389e-07	-1.6362105569258633e-07	-5.80807784741616e-08	1.1580774021578832e-15	4.623569269550346e-15	1.4772602471574457e-15	5.457769412836325e-07	-1.1683410934599651e-06	-1.799970975597792e-15	-4.1468622697715244e-16	0.0788829000000037	-0.0302221000000009	0.0009133753284087	0.0062225119124088	0.0125416999999996	0.0640574000000019	0.0041033504947607	0.0001572942388877	-0.1215870000000029	0.0126700000000005	0.0001605288999988	0.0147833985690022	-0.0013307500000004	-0.0003306100000008	1.0930297097068397e-07	1.7708955639740243e-06	0.0002913119999996	-0.0004710600000004	2.218975230474852e-07	8.486268243833785e-08	-1.5628379142970424e-15	0.0003573920000018	1.2772904174194118e-07	-8.92213709156975e-16	0.0961372637000013	0.0952053708000004	0.0936589016000003	0.0915078388000014	1
-1.2151693678260149e-06	3.33739665903688e-07	1.3677776852301673e-07	2.685915684082095e-15	4.097127263525413e-15	1.3174471869838198e-15	-6.731764801791009e-06	1.911023178848251e-06	-2.5406751186017758e-15	-2.893403750337396e-16	0.0566966000000031	-0.0221863000000012	0.0004922319076888	0.0032145044515584	-0.0258856000000008	-0.0384273000000014	0.0014766573852884	0.0006700642873598	-0.1016180000000028	0.0199690000000008	0.0003987609609993	0.0103262179240019	-0.0012099000000011	0.0001208499999999	1.4604721015192505e-08	1.4638580105147811e-06	0.0006685469999989	0.0003772349999997	1.4230624463910334e-07	4.4695509083409e-07	-7.760525209412623e-16	5.014422682229344e-16	-7.393258727795976e-16	-1.0587932336880805e-15	0.0960138653000016	0.0947136862000007	0.0925597472000005	0.0895714640000016	1
2.033695799600992e-06	-6.061558359456579e-07	-3.1083500248925345e-07	-2.87473028516624e-16	5.013240370778497e-15	1.7141003708056105e-15	3.351580774980939e-05	-1.8687481255471744e-06	-1.969163383349913e-15	-3.42690296155879e-16	0.0417971000000028	-0.0148995000000005	0.0002219951002493	0.0017469975684081	-0.0139976000000012	0.0118880000000005	0.0001413245439986	0.0001959328057584	-0.046057200000001	0.0555608000000018	0.0030870024966414	0.0021212656718383	-0.0017483700000016	-0.000538470000001	2.899499402877543e-07	3.0567976601493494e-06	0.0001047899999982	-0.000563757000001	3.178219548250889e-07	1.0980944279977102e-08	-3.922000788703518e-16	2.9351920039397176e-16	-7.041050307784867e-16	-4.053722249296884e-16	0.095869967100001	0.094141117200001	0.0912827574000007	0.0873291827000019	1
-2.1830723096236697e-06	8.473928525192938e-07	6.730349036918037e-07	5.062087883367692e-15	3.605466264537594e-15	9.333529453950548e-16	-0.0001178510500163	-3.610569912610439e-06	1.968445836055436e-14	7.100746215589474e-17	0.0490445000000029	0.0072474000000002	5.252480675828384e-05	0.0024053629802486	-0.0294944000000013	-0.0154968000000002	0.0002401508102385	0.0008699196313596	-0.0612213000000013	-0.0151641000000005	0.0002299499288091	0.0037480475736894	-0.0014512900000019	0.0002970800000005	8.825652441503803e-08	2.1062426666456854e-06	0.0008837950000004	0.0007790050000026	6.068487911000603e-07	7.81093601381426e-07	-4.307592312994843e-17	-2.6750865738368653e-16	2.866216615646175e-16	-7.428343076043114e-16	0.0957055999000015	0.0934881527000012	0.0898303859000006	0.0847886526000021	1
