trial_type.cue_largeloss	trial_type.cue_largewin	trial_type.cue_neutral	trial_type.cue_smallloss	trial_type.cue_smallwin	trial_type.fix_largeloss	trial_type.fix_largewin	trial_type.fix_neutral	trial_type.fix_smallloss	trial_type.fix_smallwin	trial_type.probe	trial_type.fb_largelosshit	trial_type.fb_largelossmiss	trial_type.fb_largewinhit	trial_type.fb_largewinmiss	trial_type.fb_neutralhit	trial_type.fb_neutralmiss	trial_type.fb_smalllosshit	trial_type.fb_smalllossmiss	trial_type.fb_smallwinhit	trial_type.fb_smallwinmiss	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	cosine11	intercept
1.0404498414768478e-76	-1.3507172138972655e-46	6.586725624121951e-17	1.654593287387172e-28	8.945094799310676e-96	1.5541191837731807e-78	-5.362222230546653e-49	-4.539403390312712e-18	4.5001016927832156e-29	2.039722376687348e-97	-3.685639881237216e-19	-8.584227221465881e-82	-7.144796846684067e-294	-2.2639311183339077e-133	3.184989324032859e-51	-8.263701311253597e-21	-5.9849301810410804e-61	1.3673728367690986e-159	5.808151586180569e-32	2.4544993077948084e-101	2e-323	0.0116969998925924	0.0	0.0	0.0001368198064873	0.0035689999349415	0.0	0.0	1.273776053561243e-05	-0.0169600006192922	0.0	0.0	0.0002876416210063	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
-2.7897032590059356e-76	3.9952354298229686e-46	-3.1591571058279564e-16	6.290552752654145e-28	-2.2209385061665946e-95	-4.672507864072334e-78	3.2244458117520634e-48	7.63640255670934e-18	-8.90082833395689e-29	-5.36670511923459e-97	8.256008764514472e-19	1.5950274861213854e-81	1.4479580819778195e-293	1.0881573679660681e-132	-7.130685048484315e-51	1.9876266294566156e-20	1.2122266377452435e-60	-3.4295134166462285e-159	-1.4273708819922088e-31	-1.0320579437427022e-100	-2e-323	0.0029499726243358	-0.0087470272682566	7.651048603162452e-05	8.702338484330648e-06	0.0062583561251727	0.0026893561902312	7.232636717934875e-06	3.916702138948665e-05	0.1026725440959239	0.1196325447152161	0.0143119457550381	0.0105416513111294	-3.3966002196953095e-08	-3.3966002196953095e-08	1.1536893052434225e-15	1.1536893052434225e-15	-0.0006119999270501	-0.0006119999270501	3.745439107093277e-07	3.745439107093277e-07	-0.0001110000215289	-0.0001110000215289	1.2321004779416264e-08	1.2321004779416264e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
7.352395266268835e-76	-1.1404146911352924e-45	1.1586779320175513e-15	-4.1686472285203306e-27	5.438020270135615e-95	1.3497858838194772e-77	-1.2680129678413055e-47	-9.511816569798472e-18	1.6050429598477787e-28	1.3904774765424729e-96	-1.7953049418863696e-18	-2.5498664829659737e-81	-2.7213742040289306e-293	-3.994049086590767e-132	1.549521861103513e-50	-4.704650046486704e-20	-2.276240316037494e-60	8.48450586511343e-159	3.4577706845249663e-31	3.595294900869757e-100	2e-323	-0.0146743271695868	-0.0176242997939226	0.000310615943226	0.00021533587788	0.0163376532431982	0.0100792971180254	0.0001015922303934	0.0002669189134949	0.1312796174663901	0.0286070733704662	0.0008183646468232	0.0172343379621217	-0.0001860001891075	-0.0001859662231053	3.4583436136051345e-08	3.4596070348025764e-08	-0.0009959996491781	-0.0003839997221279	1.474557865943812e-07	9.92015301162898e-07	-9.26280695002829e-08	0.0001109073934593	1.23004499239581e-08	8.579959259349238e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
-1.907919037739216e-75	3.167572348733449e-45	-3.783155150781093e-15	1.679605009555315e-26	-1.312238555684881e-94	-3.78439697972765e-77	4.2862499341910387e-47	-5.918729673515148e-19	-2.4010072363212434e-28	-3.5512237576761593e-96	3.752453607308591e-18	2.6785399241724127e-81	4.454960493386101e-293	1.304601126992386e-131	-3.235623568892908e-50	1.0937227351614541e-19	3.719296295059046e-60	-2.069746100158441e-158	-8.24858552153054e-31	-1.141381372750689e-99	-2e-323	-0.0658315900819559	-0.051157262912369	0.0026170655486852	0.0043337982527186	0.0067832053293983	-0.0095544479137998	9.12874749375152e-05	4.60118745407775e-05	0.0873400200872112	-0.0439395973791789	0.0019306882178443	0.0076282791088344	-8.184016093232217e-08	0.0001859183489465	3.4565632475017706e-08	6.6978119414283915e-15	-0.0013200006102853	-0.0003240009611071	1.0497662279838933e-07	1.7424016111535644e-06	-0.0001240001685394	-0.0001239075404698	1.5353078585299836e-08	1.5376041797799605e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
4.879925238622257e-75	-8.605382473882632e-45	1.1554010759584214e-14	-5.741846976914611e-26	3.117138275789593e-94	1.0360838348212687e-76	-1.3371332800445756e-46	6.263935338751337e-17	1.8749184636350942e-28	8.945157262576193e-96	-7.405901947710779e-18	2.673538863790317e-81	-5.089885964229765e-293	-3.9853380614407854e-131	6.37654921800316e-50	-2.4900137067588195e-19	-4.2226596757390154e-60	4.974716142144108e-158	1.9346143204047374e-30	3.4233783439282213e-99	2e-323	-0.1202930974355496	-0.0544615073535937	0.0029660557832255	0.0144704292906386	0.0109802428158047	0.0041970374864063	1.7615123662300547e-05	0.000120565732294	-0.006171853509997	-0.0935118735972082	0.0087444705036602	3.809177574886229e-05	0.0001357573475432	0.0001358391877041	1.8452284916118493e-08	1.84300574119652e-08	-0.0020600172786111	-0.0007400166683257	5.476246694000169e-07	4.243671188176282e-06	-0.0002358601524357	-0.0001118599838963	1.2512655997280497e-08	5.5630011506991646e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
-1.2309651370740553e-74	2.2942854719266765e-44	-3.375248218154104e-14	1.8031586682459012e-25	-7.27608252705123e-94	-2.780724600917583e-76	3.963847801545716e-46	-3.079903182456317e-16	5.738337613965914e-28	-2.222591128252944e-95	1.3303416281423869e-17	-3.0114030866727315e-80	-2.630301882552395e-293	1.1644333463366702e-130	-1.1424698784884335e-49	5.526761174815057e-19	-2.32888648033648e-60	-1.1765751739853398e-157	-4.450334271675105e-30	-9.872256477416046e-99	-2e-323	-0.0707581158054324	0.0495349816301172	0.002453714405096	0.0050067109523349	0.0018404801876954	-0.0091397626281093	8.353526089818342e-05	3.387367321299295e-06	-0.0176111377590117	-0.0114392842490146	0.0001308572241297	0.0003101521731668	0.0003888290040829	0.0002530716565397	6.404526334374789e-08	1.511879944160999e-07	-0.001142057681795	0.000917959596816	8.426498213867767e-07	1.3042957485469694e-06	-0.0002987780601048	-6.291790766910002e-05	3.9586631054573954e-09	8.92683291999875e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
3.0629563480305774e-74	-6.016205723314038e-44	9.544772843579293e-14	-5.369373637377323e-25	1.6644524629334606e-93	7.335124456051372e-76	-1.1333235554363037e-45	1.139504723878199e-15	-4.032177458641569e-27	5.44620343947622e-95	-1.9722095839063815e-17	1.3307454110158907e-79	4.503221931063813e-292	-3.2933101739198284e-130	1.6833290144882877e-49	-1.1875298252776356e-18	3.80897414435888e-59	2.7328120660174497e-157	1.0004389016601709e-29	2.764167451349365e-98	2e-323	-0.0533623373706717	0.0173957784347607	0.0003026131073512	0.0028475390496613	0.0019035960009574	6.311581326199993e-05	3.983605883723647e-09	3.6236777348610056e-06	-0.0417818817883244	-0.0241707440293127	0.0005842248669305	0.0017457256457735	-1.1736919692360177e-07	-0.0003889463732798	1.5127928128752793e-07	1.3775528386491212e-14	-0.0007290006307782	0.0004130570510167	1.7061612739469529e-07	5.314419196750135e-07	-0.0003220002447164	-2.3222184611599976e-05	5.392698581352304e-10	1.0368415759742149e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
-7.516519335753987e-74	1.5539231826530362e-43	-2.6314122292743534e-13	1.540271209557736e-24	-3.716280449835783e-93	-1.9049612311207986e-75	3.151990413801632e-45	-3.737501674112204e-15	1.64636367193943e-26	-1.3152727789460082e-94	1.4650645915477375e-17	-4.7321444949386536e-79	-2.075821499879376e-291	9.080352517086389e-130	-1.2065948188280707e-49	2.440867250375469e-18	-1.7492659610991673e-58	-6.214997978827622e-157	-2.1854162506469932e-29	-7.559362574670366e-98	-2e-323	-0.0240990013264337	0.0292633360442379	0.0008563428364379	0.0005807618649314	0.0005381172255169	-0.0013654787754404	1.864532286178487e-06	2.8957014839800625e-07	-0.0769805115098591	-0.0351986297215347	0.0012389435342737	0.0059259991523195	-8.788999468302742e-09	1.0858019745529905e-07	1.1789659279431724e-14	7.724651165382587e-17	-0.0001869999956427	0.0005420006351355	2.937646884872854e-07	3.4968998370369815e-08	-9.400000408521198e-05	0.0002280002406311	5.1984109727879634e-08	8.836000768019871e-09	0.0337004071	0.0337003669	0.0337002998	0.033700206	0.0337000853	0.0336999379	0.0336997636	0.0336995625	0.0336993346	0.0336990798	0.0336987983	0.0336984899	1
1.8181017342170752e-73	-3.956947259569141e-43	7.104272611134565e-13	-4.294957692805328e-24	8.047077023359845e-93	4.876048314255131e-75	-8.572361022738701e-45	1.1447200228521624e-14	-5.662108429272468e-26	3.1270988214045605e-94	5.086917914280916e-17	1.5196551410724579e-78	7.503561166973729e-291	-2.4517313482230985e-129	-4.560133024223331e-49	-4.6934638303013225e-18	6.3142529086552774e-58	1.3776317355866795e-156	4.596448717666173e-29	2.0269385154587148e-97	2e-323	-0.0511857386674989	-0.0270867373410651	0.0007336913397838	0.0026199798429374	0.0015050111833545	0.0009668939578376	9.348839257028588e-07	2.2650586620221125e-06	-0.1489725778000661	-0.0719920662902069	0.0051828576087335	0.0221928289363967	1.3418345672310777e-05	1.342713467177908e-05	1.8028794549409184e-10	1.8005200058162135e-10	-0.0006330010864288	-0.0004460010907861	1.9891697298239105e-07	4.006903754200411e-07	-0.0002579961243114	-0.0001639961202261	2.6894727449242326e-08	6.656200015970337e-08	0.0337002998	0.0336999379	0.0336993346	0.0336984899	0.033697404	0.0336960768	0.0336945083	0.0336926985	0.0336906474	0.0336883551	0.0336858215	0.0336830467	1
-4.329973926327143e-73	9.938359208486105e-43	-1.8837923124894192e-12	1.17060557580122e-23	-1.672097259675182e-92	-1.2308925573663632e-74	2.287635401871765e-44	-3.3507584670443064e-14	1.7843482897492325e-25	-7.306596869769721e-94	-3.4508323254567513e-16	-4.592290508948602e-78	-2.4311725960432409e-290	6.501609124280795e-129	3.0264781062520807e-48	8.037031997059218e-18	-2.044289577028899e-57	-2.9549202123885707e-156	-9.157456280484653e-29	-5.342305644871192e-97	-2e-323	-0.106943808209678	-0.0557580695421791	0.0031089623190704	0.0114369781143883	0.010342094859709	0.0088370836763545	7.809404790289115e-05	0.0001069589260872	-0.2481675774151739	-0.0991949996151078	0.0098396479486412	0.0615871464801163	0.0002942676879166	0.0002808493422442	7.887635303904992e-08	8.659347215178149e-08	-0.0011450591691313	-0.0005120580827025	2.622034800609604e-07	1.311160500811663e-06	-0.0004063318470053	-0.0001483357226938	2.20034866271216e-08	1.6510556989073854e-07	0.0337000853	0.0336990798	0.033697404	0.0336950579	0.0336920416	0.0336883551	0.0336839985	0.0336789718	0.0336732753	0.033666909	0.0336598729	0.0336521674	1
