img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-01_ses-test	mni152	0.8912626689100703	88.09789114829067	11.902108851709325	7.401872411512894
sub-07_ses-retest	mni152	0.8594351719065606	87.99799181620675	12.002008183793246	7.3319389945953946
sub-04_ses-retest	mni152	0.8764751639995507	86.01696645084384	13.983033549156168	6.1515239985986225
sub-02_ses-test	mni152	0.8704383791772549	87.3084060320372	12.691593967962799	6.879230950220162
sub-05_ses-retest	mni152	0.8323860832373746	80.80605237943149	19.19394762056851	4.209975664038938
sub-02_ses-retest	mni152	0.8720192019708174	86.75580624312778	13.244193756872225	6.550478484061094
sub-04_ses-test	mni152	0.8677283122172701	85.42248660728958	14.577513392710422	5.8598805095254205
sub-06_ses-test	mni152	0.8798657894047026	83.88370492547011	16.116295074529887	5.20490004294098
sub-07_ses-test	mni152	0.861700436249431	88.58939279268789	11.410607207312104	7.763775510204081
sub-08_ses-test	mni152	0.8669011379000745	86.79124998406229	13.208750015937712	6.57073908426912
sub-10_ses-test	mni152	0.8919080421611753	87.32813261823502	12.671867381764992	6.891496729511352
sub-09_ses-test	mni152	0.8763906237292801	86.2238470975869	13.776152902413106	6.258920593316256
sub-03_ses-retest	mni152	0.8794675529663447	86.51854100600188	13.481458993998121	6.417594790335342
sub-10_ses-retest	mni152	0.8933797736345744	87.25749006512748	12.742509934872515	6.847747461928933
sub-05_ses-test	mni152	0.8308857311630349	80.46894863971524	19.53105136028477	4.1200520727391075
sub-03_ses-test	mni152	0.8796645126951257	86.29921838030123	13.700781619698773	6.298853654905464
sub-09_ses-retest	mni152	0.8845367118889745	86.6776282319999	13.322371768000096	6.506170953748397
sub-06_ses-retest	mni152	0.8836197899250775	84.62944919119731	15.370550808802694	5.505947720671801
sub-01_ses-retest	mni152	0.8802961967354077	86.6798739010526	13.320126098947394	6.507436435448037
sub-08_ses-retest	mni152	0.8706391978060088	87.37418382293282	12.625816177067186	6.920280051410404
