trial_type.stimulus_random	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	intercept
-3.299797611107321e-09	8.010030002150894e-06	-8.652060754251185e-16	2.3409944361846163e-16	6.41625839169219e-11	-8.144909997406695e-06	-6.408793492980022e-16	-8.073599179372414e-16	6.633951513533455e-11	-4.97400000906305e-06	1.1841271072435785e-15	-1.077702651575791e-15	2.4747510011515e-11	0.0001881260000025	9.841079889021901e-16	-1.4371528682350434e-15	3.539139557668098e-08	-0.0001086959999987	-6.146303128572771e-17	-8.851843101270275e-16	1.1814819841737091e-08	0.0004809340000006	1.0617215957646454e-15	-2.520450292458644e-15	2.312975158309263e-07	-1.5714866804539205e-15	-1.6953889368639453e-15	-1.1217399266627829e-15	1
9.255981855423562e-09	2.9999300020591424e-06	-5.0101000013714096e-06	2.510076523131465e-11	8.999991827871035e-12	-0.0178686999999991	-0.0178605550900016	0.000318999428122	0.0003192904396897	0.0202438999999937	0.0202488740000043	0.0004100168982697	0.0004098154872098	3.103450998552517e-15	-0.0001881260000022	3.539139161907429e-08	6.032573625281879e-16	-0.0003010380000019	-0.0001923420000005	3.6995444488265364e-08	9.062387908501135e-08	-1.876062390314196e-15	-0.0004809340000027	2.3129751762174726e-07	-3.1767941103096348e-15	-1.236265394320567e-15	-1.5791623702903345e-15	-1.0683994636120417e-15	1
-2.546671433478853e-08	-7.286550020572865e-07	-3.728584999557273e-06	1.3901215994885668e-11	5.305089586739384e-13	-0.0023144699999994	0.0155542300000009	0.0002419340708926	5.356771380444233e-06	0.019688599999997	-0.0005553000000004	3.08358089263063e-07	0.0003876409699641	-0.0006106510000009	-0.0006106510000031	3.728946505741558e-07	3.728946397360579e-07	-0.0004056449999997	-0.0001046070000012	1.094262339969763e-08	1.6454786589483487e-07	5.19859753532013e-17	2.028913118530929e-16	-1.779135601407188e-16	-2.1403536336095031e-16	0.1166357094000011	0.1166157323000006	0.1165824397000015	1
6.882492376004672e-08	0.0043910399999989	0.0043917686550012	1.92876319192048e-05	1.9281232280945885e-05	-0.0170240000000002	-0.0147095300000008	0.0002163702728203	0.0002898165759996	0.0199924999999969	0.0003039	9.235520961050089e-08	0.000399700056254	-0.0005480560000028	6.259500000120431e-05	3.918131567070825e-09	3.003653756352528e-07	-0.0001314389999976	0.0002742060000016	7.518893196336473e-08	1.7276207231845522e-08	8.95867936732129e-16	8.712783909736432e-16	-1.2059912550686536e-15	-2.202016433462384e-15	0.1165824397000017	0.1164027144000006	0.1161033775000014	1
-1.828203962660175e-07	-7.286550013132605e-07	-0.0043917686550011	1.928763191884454e-05	5.29415142535101e-13	-0.0346132000000026	-0.0175892000000003	0.0003093799566387	0.0011980736142411	0.0297538999999985	0.0097614000000018	9.52849299607684e-05	0.0008852945652113	-0.0001301529999986	0.000417903000002	1.7464291903233718e-07	1.6939806529028333e-08	-0.0004056449999996	-0.0002742060000029	7.518893228864862e-08	1.645478660422205e-07	2.1497178082966337e-15	3.478221107080119e-17	-1.6777299659981638e-15	-1.879071329849856e-15	0.1164759247000021	0.1159770678000007	0.1151472216000014	1
4.773236154581744e-07	-7.296170023963529e-07	-9.619997548399267e-10	-1.0791121703605908e-15	5.310423954116557e-13	0.0107646000000002	0.045377800000003	0.0020591447328453	0.0001158766131593	0.0433566999999998	0.0136028000000015	0.0001850361678412	0.0018798034348896	-0.0005534869999984	-0.0004233340000016	1.7921167702393053e-07	3.0634785871190694e-07	-0.0004056450000004	1.0222008639634533e-15	-1.871918031391133e-15	1.6454786676984102e-07	1.1028046748488748e-15	-1.0674028675513793e-15	-1.3403538513442845e-15	2.5706402618969395e-16	0.1163162130000019	0.1153395698000007	0.1137179010000015	1
-1.2241552753230547e-06	-7.298730023497903e-07	-2.559995128413593e-10	-8.463380491502867e-16	5.311800307592651e-13	-0.0289865000000011	-0.0397511000000024	0.0015801499512125	0.0008402171822498	0.0401849999999999	-0.0031716999999998	1.0059680889409169e-05	0.0016148342250003	-0.0003200469999987	0.0002334399999995	5.4494231858371194e-08	1.024300835421378e-07	-0.0004056450000009	-1.5655728090116947e-16	-1.359032345332473e-15	1.6454786630962338e-07	2.1455603184299795e-15	7.720058169187257e-16	-7.486259308929819e-16	1.5784209527594935e-16	0.1161033775000022	0.1144913851000009	0.1118212892000016	1
3.079659949053826e-06	0.0087998699999999	0.0088005998730019	7.74505581257002e-05	7.743771201630798e-05	-0.0189013000000022	0.0100852000000013	0.0001017112590387	0.0003572591416893	0.0449041000000002	0.0047191000000001	2.226990480989802e-05	0.0020163781968099	-0.0005776820000001	-0.0002576350000016	6.637579278575305e-08	3.337164933624895e-07	-0.000405645000002	1.1075734364607937e-16	-2.063755189778358e-15	1.645478661517919e-07	3.657824650392579e-15	-8.463472857191413e-16	-1.0354128521631618e-15	-3.0455121130206903e-16	0.115837515400002	0.1134340629000007	0.1094651797000015	1
-7.580282096194771e-06	3.5913899998711414e-05	-0.0087639561000021	7.680692652379345e-05	1.2898063543503372e-09	-0.0188994000000016	1.9000000005829652e-06	3.608406425878864e-12	0.0003571873203598	0.0449041000000003	3.5008097452491294e-17	-6.800029972972785e-16	0.0020163781968096	-0.0005776820000009	3.023234873357428e-16	-1.3558230097652769e-15	3.337164933130871e-07	-0.000405645000002	4.766225983778297e-16	-3.115041391046292e-15	1.645478679468278e-07	-0.0003163609999994	-0.0003163610000031	1.0008428453098437e-07	1.000842827734525e-07	0.1155187483000021	0.1121695347000008	0.1066592543000014	1
1.818714435184522e-05	0.0112121000000005	0.0111761861000025	0.0001249071357444	0.0001257111864099	-0.0188981000000016	1.3000000006089498e-06	1.68860828487546e-12	0.0003571381836094	0.0449187000000001	1.4599999999374088e-05	2.1315991286792863e-10	0.0020176896096903	-0.0004775470000002	0.0001001350000008	1.0027016653582215e-08	2.2805113769820714e-07	-0.0004056450000026	4.543177828276396e-17	-1.2012294067936205e-15	1.6454786759228177e-07	-0.0001907889999995	0.0001255720000016	1.576832694655063e-08	3.6400441649631145e-08	0.1151472216000018	0.1107001104000006	0.1034150432000015	1
