trial_type.famous_delayed	trial_type.famous_immediate	trial_type.famous_initial	trial_type.scrambled_delayed	trial_type.scrambled_immediate	trial_type.scrambled_initial	trial_type.unfamiliar_delayed	trial_type.unfamiliar_immediate	trial_type.unfamiliar_initial	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	intercept
-3.4492085083717216e-16	-0.0005129239263017	-0.0013680332557208	-2.8461879669127133e-16	3.2822191531086123e-14	-1.3178579666590394e-06	-3.1858375843741663e-16	2.5804823816725096e-05	1.706123508470382e-05	-0.0017409393700191	0.0336885000000035	-5.252595291399341e-16	-1.6637471400171238e-15	0.0011349150322525	0.110661000000005	-2.1086305622574415e-15	-9.889162895083969e-16	0.0122458569210007	0.1216839999999973	3.3237757561359434e-16	-6.302170009779894e-16	0.0148069958559991	0.0005328120000014	7.995150253729899e-16	-3.3511506690658196e-16	2.8388863252182454e-07	0.0005921310000011	-1.4589485582164273e-15	-7.432974627504163e-16	3.506191215233159e-07	0.0001297340000009	-8.264521908802847e-16	1.2129085620105918e-15	1.683091125689811e-08	0.0980552714000007	0.0980468830000009	0.0980329030000021	0.0980133320000018	0.0979881712000014	1
-3.612069893712606e-16	0.0013178722201966	0.0224460649549274	-6.77085361378402e-17	-9.091334071439229e-14	1.634187863603192e-06	-2.980072895835991e-16	-6.810678434587024e-05	3.248358203584532e-06	0.0225797872856453	0.0236978000000013	-0.0099907000000022	9.98140864912228e-05	0.0005615857248379	0.0771612000000017	-0.0334998000000015	0.0011222366000395	0.0059538507854389	0.1693599999999993	0.0476760000000021	0.0022730009760001	0.0286828095999986	-0.0003830669999991	-0.0009158790000015	8.388343430288669e-07	1.467403279898387e-07	0.0005327740000017	-5.935700000157624e-05	3.523252452164334e-09	2.838481358305741e-07	9.880039999983689e-05	-3.093360000029622e-05	9.568881246924e-10	9.761519501550665e-09	0.0980329030000016	0.0979574220000012	0.0978316635000018	0.0976556919000017	0.0974295977000017	1
-2.0120256440887943e-16	-0.0024073388033499	0.1495057743527097	-1.1639207150245508e-15	2.423538485102979e-13	6.434654256566728e-07	-1.6353462336557758e-16	0.0001764639349082	-0.0001248714445772	0.1337763968657107	0.0259747000000006	0.0022769000000003	5.184273609087964e-06	0.0006746850400895	0.0620054999999995	-0.0151556999999999	0.0002296952424887	0.0038446820302492	0.1652119999999999	-0.0041479999999999	1.7205903998971683e-05	0.0272950049439992	-0.0003799929999987	3.0739999995016517e-06	9.449627790807046e-12	1.4439468271433333e-07	0.0005976020000022	6.482799999976307e-05	4.2026686063141996e-09	3.5712815280024697e-07	9.88004000006959e-05	-5.999289274696745e-16	2.928812537772122e-16	9.761518826466231e-09	0.0979881712000016	0.0977785816000013	0.0974295977000016	0.0969417169000019	0.096315634800002	1
-3.845581586938537e-16	0.0599883387178583	0.1946317233254371	3.279429210276185e-15	-6.359813791027844e-13	-1.4871928176926625e-05	-2.2617262533026806e-16	-0.0004408634564561	0.0003798477526536	0.2226334273488497	0.033979300000002	0.0080046000000012	6.407362115928047e-05	0.001154592828493	0.1109090000000013	0.0489035000000007	0.0023915523122498	0.0123008062810003	0.1774259999999993	0.0122140000000006	0.0001491817959992	0.0314799854759994	-0.0010356799999996	-0.0006556870000002	4.299254420216636e-07	1.0726330619185548e-06	0.0003505910000015	-0.0002470110000014	6.10144347934557e-08	1.2291404927585222e-07	9.880040000107602e-05	-1.036847001964186e-15	-1.1668949190790284e-16	9.7615187699447e-09	0.0979210862000013	0.0975105250000012	0.0968275308000016	0.0958740120000019	0.0946526326000016	1
-4.643590886570028e-16	0.1706160756630303	0.12075107510157	-1.13677062482784e-14	1.6374859782582816e-12	7.453470402973696e-05	-3.0404370284670696e-16	0.0010486143558486	0.0051274359595808	0.2483425148376549	0.0285702000000014	-0.0054091000000015	2.9258362810496364e-05	0.0008162563280399	0.0569716999999999	-0.053937300000001	0.0029092323312904	0.0032457746008891	0.2088490000000004	0.0314230000000012	0.0009874049289997	0.0436179048009993	-0.0009760409999989	5.963899999996669e-05	3.5568099743978272e-09	9.526560338287816e-07	0.0003594280000003	8.836999999065179e-06	7.809229119254795e-11	1.2918848758435278e-07	9.88004000002592e-05	4.988654145277218e-16	3.088998064812455e-18	9.761519183715231e-09	0.0978316635000017	0.0971534967000014	0.0960266989000014	0.0944564733000019	0.0924500708000017	1
-4.0845553319968925e-16	0.1549749122401197	0.0485111247482103	3.398127929327162e-14	-4.13241533560389e-12	-0.000274619621226	-2.450457257541327e-16	-0.0025437201255593	0.112981500701052	0.2509858793700485	0.0256508000000004	-0.0029194000000002	8.522896360243199e-06	0.000657963540639	0.0925085000000005	0.0355368000000007	0.0012628641542393	0.0085578225722496	0.1869300000000003	-0.021919000000001	0.0004804425609995	0.0349428248999987	-0.000935149999999	4.089100000039178e-05	1.6720742517582986e-09	8.745055232421362e-07	0.0005234470000011	0.0001640190000009	2.6902231577691524e-08	2.739967641316e-07	9.880040000060872e-05	5.831558218822336e-17	7.221927971210566e-18	9.761518764748617e-09	0.0977199233000019	0.0967078226000018	0.0950287458000016	0.0926942731000017	0.0897205050000014	1
-5.36194867812195e-16	0.0799619977863343	0.0064008527695973	-1.011287084373268e-13	1.0199129053972083e-11	0.0007716368383935	-2.92503470353534e-16	0.0330887748725948	0.2033259797728606	0.2475139507945494	0.0282978000000003	0.0026470000000005	7.00660899955348e-06	0.0008007654848401	0.0908707000000007	-0.0016378000000002	2.6823888390474125e-06	0.0082574841184898	0.2271210000000006	0.0401910000000012	0.001615316481	0.0515839486409995	-0.0011953399999993	-0.0002601899999999	6.769883654791585e-08	1.42883771474718e-06	0.0004937720000012	-2.9675000001218446e-05	8.806051745197034e-10	2.43810790218362e-07	9.880040000074944e-05	-6.084824221325232e-16	2.0122224495810024e-17	9.76151909880569e-09	0.0975858912000021	0.0961739093000017	0.0938357201000011	0.0905938416000016	0.0864794949000011	1
-3.680414322865447e-16	0.0255141769167265	-0.0125130346282161	2.898645325187114e-13	-2.4536064193797977e-11	0.0001544591051833	-4.099637945807486e-16	0.160401626695578	0.1485412068254263	0.2314076537240994	0.034456700000001	0.006158900000001	3.79320492103081e-05	0.0011872641748937	0.0442494999999987	-0.0466212000000005	0.00217353628944	0.00195801825025	0.2150710000000012	-0.0120500000000007	0.0001452024999996	0.0462555350409998	-0.0012606799999996	-6.534000000164763e-05	4.269314908567267e-09	1.589314062144558e-06	0.0002892790000003	-0.0002044930000007	4.181738775169468e-08	8.368234003339497e-08	9.880039999986982e-05	2.0076495088534863e-16	-5.598126379817078e-16	9.76151909430637e-09	0.0974295977000023	0.0955522439000014	0.0924500708000011	0.0881628430000012	0.0827455156000013	1
-2.212764864642829e-16	-0.0030465620879441	-0.0177242968012733	-8.162214814968945e-13	5.722098723695161e-11	0.0759471141556021	-4.0093701474731923e-16	0.1852583542998865	0.0668509159933291	0.227196642447265	0.0305050000000013	-0.0039517000000003	1.5615932890389357e-05	0.0009305550250011	0.1062390000000007	0.0619895000000013	0.0038426981102508	0.0112867251210003	0.1952810000000004	-0.0197900000000013	0.0003916440999995	0.0381346689609996	-0.0014259900000003	-0.0001653099999989	2.732739582875689e-08	2.0334474800629364e-06	-2.40364294244569e-16	-0.0002892790000002	8.368234091321614e-08	-1.4600526891377145e-15	9.880040000010766e-05	4.984456924744911e-16	-1.3035172077755717e-17	9.761519426190868e-09	0.0972510785000019	0.0948433937000013	0.090874642300001	0.0854101477000009	0.0785398523000012	1
-5.414921794150805e-16	-0.0143627176341158	-0.0155994415876225	2.242109181980861e-12	-1.2818260473796975e-10	0.1997722755767354	-1.1969286387846822e-16	0.1079942993643685	0.0173673514204042	0.2493404161725644	0.0314618000000014	0.0009567999999997	9.15466239981854e-07	0.0009898448592419	0.0528672999999999	-0.0533717000000013	0.0028485383608902	0.0027949514092897	0.1980860000000007	0.0028049999999996	7.868024999081433e-06	0.0392380633959997	-0.0013146600000007	0.00011133	1.2394368451571606e-08	1.7283309160344784e-06	0.0002473789999999	0.0002473790000014	6.119637026848924e-08	6.119637035828218e-08	9.880039999968084e-05	2.458314403414037e-16	6.863207471110229e-17	9.7615186767583e-09	0.0970503743000019	0.0940480054000012	0.0891126687000011	0.082345800100001	0.0738864790000013	1
