trial_type.Face	trial_type.Hand	trial_type.Swallow	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-8.799952689494388e-15	-1.943620238875443e-11	-1.2858200570575474e-14	4.456260687045006e-05	9.771472174774274e-16	-9.111341023519583e-16	1.985826334646981e-09	0.034787619713813	-6.678244349932943e-16	-8.911497721140223e-16	0.0012101784853528	-0.0805114697302533	3.175619774949254e-17	4.3034161425410856e-16	0.0064820967581244	-0.0014290008341015	-7.83044557405276e-16	1.1779104762199136e-15	2.042043387356986e-06	-1.016330191944851e-06	-2.700787195269235e-16	7.590539460476243e-16	1.032538703948692e-12	0.0007229997555464	-2.395533164594312e-15	1.3082712026683651e-16	5.227286537819981e-07	-2.909437694586446e-15	-3.123844488757294e-16	-2.199329085288197e-16	-1.346788176821306e-16	1
-1.0606701612957932e-14	4.517494422126312e-11	3.6966293261223833e-14	0.0002535727859071	0.0002090101790341	4.368525308745631e-08	6.429915748965787e-08	0.0824570957838687	0.0476694760700556	0.0022723789487922	0.0067991726451117	-0.0821103412520763	-0.0015988715218192	2.5563901430454265e-06	0.0067421081405296	-0.0014450001277	-1.5999293590653383e-05	2.5597791922608115e-10	2.0880253703885493e-06	-9.804962257927855e-07	3.5833966650835934e-08	1.0460851802704676e-15	9.619621375410685e-13	0.000664999544751	-5.800021078684489e-05	3.3640240120860933e-09	4.4222439860909e-07	0.0768087127000027	0.0768062390000027	0.0768021163000012	0.0767963446000018	1
-1.1135899990945108e-14	-1.0125751235779728e-10	-1.0273222320579305e-13	0.0001871425107811	-6.643027512602636e-05	4.412979373647626e-09	3.5022319393347264e-08	0.0467153950228028	-0.0357417007610663	0.0012774691732929	0.0021823281321367	-0.0901284423224534	-0.0080181010703767	6.428994477435824e-05	0.0081231361154686	-0.0012809669127783	0.0001640332149216	2.690689571053344e-08	1.640876233012662e-06	-0.0001378123758488	-0.0001368318796229	1.8722962788381368e-08	1.8992251504556423e-08	0.000487911791873	-0.0001770877528787	3.1360073247325856e-08	2.380579184009066e-07	0.0768021163000029	0.0767798548000026	0.0767427571000015	0.0766908303000017	1
-1.1375098450879171e-14	2.15936420989902e-10	2.750566125592628e-13	0.0034429011354569	0.0032557586246764	1.0599964220398708e-05	1.1853568228013496e-05	-0.0743930744911137	-0.1211084695139153	0.0146672613880055	0.0055343295322405	-0.0527064540090133	0.0374219883134402	0.0014004052093302	0.0027779702942022	-0.0014444848587341	-0.0001635179459571	2.6738116484457144e-08	2.086536506914163e-06	-5.193369556648894e-05	8.587868028296949e-05	7.375147350511782e-09	2.697109404551221e-09	0.0005999624053996	0.0001120506135265	1.2555340265050656e-08	3.599548921179255e-07	0.0767889240000033	0.076727095400002	0.0766240846000019	0.0764799468000018	1
-1.1039513199639404e-14	-4.270251153478448e-10	-7.283444481860868e-13	0.0030661887728338	-0.0003767123626238	1.419122023204265e-07	9.40151359033627e-06	-0.0020036450450084	0.0723894294461064	0.0052402294955316	4.014593465400993e-06	-0.0524749274521959	0.0002315265568185	5.3604546726772814e-08	0.0027536180111116	-0.0015504373990213	-0.0001059525402875	1.122594074476516e-08	2.403856127396273e-06	-0.0002508936463608	-0.0001989599507943	3.9585062493395157e-08	6.294762182891682e-08	0.000507805543173	-9.215686222696116e-05	8.492887055350181e-09	2.578664725178943e-07	0.0767691371000033	0.0766479790000018	0.0764461904000016	0.0761639837000019	1
-1.1047195090082762e-14	7.374023048967365e-10	1.8861696973509586e-12	0.0135628620269025	0.0104966732540688	0.0001101801494026	0.0001839512263593	0.0220906985364743	0.0240943435814813	0.000580537392621	0.0004879989618288	-0.0471321318511998	0.0053427956009969	2.854546483435289e-05	0.0022214378528373	-0.0012470054069286	0.0003034319920937	9.207097514073203e-08	1.555022484804629e-06	-7.789095908744502e-07	0.0002501147367717	6.255738247064114e-08	6.072868085179382e-13	0.0004470000122318	-6.080553094177881e-05	3.6973121444475933e-09	1.998090139489055e-07	0.0767427571000023	0.0765425327000022	0.0762092122000019	0.0757433752000018	1
-1.1160419772228504e-14	-9.042771641404367e-10	-4.799178474419712e-12	0.0113398492244566	-0.0022230128024466	4.9417859182968645e-06	0.0001285921804326	-0.0495367580730749	-0.0716274566095489	0.0051304925403531	0.0024538904003897	-0.0343410836816817	0.0127910481695176	0.0001636109132741	0.0011793100284308	-0.001128999272227	0.0001180061347014	1.3925447571180441e-08	1.2746393561309336e-06	-7.597913713110317e-07	1.9118220412937012e-08	8.214420287186915e-17	5.781807738120774e-13	0.0004599999698603	1.2999957628238274e-05	1.6899888256204694e-10	2.115999755003009e-07	0.0767097864000025	0.076410792700002	0.075913333000002	0.0752186991000016	1
-1.0993303525043596e-14	-3.484595607244721e-10	1.1967759261414108e-11	0.0049579931021385	-0.0063818561223185	4.072808756500425e-05	2.458169560069017e-05	-0.0771219358995428	-0.0275851778264663	0.0007609420357161	0.0059477929968932	-0.0127050371366978	0.0216360465449842	0.0004681185100967	0.0001614179686444	-0.0009089996759836	0.0002199995962429	4.8399822399588626e-08	8.26280409912075e-07	-1.7871522720308875e-07	5.810761436638931e-07	3.371980835274058e-13	3.223833152460941e-14	0.0003929998771453	-6.700009271493347e-05	4.489011997520922e-09	1.5444890570257556e-07	0.0766702277000025	0.0762528044000017	0.0755587815000022	0.0745906764000017	1
-1.0772752330890216e-14	7.96871195253459e-09	-2.9206436409407874e-11	-0.0040184693870498	-0.008976462489189	8.057687881928516e-05	1.614809621572242e-05	0.0289792497992352	0.1061011856987782	0.0112574616066868	0.0008397969189256	-0.0381358212506486	-0.0254307841139504	0.0006467247806503	0.00145434086246	-0.0011349515074643	-0.0002259518314806	5.105423003477488e-08	1.2881149232439974e-06	-0.0003591519521014	-0.0003589732368756	1.2886178635091606e-07	1.2899012399583894e-07	0.0002677961027675	-0.0001252037743765	1.5675984839282502e-08	7.171475320350457e-08	0.0766240846000022	0.0760686220000017	0.0751458317000019	0.0738601699000017	1
-1.0769373004599952e-14	-3.8859387185936866e-08	6.951656661153777e-11	-0.006431293877272	-0.0024128244902215	5.82172201881687e-06	4.136154093704752e-05	0.0239742232254957	-0.0050050265737414	2.505029100263836e-05	0.0005747633792653	-0.0308227926599607	0.0073130285906881	5.34803871685931e-05	0.0009500445473576	-0.000950974889125	0.0001839766183396	3.384739698197246e-08	9.04353238485223e-07	-0.0003110771957009	4.8074756400634335e-05	2.3111819817327093e-09	9.676902061608015e-08	0.0001623523094415	-0.0001054437933252	1.1118393193636195e-08	2.6358271578221004e-08	0.0765713608000016	0.0758583087000018	0.0746748029000015	0.0730281834000017	1
