bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-22_ses-01_task-compLn_run-2_bold	0.010673763440860216	0.016671690215053762	0	63.59332669243247	1.2765132203243246	1.013261673081081	0.5118456885652529	1010.5038452148438	1.411102774206035	176	94.6236559139785	2.77114611390255	2.5929163636363635	3.038021818181818	2.6825001598894693	0.0367038	-4.2907882743747905e-05	0.048139601945877075	186	64	64	32	2.6785113723677014	2.0	3.4375	3.4375	3.999999761581421	31.41192401266168	8.441270024056115	54.90278244018555	23.1182804107666	79091.0	16.897850036621094	202.94355010986328	86.65975189208984	0.7840369091304087	264.9872301281639	807.7988891601562	760.0430297851562	21650.0	429.33360900878904	1356.5260498046875	283.74920654296875	29.96988089790102
sub-22_ses-01_task-prodL1_run-1_bold	0.006205061728395062	0.028445929629629628	0	103.453890303967	1.2781652649586783	0.9938958835123967	0.5800481574603105	320.53314208984375	2.111842965032767	241	99.17695473251028	3.0302064790349346	2.794146666666667	3.3091666666666666	2.987306103771471	0.042113	0.0009880660800263286	0.0739193856716156	243	64	64	43	2.2756021182862596	3.0	3.0	3.0	3.299999952316284	16.096187776888367	32.46166391588034	123.15674591064453	55.48353576660156	96756.0	29.563785552978516	441.4166564941406	160.8507080078125	1.2138933225784996	417.474506185996	1120.8975830078125	1027.948486328125	37132.0	551.1474975585937	1983.0923217773438	451.7198486328125	20.66716327035101
sub-22_ses-01_task-prodL1_run-2_bold	0.006779218106995885	0.029236243209876545	0	100.9344822275207	1.2922870916115705	0.9942817638429746	0.5922997544424576	283.33282470703125	1.88913108305691	241	99.17695473251028	3.041042438891411	2.79562	3.286113333333333	3.0413939833408987	0.0478443	-0.003706615185365081	0.09575241804122925	243	64	64	43	2.268478796070168	3.0	3.0	3.0	3.299999952316284	13.401792920280911	32.727070774740056	130.63522338867188	55.61316680908203	96301.0	30.316871643066406	483.8106994628906	174.96005249023438	1.4753819961574637	397.57534027077816	1066.7730712890625	978.1522216796875	38424.0	528.7197113037109	1890.7761108398436	431.1874084472656	21.49182854150422
sub-22_ses-01_task-prodLn_run-1_bold	0.00953238683127572	0.015837409670781892	0	70.88271260871896	1.339503916363636	1.0454652053305795	0.5975480583307405	310.21600341796875	1.0648282670385472	238	97.94238683127573	2.9017346605149377	2.6582233333333334	3.1298866666666663	2.917093981544812	0.0306242	0.005145059432834387	0.07989683002233505	243	64	64	43	2.4684177798234845	3.0	3.0	3.0	3.299999952316284	14.80494044018171	24.53309529873447	111.02894592285156	48.81481170654297	94211.0	30.3292179107666	396.8662414550781	147.88145446777344	1.0609685811408491	344.7630204425709	992.5906982421875	923.3209838867188	39277.0	511.01316528320314	1725.9505859374995	374.04901123046875	31.34039980499074
sub-22_ses-01_task-prodLn_run-2_bold	0.00913053497942387	0.020014394650205755	0	83.0799266087603	1.331009933057852	1.0426866599586773	0.5986509467173436	294.2698669433594	1.2583718374271686	234	96.29629629629629	2.9300306204335467	2.6556333333333333	3.1503766666666664	2.98408186130064	0.0382002	0.006840819027274847	0.0729360580444336	243	64	64	43	2.4377837683472334	3.0	3.0	3.0	3.299999952316284	14.596426587224002	25.326258981014675	108.52936553955078	49.514400482177734	93332.0	29.882921028137208	382.6946411132812	140.55581665039062	1.074625714157949	344.83007416839564	991.2783813476562	920.51025390625	39529.0	508.6567749023437	1735.561254882812	377.59649658203125	27.457387622795068
sub-22_ses-02_task-compL1_run-1_bold	0.017424139784946235	0.0163054176344086	0	65.8705161223784	1.3072628590270263	1.0670610636756752	0.5088241497465896	960.6996459960938	1.2516097966268231	172	92.47311827956989	2.91444903030303	2.7109643636363634	3.200232727272727	2.83215	0.0438602	-0.0016541756922379136	0.04822423309087753	186	64	64	32	2.422293347717807	2.0	3.4375	3.4375	4.0	36.76363336949801	11.565891074581332	61.040443420410156	25.02150535583496	78492.0	14.279569625854492	227.5634384155273	103.30023193359375	1.1452285965878994	312.1036933864483	871.9979248046875	810.763427734375	22193.0	433.75806274414066	1503.409667968749	334.70147705078125	28.377702865749598
sub-22_ses-02_task-compL1_run-2_bold	0.0073265591397849465	0.006812003655913977	0	37.67877929821621	1.302830984162163	1.0150747038918915	0.5092384252780171	1033.4818115234375	0.5595405654225627	152	81.72043010752688	2.9242674545454546	2.7375505454545457	3.2217018181818182	2.81355	0.0506032	-0.004439343698322773	0.050970882177352905	186	64	64	32	2.4370692148185644	2.0	3.4375	3.4375	4.0	34.37351207042972	9.270251119093416	64.1452865600586	24.225807189941406	79071.0	17.155914306640625	245.22042846679688	111.40658569335938	1.0158383229232877	314.73417213948414	877.4215087890625	815.0645141601562	21833.0	441.20000000000005	1513.4806640625	334.4368896484375	48.89378717914224
sub-22_ses-02_task-compLn_run-1_bold	0.0073910215053763426	0.01647124306451613	0	60.8373052754054	1.1675886725945952	0.958344879081081	0.5126500892932186	931.92529296875	1.3689305551543491	178	95.6989247311828	2.737104181818182	2.5249861818181816	2.9610763636363635	2.72525	0.0549848	0.0031487441156059504	0.04413430765271187	186	64	64	32	2.699747788462055	2.0	3.4375	3.4375	4.0	30.91579125186407	8.744165548707779	54.8207893371582	23.908601760864258	79010.0	16.725807189941406	202.7346702575684	83.48252868652344	0.6709345341121193	266.6930280480821	797.0664672851562	755.1935424804688	21435.0	415.0129119873047	1320.6773925781247	279.7209167480469	27.832219125702977
sub-22_ses-02_task-compLn_run-2_bold	0.015555322580645164	0.028854961612903223	0	86.926043051946	1.2938148520540542	1.0448561889729733	0.508240077903276	894.0546264648438	2.467155760115886	183	98.38709677419355	2.6806589696969696	2.407682909090909	2.873344	2.76095	0.0485859	0.009551329538226128	0.053718581795692444	186	64	64	32	2.7419698152146275	2.0	3.4375	3.4375	4.0	27.49891645638611	7.532577794422491	48.192771911621094	23.161291122436523	79163.0	15.360215187072754	169.3225860595703	66.80860137939453	0.8240333435852869	240.1656330068884	748.2213134765625	708.6263427734375	21140.0	402.7865463256836	1243.2964599609375	258.43084716796875	21.176030766160693
sub-22_ses-02_task-prodL1_run-1_bold	0.010853827160493828	0.013245792386831275	0	59.72642989971074	1.36497226413223	1.044944274462809	0.5843515412549186	306.2676086425781	0.8099586146698793	222	91.35802469135803	3.0766699137524394	2.81784	3.3472000000000004	3.064969741257317	0.0252764	-0.004725738428533077	0.09773052483797073	243	64	64	43	2.2135536034505705	3.0	3.0	3.0	3.299999952316284	22.680574920499225	29.115133830830604	136.0977325439453	55.44444274902344	97940.0	34.053497314453125	512.3325134277345	201.4917755126953	1.2796647780283186	428.7587614318918	1121.5433349609375	1025.370361328125	37704.0	540.6697204589843	2007.6844909667968	463.2174987792969	35.21280628431123
