trial_type.fb_a_neg	trial_type.fb_a_pos	trial_type.fb_v_neg	trial_type.fb_v_pos	trial_type.feel	trial_type.finish	trial_type.rest	reg_error	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
-1.3414711094705825e-15	5.424173979120881e-12	3.527279981260742e-16	0.223083541556552	0.7769225824969419	-8.58215956444628e-17	-6.1240853884967165e-06	0.2153806213203444	-0.0429924882884227	0.0004372824019907	1.912158987189424e-07	0.0018483540492319	0.1232535960901041	-0.003185487656069	1.014733160644215e-05	0.0151914489491396	0.2056813686121503	0.0900788529657767	0.0081141997516315	0.0423048253941623	-9.363619061574808e-05	-0.0004418385324088	1.952212873059168e-07	8.767735950146913e-09	0.0004049687644973	-0.0004811484758377	2.3150385767733997e-07	1.6399969731926509e-07	0.0006730187529444	6.728262632327568e-07	4.514951730776278e-13	4.529542393724636e-07	0.0745912039000014	0.0582167576000033	0.0335351293000022	0.0040682391000011	-0.0259791642999995	-0.052319496800001	-0.0711941511000016	-0.0799098270000022	1
-6.693318122243464e-16	-2.3573453476740617e-11	3.565887921698601e-16	0.6131448294817956	0.3868554156080246	-5.131488122647642e-16	-2.450856826238963e-07	0.5240656408500117	-0.0324742986292121	0.0105181896592103	0.0001106323137069	0.0010545800714591	0.1424770259091991	0.0192234298190938	0.0003695402540094	0.0202997029119265	0.0667077997380677	-0.1389735688740828	0.0193136528456021	0.0044499305458938	-0.000902953346627	-0.000809317156007	6.549942534716342e-07	8.153247468288783e-07	0.0011826587392574	0.0007776899747605	6.048017020288921e-07	1.3986816942087215e-06	0.0007660344396792	9.30156867347128e-05	8.651917135125476e-09	5.868087613779746e-07	0.074285427300002	0.0570832441000022	0.0313010054000007	0.0008139822000008	-0.0297953889000003	-0.0559262814000001	-0.073651018700001	-0.0803054351000014	1
-6.451382996774178e-16	8.539565307456452e-11	3.5231926961678676e-16	0.6552000336635885	0.3447998948727636	-1.8884235812079682e-16	7.13556210539872e-08	0.5483838100140348	-0.0087864291047292	0.0236878695244821	0.0005611151626131	7.720133641267e-05	0.0771227852369336	-0.0653542406722649	0.0042711767738489	0.0059479240026991	0.0585057706618228	-0.0082020290762442	6.727328096708306e-05	0.0034229252007338	-6.286513843990977e-05	0.0008400882081861	7.057481977459404e-07	3.952022787077364e-09	0.001084978959691	-9.767977956707157e-05	9.541338123214913e-09	1.1771793424304314e-06	0.0006730342112938	-9.300022838682728e-05	8.649042270838056e-09	4.529750484776162e-07	0.0739720215000008	0.0559262813999988	0.0290379519999997	-0.0024416122	-0.033535129300001	-0.0593263561000002	-0.0757374027000012	-0.0801734935000016	1
-5.581462909969882e-16	-2.8206017071237046e-10	5.38624933946381e-16	0.3883456807763027	0.6116542278468744	-1.262720644110374e-16	9.163507572204929e-08	0.3246631700888808	-0.0155638745133308	-0.0067774454086037	4.593376626574332e-05	0.0002422341898663	0.1243339838422026	0.0472111986052692	0.0022288972737461	0.0154589395380693	0.0412508179510427	-0.0172549527107796	0.0002977333930507	0.0017016299816306	-0.0009609358136485	-0.0008980706752099	8.065309381368034e-07	9.233976373944584e-07	0.0010771114984325	-7.867461260374935e-06	6.189602176449892e-11	1.1601691791551775e-06	0.0008080186665305	0.0001349844552364	1.8220802599886727e-08	6.528941638310417e-07	0.073651018700001	0.0547463445000003	0.0267480604	-0.0056931949000005	-0.0371887854000009	-0.0625071541000008	-0.0774428080000016	-0.0795148689000016	1
-4.097273014910551e-16	8.791009388218681e-10	6.069516466074857e-16	0.1403162346706895	0.8596839887991364	1.3609053055189243e-16	-2.2437350293168295e-07	0.1190648926310405	-0.0293594656752413	-0.0137955911619112	0.0001903183355067	0.000861978224734	0.072245852779057	-0.052088131063145	0.0027131733976513	0.0052194632437708	0.036150320166994	-0.0051004977840491	2.601507764468216e-05	0.0013068456481765	-0.0005552957336645	0.0004056400799836	1.64543874433262e-07	3.0835334880829485e-07	0.0008788135385242	-0.0001982979599076	3.9322080927335686e-08	7.723132339982031e-07	0.0006732440938518	-0.0001347745726798	1.8164185250098613e-08	4.532576111912371e-07	0.0733224520000002	0.0535439183999991	0.0244334470999999	-0.0089354238000009	-0.0407469784000009	-0.0654569186000014	-0.0787586559000019	-0.0783338881000018	1
-1.7978740604859006e-16	-2.629106719361481e-09	6.351663409592136e-16	-0.0010444659330315	1.0010439377971718	1.8727512500523163e-16	5.307420878763872e-07	0.001625330846065	-0.0295172788194689	-0.0001578131442268	2.4904987823280647e-08	0.0008712697489048	0.1465490361093313	0.0743031833302739	0.0055209630530122	0.02147661998457	0.0468030173288459	0.0106526971618519	0.0001134799568218	0.0021905224310844	-0.0013121634826773	-0.0007568677490141	5.72848789990822e-07	1.7217730055801343e-06	0.0014228932757653	0.0005440797372407	2.960227622556753e-07	2.0246252770231403e-06	0.0009299341340986	0.0002566900402472	6.588977676529015e-08	8.64777491644589e-07	0.0729863549000011	0.0523194968000016	0.0220962515000004	-0.0121629718000009	-0.0442005745000007	-0.0681647471000018	-0.079678327500002	-0.0766383093000017	1
-3.7788625854860233e-16	7.615044506174771e-09	5.667854780178133e-16	-0.0331185938737097	1.033119941714578	1.9837227514918478e-16	-1.3554787586318527e-06	-0.016269506491734	-0.0296001161738245	-8.283735435528527e-05	6.862026868221992e-09	0.0008761668775025	0.1477152199387293	0.0011661838293972	1.3599847230887145e-06	0.0218197862015437	0.0750468059496953	0.0282437886208492	0.0007977115956592	0.0056320230832508	-0.0006687190494587	0.0006434444332193	4.140207395033258e-07	4.471851658273081e-07	0.0011590886502863	-0.0002638046254803	6.959287973334706e-08	1.343486500203612e-06	0.0012398875728861	0.0003099534387864	9.60711349689089e-08	1.5373211873113843e-06	0.0726427622000024	0.0510735829000014	0.0197386336000006	-0.0153705360000009	-0.0475407084000006	-0.0706206311000019	-0.0801971964000021	-0.0744392712000018	1
-9.84463459464512e-16	-2.1478858519084006e-08	2.99026180372005e-16	0.2119875762954508	0.7880089532561286	-1.4569743176558023e-16	3.4919034602762287e-06	0.2699704598129962	-0.0297400498525065	-0.0001399336786817	1.9581433968701197e-08	0.0008844705652295	0.1789142589231402	0.0311990389844115	0.0009733800335504	0.032010312046012	0.132000994482119	0.0569541885324241	0.0032437795913873	0.017424262544267	-0.0007396146186115	-7.089556915248594e-05	5.026181132109193e-09	5.470297837741683e-07	0.0015292046940184	0.0003701160437324	1.3698588500326146e-07	2.338466998502568e-06	0.0008030667291109	-0.0004368208437762	1.908124535623361e-07	6.449161706281752e-07	0.0722917090000027	0.0498066883000019	0.0173627724000007	-0.0185528465000004	-0.0507588060000005	-0.0728154934000014	-0.0803126527000017	-0.0717512199000016	1
-1.6326237270016945e-15	5.919195018052221e-08	3.35278365363798e-17	0.606987794791065	0.3930210083862945	-3.164497977220423e-16	-8.862395513717202e-06	0.721290116589971	-0.0175338688114967	0.0122061810410097	0.0001489908556066	0.0003074365554992	0.1346748621547353	-0.0442393967684051	0.0019571242264328	0.0181373184963936	0.1522166593432674	0.0202156648611485	0.0004086731057776	0.0231699113816229	-0.0003999951207818	0.0003396194978304	1.1534140372203422e-07	1.5999609644115633e-07	0.0012328391167567	-0.0002963655772617	8.78325553234217e-08	1.5198922867808924e-06	0.0008027467441332	-3.199849762146209e-07	1.0198989479504346e-13	6.444023343611593e-07	0.0719332314000014	0.0485193336	0.0149708639000001	-0.0217046748000002	-0.0538466064000007	-0.0747412215000005	-0.0800241157000012	-0.0685918141000013	1
-1.5686565154759474e-15	-1.5968191324419474e-07	-1.023836224440626e-16	0.6619576836699961	0.3380204611455641	-3.608100839027118e-16	2.2014844653239837e-05	0.7778263822879972	-0.0108451472235039	0.0066887215879914	4.473899648127442e-05	0.0001176172183009	0.1554811992003062	0.020806337045571	0.0004329036612541	0.0241744033047616	0.1527303240636751	0.0005136647204081	2.638514441097325e-07	0.0233265518885941	-0.0017050749651401	-0.001305079844359	1.7032334015017798e-06	2.9072806403195565e-06	0.0014228152624837	0.0001899761457265	3.6090934894553184e-08	2.02440327077612e-06	0.0008047142418189	1.96749768565096e-06	3.871023018664806e-12	6.475650096243487e-07	0.0715673662000009	0.0472120476000003	0.0125651185999999	-0.0248208423000003	-0.0567961834000009	-0.0763906977000005	-0.0793330366000012	-0.0649818087000011	1
