trial_type.cue_Largegain	trial_type.cue_Largeloss	trial_type.cue_Neutral	trial_type.cue_Smallgain	trial_type.cue_Smallloss	trial_type.feedback_Hit_Largegain	trial_type.feedback_Hit_Largeloss	trial_type.feedback_Hit_Neutral	trial_type.feedback_Hit_Smallgain	trial_type.feedback_Hit_Smallloss	trial_type.feedback_Miss_Largegain	trial_type.feedback_Miss_Largeloss	trial_type.feedback_Miss_Neutral	trial_type.feedback_Miss_Smallgain	trial_type.feedback_Miss_Smallloss	trial_type.fix_Largegain	trial_type.fix_Largeloss	trial_type.fix_Neutral	trial_type.fix_Smallgain	trial_type.fix_Smallloss	trial_type.probe	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	intercept
-4.766428109059603e-13	1.7832062456150016e-08	-0.0052410284223176	-0.0002848642496065	0.180741937256284	1.5575869799959442e-13	2.3118749617659467e-10	2.3857281678539616e-15	-1.3659067711339807e-16	0.0092662451084336	1.3232845413751684e-15	-3.2247415607559067e-11	0.1279914317782818	-0.0011281454549296	-0.0179184999420316	1.0205512042405622e-12	-1.9298093446640213e-08	0.0844752830080527	-0.0004562385945822	0.1167595637428932	0.1254955683425863	0.1541053355657051	0.0186269727449421	0.0003469641136344	0.023748454449824	0.4843905187078073	0.0336001633976376	0.0011289709803483	0.2346341746140058	-0.9827272901054837	0.006381846075287	4.072795932733524e-05	0.965752926718045	0.0294224123747387	-0.0004079600683048	1.6643142182773937e-07	0.000865678349944	-0.0021556668464654	0.0007571474562405	5.732722679365321e-07	4.646899558685328e-06	0.0001222298953509	0.0002003112421482	4.012459107303525e-08	1.4940160482198054e-08	-0.0305770313000022	-0.0445097983000018	0.0689749316000107	-0.014993786400003	-0.0560400288000091	0.0633386346000104	0.0013987886000005	-0.064545347500008	0.0542834637000086	1
1.781444902967725e-13	-3.695111235790608e-08	-0.0164365462186787	-0.000109942210129	0.1882649339340412	-3.747560299739606e-13	6.689262070381645e-10	-7.028904310021672e-16	-3.712956541281274e-15	0.1115861295074051	-3.79552457042083e-15	8.216932842558419e-11	0.0593119078156894	-0.0005121890616539	-0.0141662892405549	-2.37505962562328e-12	4.9663138350805806e-08	-0.0029410250553485	-0.0001988310090486	0.200121537269422	0.1993660988688153	0.1361990237552556	-0.0179063118104636	0.0003206360026674	0.0185501740718742	0.4059320384621172	-0.0784584802456929	0.006155733122465	0.1647808198500016	-0.986846894745282	-0.0041196046397951	1.6971142387597183e-05	0.9738667936683792	0.0303694457837468	0.0009470334089998	8.968722758362918e-07	0.0009223032372052	-0.0022880347919395	-0.0001323679454639	1.7521263574258655e-08	5.235103211396895e-06	-0.0002308145329535	-0.0003530444283199	1.246403730950849e-07	5.327534631552892e-08	-0.0310808946000066	-0.0436332856999975	0.069342920500008	-0.0171735177000024	-0.054283463700007	0.0647746842000086	-0.0025174533999996	-0.0625671294000092	0.0573825659000101	1
2.4210719809767558e-12	6.877018943488218e-08	-0.0186126190358506	-3.849142597846822e-06	0.1194164466592316	8.484432466825404e-13	-5.1498932900506465e-09	1.1411318771952862e-15	-8.253712771555818e-16	0.2065135784559614	-1.037388100996184e-15	-2.0458883664937544e-10	0.0154346739224572	-0.0002241043951137	-0.0096266009584928	5.290535279249074e-12	-1.2533563197520006e-07	-0.0434769582493274	-5.246460452889756e-05	0.1617043930880286	0.1945296326875336	0.1476809189799885	0.0114818952247394	0.0001318339179464	0.0218096538307769	0.5354420262584768	0.129509987796364	0.0167728369390119	0.2866981634837675	-1.0015944506125694	-0.0147475558672901	0.0002174904040564	1.0031914434978686	0.0295230912846634	-0.0008463544990633	7.163159337585647e-07	0.0008716129190024	-0.0019480112358258	0.0003400235561158	1.1561601023876e-07	3.7947477792665618e-06	-0.0002768085749363	-4.599404197945906e-05	2.1154507774458813e-09	7.662298697495231e-08	-0.0315828214000067	-0.0427458986999954	0.0696720265000105	-0.0193361300000029	-0.0524423543000082	0.06606546900001	-0.0064260115999998	-0.0603395004000092	0.0601921899000103	1
-1.3785247454303531e-11	-1.0260403857213289e-07	-0.0158668029711603	2.551781072124335e-07	0.0538887571519864	-1.8691288509889658e-12	2.2110669275934415e-08	2.4548020053941264e-15	-1.2436966520210175e-16	0.1771522280684771	-1.1769085526899868e-15	4.95769694864608e-10	-0.0075852491799832	-6.995983602272636e-05	-0.0058115954007987	-1.1130891523662568e-11	3.085762407759394e-07	-0.054479005097358	5.3801946898741925e-06	0.0886307194427356	0.1155470698361714	0.1344954208313838	-0.0131854981486113	0.0001738573614352	0.0180890182246067	0.4361247295103034	-0.0993172967481764	0.0098639254333642	0.1902047796904252	-0.9688635902712812	0.0327308603412962	0.0010713092186842	0.9386966565533288	0.0301462961433744	0.000623204858713	3.883842952420056e-07	0.0009087991711618	-0.0012368347793257	0.0007111764565071	5.057719502147252e-07	1.5297602587766843e-06	-0.0004679684497789	-0.0001911598748448	3.654209979410222e-08	2.189944708674251e-07	-0.0320827803000069	-0.041847858599998	0.0699620652000091	-0.0214794677000037	-0.0505195679000067	0.0672080944000088	-0.0103149560000021	-0.0578713405000094	0.0626981619000112	1
5.5179353252132566e-11	5.683989800973784e-08	-0.0113857847211667	-1.5999151148088696e-07	0.0125431223665799	3.836562322540217e-12	-7.969914437793388e-08	1.2516303113537708e-15	-1.3004814381145573e-15	0.101517827462411	-7.576976868864237e-16	-1.1652951499310202e-09	-0.0172008828588818	4.503472311431075e-06	-0.0031874039667683	2.1283806087422528e-11	-7.393516765881784e-07	-0.0487733873481881	-1.9484325315097624e-06	0.033120818697385	0.0430126193325808	0.137099620474299	0.0026041996429187	6.781855781388527e-06	0.0187963059341971	0.4813892084469926	0.0452644789366912	0.0020488730534115	0.2317355700092098	-1.0076883969293935	-0.0388248066581176	0.001507365612038	1.0154359053061035	0.0299495601482141	-0.0001967359951612	3.8705049656893765e-08	0.0008969761530725	-0.0027726845504035	-0.0015358497710892	2.358834559746881e-06	7.687779621696536e-06	-0.0007051533814975	-0.0002371849317166	5.6256694693103185e-08	4.972412779215211e-07	-0.0325807404000075	-0.0409393889999999	0.0702128738000088	-0.0236013942000037	-0.0485180992000075	0.0681999978000098	-0.0141724166000029	-0.0551724885000097	0.064887840000012	1
-1.9227821419981367e-10	4.165250711959298e-07	-0.0071820150170072	1.208455025119884e-07	-0.0088566624888538	-7.045943479276906e-12	2.623746783968362e-07	8.284135274533456e-16	-2.3841466064623352e-15	0.0409915283080933	-2.645354228572997e-15	2.637032774027149e-09	-0.0184347215509325	-1.725042699068621e-06	-0.0015990379266545	-3.375762535419067e-11	1.7147409869294438e-06	-0.0362940782487114	7.282789771553256e-07	0.0014030360590175	2.306898168850347e-05	0.1458494385729543	0.0087498180986585	7.655931675630834e-05	0.0212720587320483	0.3636000873007117	-0.1177891211462831	0.0138742770604132	0.1322050234850842	-0.9810898824056972	0.0265985145237037	0.000707480974867	0.9625373573587938	0.0296380198828658	-0.0003115402653587	9.70573324326266e-08	0.0008784122225755	-0.0021331535541916	0.0006395309962169	4.089998926397589e-07	4.550344095012888e-06	-0.0003499680849515	0.0003551852965553	1.26156600564269e-07	1.2247765985932586e-07	-0.0330766704000128	-0.0400207165999994	0.0704243118000075	-0.0256997943000066	-0.0464410655000064	0.069038954800009	-0.0179866196000044	-0.0522537027000095	0.0667501780000129	1
6.181478598949832e-10	-2.55565858942482e-06	-0.0040803103928007	-7.053218817440217e-08	-0.0179152559117435	1.0118218014305824e-11	-8.13182069341591e-07	-5.346293568535388e-16	-3.4487312857972415e-15	0.0054125945820134	-3.277705261845789e-15	-5.6593555758860685e-09	-0.0152674192857202	6.107141018019211e-07	-0.0007675236171535	2.848915074453437e-11	-3.8068431158975775e-06	-0.0236083612719606	-2.597756316492758e-07	-0.0140017572130915	-0.0195697878350212	0.1599083303741296	0.0140588918011788	0.0001976524386706	0.0255706741230552	0.4510801240732779	0.0874800367725679	0.007652756833729	0.2034732783339612	-0.97979845883425	0.0012914235714445	1.6677748385385594e-06	0.9600050199339466	0.0289122791078444	-0.0007257407750179	5.266996777494498e-07	0.0008359198832158	-0.0016706912961157	0.0004624622580666	2.1387133014657826e-07	2.791209413089269e-06	-0.000334925796448	1.5042288496776428e-05	2.2626907121566043e-10	1.1217529091711983e-07	-0.0335705395000124	-0.0390920700999965	0.0705962605000089	-0.0277725763000102	-0.0442917016000067	0.0697230840000107	-0.0217459231000042	-0.049126618300008	0.0682757808000115	1
-1.897110312999581e-09	1.0502481379927068e-05	-0.0021223880972528	3.5242576765565905e-08	-0.0176910781381144	-3.657373765080745e-12	2.4292674356836355e-06	-1.208679632693714e-15	-4.040967754617363e-15	-0.012205207208762	-4.581814805866517e-15	1.1204531329172713e-08	-0.010732568670854	-1.979507309189198e-07	-0.0003096654576792	8.757523665892869e-11	7.95419630090048e-06	-0.013781998530709	8.902566297107209e-08	-0.0186526842885782	-0.025157914559696	0.1579242329993856	-0.0019840973747476	3.936642389510049e-06	0.0249400633684552	0.4416568222071568	-0.0094233018661232	8.879861805906043e-05	0.1950607486021178	-0.9359849779182348	0.0438134809160221	0.0019196211099812	0.8760678788885748	0.0296502206550173	0.0007379415471804	5.445577388229129e-07	0.0008791355848941	-0.0012819581570198	0.0003887331390953	1.511134443323819e-07	1.6434167122487387e-06	-0.0002140448613162	0.0001208809351286	1.46121989829683e-08	4.58152154365379e-08	-0.0340623171000096	-0.0381536810999957	0.0707286237000095	-0.029817674000013	-0.0420733551000051	0.0702508510000111	-0.0254388526000055	-0.0458037008000059	0.0694569524000098	1
5.5731559154120165e-09	-3.684668795221907e-05	-0.0010245033006556	-1.6306672819786273e-08	-0.0131946286650086	-5.0194627238603264e-11	-6.988660856920689e-06	-1.6022506149789193e-15	-4.043610776181734e-15	-0.0183672212606605	-4.415046686967902e-15	-1.9209075343186682e-08	-0.0066607076702486	5.8148220057073784e-08	-0.0001614952119788	-6.464664228342983e-10	-1.5092833616827143e-05	-0.007348192417773	-2.928335767961764e-08	-0.0173441140993118	-0.0238422260547922	0.16028835436533	0.0023641213659427	5.589069826779799e-06	0.025692356545159	0.4459976907119972	0.0043408685048405	1.884313937759601e-05	0.1989139401204268	-0.9361435886087548	-0.0001586106905195	2.5157349647263512e-08	0.8763648184932546	0.0306470632959523	0.000996842640939	9.936952634259485e-07	0.0009392424886695	-0.0007887475827079	0.0004932105743061	2.432566681183683e-07	6.221227408073216e-07	-0.0006240660418576	-0.0004100211805525	1.6811738148061708e-07	3.894584294853957e-07	-0.0345519723000108	-0.0372057833999944	0.0708213270000103	-0.0318330488000143	-0.0397894810000048	0.0706210724000116	-0.0290541367000061	-0.0422981963000047	0.0702877339000094	1
-1.6000073109389092e-08	0.0001212975241583	-0.0004610636628104	7.1784470237388065e-09	0.0722698338506512	2.9161623157187005e-10	1.9707241479528e-05	-8.351591174322963e-16	-3.6014249535734026e-15	-0.017645424399379	-2.4471341634415367e-15	2.196319829609977e-08	-0.0037326191438408	-1.548622563268256e-08	-4.591254296781195e-05	2.7981700994151813e-09	2.317286254586284e-05	-0.0036239051591584	9.278060682885544e-09	0.0077988308042547	-0.0171789342885046	0.1535695486844228	-0.0067188056809126	4.514234977910176e-05	0.0235836062831461	0.5565122485186011	0.1105145578066026	0.0122134674871893	0.3097058827512105	-0.957393648181503	-0.0212500595727553	0.0004515650318413	0.9166025975782666	0.0298673103913158	-0.000779752904624	6.080146020085537e-07	0.0008920562300178	-0.0016085499102513	-0.0008198023275436	6.720758544392072e-07	2.587432809425196e-06	-0.0001800286931111	0.0004440373487497	1.971691734916216e-07	3.241034689200885e-08	-0.0350394747000055	-0.0362486131999941	0.0708743185000122	-0.0338166917000161	-0.0374436364000033	0.0708329178000113	-0.0325807404000071	-0.0386240789000019	0.0707639345000076	1
