bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_ses-1_task-eye_acq-mb_run-1_bold	0.011310594965675057	0.01876000691075515	1	38.412324476651406	1.2934196474770638	1.1516683102522935	0.4436	6488.3882	0.17545657786419014	155	35.46910755148741	2.35246	2.308668	2.642312	2.1064000000000003	0.00923026	-0.00723406532779336	0.03292902559041977	437	96	96	52	3.361650717729284	1.25	2.5	2.5	2.75	64.7491	52.232	307.8955	103.0	386084.0	57.0	1330.0	696.4063	2.0204	1800.4828	8097.8469	8333.0	93148.0	2627.0	11365.0	2478.8284	36.19231624074746
sub-01_ses-1_task-eye_acq-mb_run-2_bold	0.001715059382422803	0.027623202636579573	1	37.586687805642846	1.1314060704761901	0.9422518914761905	0.445	6323.9214	0.1352301753692467	32	7.600950118764845	2.367805090909091	2.3068	2.668688	2.127927272727273	0.00789894	-0.007601653691381216	0.03267323970794678	421	96	96	52	3.387664560077039	1.25	2.5	2.5	2.75	61.0515	53.9935	313.1708	105.0	386159.0	57.0	1361.0	698.682	2.0832	1779.4636	8099.1641	8340.0	93073.0	2673.0	11327.0	2461.8598	33.43049632804468
sub-01_ses-1_task-eye_acq-mb_run-3_bold	0.0004984367245657568	0.01584751317617866	1	37.28572068276118	1.155007923283583	0.9581174521641794	0.4456	6324.5361	0.12898008954666879	26	6.451612903225806	2.3266984242424242	2.285272	2.603576	2.091247272727273	0.011233	-0.007821929641067982	0.03253218159079552	403	96	96	52	3.370633910039819	1.25	2.5	2.5	2.75	55.9505	53.9881	315.6919	105.0	385962.0	57.0	1379.0	704.1723	2.025	1796.4651	8090.1481	8324.0	93270.0	2633.0	11332.0	2469.5519	39.504906939400826
sub-01_ses-1_task-eye_acq-mb_run-4_bold	0.000671129411764706	0.029318789435294118	1	38.02478800169814	1.1186585135613212	0.9315991691037742	0.446	6265.6333	0.14512725987847758	80	18.823529411764707	2.3688801212121215	2.311264	2.6501799999999998	2.1451963636363636	0.00533407	-0.0074425083585083485	0.03250466659665108	425	96	96	52	3.393607526204648	1.25	2.5	2.5	2.75	54.6208	54.1691	314.5112	105.0	385941.0	57.0	1377.0	694.8369	2.0725	1774.9051	8072.4112	8302.0	93291.0	2684.0	11274.0	2446.3511	32.72676174528897
sub-01_ses-1_task-eye_acq-mb_run-5_bold	0.0008623021582733813	0.012071853189448442	1	37.30078820081731	1.194086268076923	0.9896395298798077	0.4457	6297.5371	0.13738496602907466	37	8.872901678657074	2.320110424242424	2.28262	2.598464	2.079247272727273	0.0102744	-0.007614366710186005	0.03217291459441185	417	96	96	52	3.374063984471725	1.25	2.5	2.5	2.75	56.1987	54.2341	315.9068	105.0	386066.0	57.0	1385.0	703.4944	2.0451	1793.5668	8066.1525	8304.0	93166.0	2653.0	11292.0	2461.1138	42.66280387935694
sub-01_ses-1_task-eye_acq-mb_run-6_bold	0.0007276540284360189	0.014429635710900474	2	37.11926792334919	1.1851120946793343	0.9793188057482187	0.4458	6341.7798	0.13158031535792125	38	9.004739336492891	2.3253339393939396	2.2871200000000003	2.60486	2.084021818181818	0.00869447	-0.007445614319294691	0.03189252316951752	422	96	96	52	3.371778504397311	1.25	2.5	2.5	2.75	55.1464	53.1699	315.5613	104.0	385963.0	57.0	1387.0	701.2829	2.0132	1794.8941	8066.7991	8305.0	93269.0	2619.0	11300.0	2463.0786	40.423814568668604
sub-02_ses-1_task-eye_acq-mb_run-1_bold	0.001863745928338762	0.07654564495114007	0	37.70416056915173	1.0618317342251236	0.8804330091680265	0.41	7712.6885	0.166794599690231	180	29.315960912052116	2.5169572121212123	2.4300439999999996	2.9182639999999997	2.2025636363636365	0.00605097	-0.010714631527662277	0.024629520252346992	614	96	96	52	3.512676753788097	1.25	2.5	2.5	2.75	78.3956	45.3449	264.0412	97.0	399618.0	55.0	1004.0	613.8978	2.3672	1474.4671	8199.4683	8514.0	79614.0	2713.0	11189.0	2423.7774	23.634028424159624
sub-02_ses-1_task-eye_acq-mb_run-2_bold	0.000679	0.020376969333333335	0	39.042709729115934	1.2593838990962678	0.9878020287229853	0.4098	7523.8765	0.1635876713956891	143	28.03921568627451	2.3433633939393936	2.285164	2.691668	2.053258181818182	0.00941811	-0.011031943373382092	0.025007912889122963	510	96	96	52	3.4355352168103526	1.25	2.5	2.5	2.75	76.1354	45.5798	265.1518	98.0	399479.0	56.0	993.0	628.2043	2.2947	1531.7482	8163.6206	8474.0	79753.0	2608.0	11246.0	2466.558	41.20837489364203
sub-02_ses-1_task-eye_acq-mb_run-3_bold	0.0020596215139442233	0.03767436507968128	1	39.32071069027947	1.2278469996407178	0.9760384834131731	0.4096	7618.3696	0.1732412717128629	181	36.05577689243028	2.3787551515151515	2.360412	2.719868	2.0559854545454543	0.00669755	-0.011253283359110355	0.025318065658211708	502	96	96	52	3.5088266828972596	1.25	2.5	2.5	2.75	75.5783	44.6582	270.562	97.0	400316.0	56.0	1026.0	649.0976	2.4031	1492.68	8199.2589	8492.0	78916.0	2754.0	11218.0	2420.1669	32.853668031515554
sub-02_ses-1_task-eye_acq-mb_run-4_bold	0.0009690495867768596	0.022959055661157027	1	39.05094646258798	1.229602345672878	0.9666763756107649	0.4092	7669.5498	0.17139294846507472	161	33.264462809917354	2.3422743030303033	2.28336	2.693652	2.049810909090909	0.00904969	-0.011169610545039177	0.02568936161696911	484	96	96	52	3.477094166750318	1.25	2.5	2.5	2.75	77.438	45.0968	266.0142	97.0	399948.0	55.0	999.0	637.5171	2.3928	1503.772	8168.2843	8473.5	79284.0	2654.0	11197.0	2436.9333	38.64644855679944
