trial_type.a_pha	trial_type.b_psa	trial_type.c_ia	trial_type.d_pa	trial_type.e_na	trial_type.f_phi	trial_type.g_psi	trial_type.h_ii	trial_type.i_pi	trial_type.j_ni	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-1.2616919370446908e-15	1.4378763385628645e-15	1.525826227905332e-13	3.1276944334815857e-15	-2.1745680183511495e-15	-5.964990147404927e-06	3.629396750019117e-15	-2.231973379329767e-15	-2.010881428875612e-15	-1.665148776612351e-15	-7.641984577893399e-06	0.0199003000000008	-3.0832712556395765e-16	-7.2496572772554155e-16	0.0003960219400892	-0.0035721699999993	-2.631219107480447e-16	-5.017478339933298e-16	1.2760398508502762e-05	0.2096029999999985	-5.796074874703602e-16	-5.738913842814696e-16	0.043933417608999	-0.0019310499999989	4.803221404724666e-16	4.706056322129355e-16	3.728954103048401e-06	-0.0007524160000028	1.2340970017730896e-16	8.635631482813614e-16	5.661298350178674e-07	0.0004400040000007	-2.042575161181539e-16	-1.6897399002424358e-16	1.9360351881366386e-07	0.1097593458000041	0.109744603700002	0.1097200350000024	0.1096856419000034	1
-2.041551364074446e-15	1.0623579595079917e-15	1.300502783055091e-13	2.7200150084191264e-15	-2.318876119406533e-15	1.367077544647025e-05	3.322911213920649e-15	-2.467670097062647e-15	-2.2841062447023717e-15	-2.029590752399067e-15	2.0154197129247737e-05	0.0119172000000002	-0.0079831000000001	6.372988560953133e-05	0.0001420196558387	0.0476113000000031	0.0511834699999997	0.0026197476012397	0.0022668358876931	0.1191389999999966	-0.0904640000000017	0.0081837352960005	0.0141941013209981	-0.0024144000000006	-0.000483350000001	2.3362722279842926e-07	5.82932736018289e-06	-0.0007524160000022	3.388429534787525e-16	-1.3639735285481985e-17	5.661298350101885e-07	0.0001929140000001	-0.0002470900000003	6.105346744663271e-08	3.7215810857365756e-08	0.109720035000004	0.1095873956000017	0.1093664487000026	0.109057372400003	1
-1.411875311094447e-15	1.2037838413479729e-15	-1.7874045265571314e-12	2.6171396505229444e-15	-2.418543805744561e-15	-2.997727565448513e-05	3.09292188040446e-15	-2.415276474154794e-15	-2.166661124688218e-15	-1.930698935427885e-15	-5.224382212453246e-05	0.0073312999999995	-0.0045858999999999	2.1030478809442087e-05	5.374795968977507e-05	-0.0396479999999995	-0.0872593000000023	0.0076141854364911	0.0015719639039986	0.084963999999996	-0.0341750000000007	0.0011679306249995	0.007218881295998	-0.0027839700000019	-0.0003695700000002	1.365819852457976e-07	7.75048896090538e-06	-0.0007524160000023	3.8008498603701164e-16	2.4719896706611604e-16	5.661298353781548e-07	6.921069999919078e-05	-0.0001237033	1.530250677668236e-08	4.790120857780007e-09	0.1096414274000036	0.1092732046000022	0.1086604158000025	0.1078044323000029	1
-1.4583581820807214e-15	1.0415217902112689e-15	8.429551973892957e-12	2.700962708977743e-15	-2.316669315502434e-15	6.135316301368325e-05	3.0185842095993583e-15	-2.541124992355538e-15	-2.3322483767354367e-15	-2.0180107673384138e-15	0.0001329378705823	0.0001334459999987	-0.0071978539999997	5.180910220462047e-05	1.7807835284578142e-08	-0.0181907000000007	0.0214573000000007	0.0004604157232896	0.0003309015664891	0.1101429999999963	0.0251790000000005	0.000633982040999	0.012131480448998	-0.0017948500000011	0.0009891200000017	9.78358374885969e-07	3.221486522007329e-06	-0.0006064680000021	0.0001459480000005	2.130081867432424e-08	3.678034336061407e-07	-7.65768439090038e-16	-6.921069999986398e-05	4.7901216761465324e-09	-3.7893904821042414e-16	0.1095235513000037	0.1088024808000022	0.1076042113000024	0.1059339981000029	1
-1.349845040305088e-15	1.0006874130925732e-15	-3.174630486123072e-11	2.798661307202588e-15	-2.493080721550821e-15	-0.0001047565879656	3.0716742319909312e-15	-2.574120236923529e-15	-2.419864589419952e-15	-2.096788873151204e-15	-0.0003260717812526	0.0183741999999996	0.0182407540000007	0.0003327251064879	0.0003376112256398	-0.0181776000000002	1.310000000024715e-05	1.7160957073798202e-10	0.0003304251417594	0.2003639999999971	0.090221000000001	0.0081398288409992	0.0401457324959984	-0.00184891	-5.405999999891444e-05	2.922484351878958e-09	3.418468188155882e-06	-0.0003326260000013	0.0002738420000009	7.498944100173906e-08	1.1064005538490529e-07	-7.032140191892847e-16	-1.572956988184384e-16	-7.026244910748294e-17	-5.618433045569099e-16	0.1093664487000039	0.108175898600002	0.1062012391000022	0.103456783500003	1
-1.3304663521039685e-15	1.0084443675123562e-15	1.0749496173811332e-10	3.087418436583232e-15	-2.1975158903194668e-15	0.0001306803164456	3.2781522581108807e-15	-2.5118961990555386e-15	-2.608904410199076e-15	-2.196315238430712e-15	0.0007644309172007	0.0396869000000017	0.0213126999999999	0.0004542311812895	0.0015750500316107	0.034405100000002	0.0525827000000004	0.0027649403392893	0.0011837109060116	0.2752939999999979	0.0749300000000005	0.0056145048999994	0.0757867864359997	-0.0030058700000001	-0.0011569599999997	1.3385564426026702e-06	9.035254456183111e-06	0.0001132780000016	0.000445904000001	1.988303775797719e-07	1.2831907351643748e-08	0.0006480270000014	0.0006480270000018	4.1993899306735917e-07	4.1993899299801814e-07	0.1091701761000043	0.1073943553000016	0.1044560204000022	0.1003869779000034	1
-1.344868937759261e-15	9.134266330101297e-16	-3.417098161148541e-10	2.7738261838136883e-15	-2.6995982516620813e-15	-0.0003754704317574	3.293990854122809e-15	-2.431526049762718e-15	-2.506246537443706e-15	-1.861760621009872e-15	-0.0018984959456725	-0.0278235000000013	-0.0675104000000022	0.0045576541081617	0.000774147152252	-0.0671034000000009	-0.101508500000002	0.0103039755722517	0.0045028662915592	0.235986999999998	-0.039307000000001	0.0015450402489994	0.0556898641689992	-0.0017569499999997	0.0012489200000003	1.5598011628922582e-06	3.0868733020928805e-06	0.0001813490000017	6.80709999985944e-05	4.633660618409446e-09	3.2887462302199733e-08	0.0004850570000025	-0.0001629700000006	2.6559221206895382e-08	2.3528029403965677e-07	0.1089348037000041	0.1064589707000016	0.1023741793000023	0.096742164700003	1
-1.425448855128759e-15	9.99516980162738e-16	1.0399426550462588e-09	2.4224881317552818e-15	-2.1453898779778087e-15	0.022742575959492	3.654027780301528e-15	-2.717645819292647e-15	-2.5629531297197408e-15	-2.4403937140544665e-15	0.0233002560590909	0.0241622999999994	0.0519858000000027	0.0027025234016413	0.0005838167412887	0.0015406799999995	0.0686440800000014	0.0047120097190465	2.3736948613073338e-06	0.0994551999999962	-0.1365318000000028	0.0186409324112416	0.0098913368070383	-0.001509980000001	0.0002469699999993	6.099418003029898e-08	2.2800396012710698e-06	0.0001315390000017	-4.981000000017391e-05	2.4810349696650502e-09	1.7302511371584727e-08	0.0002768330000016	-0.0002082240000013	4.3357233599165796e-08	7.663650948676571e-08	0.1086604158000036	0.1053710847000019	0.0999624250000023	0.0925432212000029	1
-1.7435999675450613e-15	1.0779604638921172e-15	-3.062830303421203e-09	2.5701691512995843e-15	-2.4757803946481204e-15	0.2675265335311192	3.083159759569033e-15	-2.1663727752442483e-15	-1.9848204212206058e-15	-1.4164859960956876e-15	0.1251066662842727	0.0036599399999996	-0.0205023600000007	0.0004203467655691	1.3395160803356277e-05	0.0134673000000015	0.0119266199999995	0.0001422442646234	0.0001813681692906	0.0806327999999963	-0.0188224000000002	0.0003542827417593	0.0065016484358374	-0.0015330600000005	-2.3079999999790877e-05	5.326859822264131e-10	2.3502729635972053e-06	2.4393100000876573e-05	-0.000107145900001	1.1480243728014762e-08	5.950232923757803e-10	-8.540088299230077e-17	-0.0002768330000009	7.66365104294159e-08	1.6423624173432174e-16	0.108347110600003	0.1041322555000015	0.0972285296000019	0.0878141985000025	1
-2.0592813245942908e-15	1.1324856757141658e-15	8.776057584274041e-09	2.368140608715603e-15	-2.5702210296915278e-15	0.6794518128669487	2.6332931568796974e-15	-2.5111301214929814e-15	-1.328950509880577e-15	-4.339264022603436e-15	0.1489411916346051	0.0160553999999998	0.0123954600000005	0.0001536474286111	0.0002577758691599	-0.0294795	-0.0429468000000009	0.0018444276302399	0.0008690409202494	0.0474184999999966	-0.0332143000000005	0.0011031897244898	0.0022485141422474	-0.0017152100000007	-0.0001821500000001	3.3178622743718976e-08	2.941945344888105e-06	0.0001696149999998	0.0001452219000008	2.1089400489978573e-08	2.876924759092717e-08	0.0001471940000001	0.0001471940000005	2.1666073186328343e-08	2.1666073165200416e-08	0.1079950004000023	0.1027442580000009	0.0941813033000014	0.0825821840000025	1
-2.3677663520145343e-15	1.1661956377731345e-15	-2.4541042901385977e-08	2.1442386853597373e-15	-2.770599919142836e-15	0.9787645604133396	2.700508702563737e-15	-2.4333539502146168e-15	-1.3761157361372433e-15	2.057944275883897e-15	0.0879951392528829	0.00985762	-0.0061977800000003	3.841247692811439e-05	9.71726720642866e-05	-0.0316452000000013	-0.0021656999999994	4.690256489912593e-06	0.0010014186830394	-0.0106749000000036	-0.0580934000000007	0.0033748431235603	0.000113953490008	-0.0015578500000002	0.0001573599999996	2.4762168835850072e-08	2.4268966228943967e-06	0.0004155859999996	0.0002459710000012	6.050173289961281e-08	1.7271172350655389e-07	0.0001646710000006	1.7477000000469336e-05	3.0544532845696896e-10	2.7116538030109774e-08	0.1076042113000017	0.1012090802000003	0.0908305662000011	0.0768771463000023	1
-2.3860101879901018e-15	1.2701868650496726e-15	6.728765438607546e-08	2.197908542740768e-15	-2.5826743636738197e-15	1.11400194250496	2.585522014504881e-15	-2.3550545795779123e-15	-1.1457133423422501e-15	-1.4100620848681442e-14	0.0337033115646496	0.0069104199999994	-0.0029471999999999	8.685987839854018e-06	4.775390457658758e-05	-0.0045597100000003	0.0270854900000006	0.0007336237685399	2.0790955283707843e-05	-0.0163632000000033	-0.0056882999999996	3.235675688980779e-05	0.0002677543142381	-0.0015699200000002	-1.2070000000257992e-05	1.456847530093767e-10	2.4646488064422404e-06	0.0004427999999994	2.7213999999685968e-05	7.406013759814812e-10	1.9607183998673778e-07	-0.0001260119999998	-0.0002906830000007	8.44966072145811e-08	1.5879024759465623e-08	0.1071748832000015	0.0995289214999998	0.087187116500001	0.070731763200002	1
