bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-1001_T1w	0.5443280141843971	1.9710793840389724	0.5341	19364.5667	4.077400000000001	4.08258	4.02925	4.12037	0.2611289796381455	0.39081443233480734	0.3480565880270471	0.4604616165161133	0.14247341454029083	0.0	0.0017006697332385481	7.26720404347295	7.198466746879178	7.304029924742928	192	224	224	2.035781173791905	6.070437465183818	6.499081556294169	11.391026029906785	28.423352022426915	43.29095154185022	44.20716215649255	60.90718290520053	1.0	1.0	1.0	18.4553	0.0	5.4915	0.0	3663268.0	0.0	26.0	10.4874	-0.7977	151.2307	444.2291	455.0	340417.13857635274	64.0	784.0	223.5011	-0.6208	90.7856	696.2558	693.0	509479.7634261593	513.0	895.0	114.1597	-0.4247	62.7149	953.2268	975.0	453739.0982915926	783.0	1061.0	85.5936	0.2260019090694631	0.5448522813720131	0.547391051630613	0.8718706880135578
sub-1002_T1w	0.5582794979079497	1.7686872592240197	0.577	35804.0937	4.170013333333333	4.09375	4.15837	4.25792	0.267077914577518	0.38315203800244857	0.3497700474200334	0.41628463566303253	0.1415238380432129	0.0	0.0003153834262357742	5.24782005409505	5.161419396199933	5.243431726095039	192	224	224	1.885826895478731	6.569538877226802	7.091066649193535	12.81783417487507	72.3505984676354	127.0462662087186	122.60368560105678	168.41419212681635	1.0	1.0	1.0	5.4857	0.0	2.4017	0.0	2784582.0	0.0	10.0	3.785	-0.7378	179.4784	428.5117	418.0	481599.1690379591	75.0	780.0	221.6532	-0.379	78.7081	740.6307	734.0	690905.8856816186	565.0	957.0	111.7277	-0.2988	54.7207	955.0747	973.0	630710.9461234174	801.0	1051.0	75.9098	0.1988876192032701	0.5256205100229024	0.5446140075650059	0.8728882861978812
sub-1003_T1w	0.6132056451612903	1.6211155506476866	0.6134	11746.3642	4.817623333333334	4.50474	5.14917	4.79896	0.27410485466636714	0.37698496995908165	0.3489101753745512	0.5106464624404907	0.2066133856773376	0.0	0.0006289445905628912	7.271939874171851	7.16808823386793	7.253886766064966	192	224	224	1.8768142045827672	5.771385025861286	6.031078086488836	10.445035029022455	42.23982104537848	75.98868569741116	73.62411556255536	102.64383994487646	1.0	1.0	1.0	528.8025	0.0	3.1713	0.0	2076284.0	0.0	11.0	6.0954	-0.8034	168.6398	399.1686	393.0	358366.6059815639	67.0	737.0	209.3971	-0.2975	84.2244	712.8501	707.0	492872.78897244076	517.0	946.0	122.5008	-0.5023	67.8506	930.7813	955.0	456167.605982764	751.0	1046.0	91.4309	0.19523028939529985	0.5368165313843724	0.54960072076473	0.8663364959417533
sub-1004_T1w	0.5207361403508772	1.976018790891406	0.5746	5623.0647	4.017313333333334	3.95364	3.99201	4.10629	0.2663668564658269	0.3870230471676147	0.3466100963665584	0.47925710678100586	0.2010310798883438	0.0	0.0007316430092300335	6.083778833288701	6.022290535678476	6.131856622464375	192	224	224	2.018494979345444	5.759167080013972	6.78906006315911	12.589518130117913	50.26424220963173	76.5563073654391	78.28701753675975	108.0405030352084	1.0	1.0	1.0	15.6758	5.9304	10.7778	4.0	3101679.0	0.0	44.0	16.974	-0.6432	153.4887	445.3174	455.0	413237.01301012957	58.0	786.0	225.4152	0.1138	89.5657	697.8343	693.0	600420.9761665368	505.0	918.0	120.3298	-0.2106	58.8441	962.2689	978.0	537725.0112948848	807.0	1062.0	77.6836	0.2121437562946109	0.5257319577494655	0.5288299813941416	0.8766616865246851
sub-1006_T1w	0.489145090909091	2.0177305372759538	0.5684	25645.7347	4.0812100000000004	3.99923	4.09581	4.14859	0.2633018772687924	0.3895732494479034	0.34712487328330416	0.4372904598712921	0.15245204567909243	0.0	0.00032948264160335484	6.2886087280452925	6.217833921908009	6.310658614196065	192	224	224	1.9411027799691332	6.600245429937148	6.684785875442965	11.51300941642261	72.596011445219	119.80046020185205	119.6868514202476	166.6640826136718	1.0	1.0	1.0	5.8277	0.0	2.2651	0.0	2811640.0	0.0	10.0	3.8444	-0.7297	163.2437	431.836	426.0	396618.2004106804	81.0	769.0	219.4626	-0.3845	78.4139	707.8241	703.0	586823.9251725301	537.0	898.0	106.5111	-0.3373	56.101	953.3386	978.0	522882.8749248249	777.0	1055.0	84.9473	0.22138509601677342	0.5400079349666698	0.5586992993852719	0.883954100228922
sub-1007_T1w	0.5430868613138686	1.6995775368971586	0.5492	15993.9104	4.295380000000001	4.2464	4.23509	4.40465	0.2769172805919792	0.37689497603711786	0.34618774337090297	0.4144928604364395	0.11866735666990275	0.0	0.001595087289286374	6.7986220955425205	6.70422628045328	6.7952703376086845	192	224	224	1.648698777860496	5.161884288501872	5.9019592708541255	10.895294746200012	50.963891002293266	102.2223709699177	98.58910706416653	142.58105922028867	1.0	1.0	1.0	5.3683	4.4478	3.4966	3.0	2846202.0	0.0	12.0	4.611	-0.6621	172.0561	371.2829	346.0	386729.935994147	50.0	722.0	209.8622	-0.1861	89.0234	699.1791	694.0	526354.1865201024	481.0	960.0	134.4469	-0.4431	59.7824	941.0981	968.0	483469.87789849506	758.0	1046.0	88.8456	0.19053377225662665	0.5240999618977923	0.5427858924440583	0.8946832165065898
sub-1009_T1w	0.5036417266187051	1.9971168464599223	0.5505	-1.0	3.9088600000000002	3.82011	3.94013	3.96634	0.26673720646464383	0.3880639896687509	0.3451988038666053	0.4590027928352356	0.16593757271766663	0.0	0.0027300742168636103	6.498504031841651	6.434441507341724	6.541818917903061	192	224	224	2.0968881150393526	6.101828981271822	6.871538290691038	12.415897775761936	89.47527214929062	134.98424677694706	137.68393171248601	188.5922762112203	1.0	1.0	1.0	9.0796	0.0	1.7001	0.0	3296312.0	0.0	9.0	3.3974	-0.5432	147.7341	455.3512	464.0	388022.3476349865	69.0	787.0	221.28	-0.1191	83.3368	704.1062	700.0	564516.2978934736	518.0	913.0	114.7196	-0.3799	56.6756	959.2453	978.0	502160.35495169624	798.0	1057.0	78.7699	0.22147055472300872	0.5283496368067605	0.5386070036765882	0.892786636971509
sub-1010_T1w	0.5641915708812261	1.7069091909304792	0.596	-1.0	3.9987	3.82427	4.08039	4.09144	0.2683493919435534	0.380493775814407	0.3511568322420396	0.4449528455734253	0.16568952202796933	0.0	0.0004796070933782719	5.717461274107663	5.628101565767847	5.73263528852644	192	224	224	2.055033313216304	5.566337596927307	6.409322847980268	11.606597633797195	39.849925123316524	64.54053932272903	64.20770016072716	88.2326360361359	1.0	1.0	1.0	2243.5568	0.0	2.0049	0.0	3006468.0	0.0	9.0	7.2172	-0.5421	151.4416	444.1166	439.0	442917.9169539658	98.0	777.0	213.6216	-0.5726	87.3727	715.7353	711.0	628015.2504802982	509.0	959.0	127.732	-0.4442	59.8813	949.7562	972.0	579593.8330037785	781.0	1054.0	83.7454	0.21797381155659046	0.534853553842143	0.54487945020544	0.874748797067697
sub-1011_T1w	0.579793725490196	1.7973811518700014	0.5663	25756.9746	4.163520000000001	4.05429	4.10043	4.33584	0.26706364141891875	0.3816764769494799	0.3512598816316014	0.41943734884262085	0.1356251984834671	0.0	0.0006210540129363696	6.313472948694004	6.236407324945115	6.337406696736892	192	224	224	2.137126883023818	5.919556581220069	7.063980882006942	13.13525918177694	49.757194936708856	81.33824560430031	80.46730535807177	110.30647553320615	1.0	1.0	1.0	15.2657	0.0	3.1703	0.0	3358640.0	0.0	14.0	5.767	-0.6377	148.7589	444.7741	438.0	400363.3840198923	123.0	772.0	204.9478	-0.5072	90.4506	718.9537	716.0	572183.0388457334	523.0	942.0	120.9549	-0.4424	57.3968	954.9307	971.0	526584.5778679344	808.0	1050.0	73.9231	0.21871355283516583	0.5394823434035738	0.5500884056123778	0.8826321411327687
sub-1012_T1w	0.5083750915750915	1.9243695923121678	0.5463	-1.0	4.003503333333334	3.8867	4.03695	4.08686	0.26496853173829893	0.38933036051251996	0.34570110774918106	0.4748518168926239	0.18595135211944575	0.0	0.002093518643348192	6.781169273180811	6.700813940660179	6.793739509509849	192	224	224	2.0500668430070648	6.817434238810496	6.236850158229089	9.843049392869705	85.72562279463655	134.0787268877911	135.491433780287	186.6699516584333	1.0	1.0	1.0	8.9253	0.0	1.7479	0.0	3422730.0	0.0	9.0	3.4008	-0.562	146.7711	442.0118	445.0	370420.4431255183	78.0	769.0	217.0658	-0.0907	73.7789	699.8916	696.0	544275.6681978483	533.0	878.0	102.0911	-0.5259	65.0075	937.1369	969.0	483282.88903344126	736.0	1054.0	98.445	0.21205997534525997	0.5467510889406964	0.557526348639094	0.8806495808525818
