trial_type.DOOR-CON	trial_type.DOOR-VG-go	trial_type.DOOR-VG-no-go	trial_type.DOOR-VM-go	trial_type.DOOR-VM-no-go	trial_type.Inst_CON	trial_type.Inst_VG	trial_type.Inst_VM	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
1.1449872756606433e-17	3.0506439392295417e-24	3.1053239343234256e-47	2.3523407217891016e-26	2.1315962569678086e-16	4.401801635380861e-17	5.0787509997577954e-23	2.177398817261445e-14	-0.0465405246122969	0.0	0.0	0.0021660204311878	-0.0403946865113624	0.0	0.0	0.0016317306983512	0.036230143343829	0.0	0.0	0.0013126232867143	-0.0049199859255114	0.0	0.0	2.420626150723027e-05	0.0021891394541107	0.0	0.0	4.792331549544094e-06	-0.0037056463816948	0.0	0.0	1.3731815106167762e-05	0.0738206709	0.0738186424	0.0738152616	0.0738105285	1
-3.430008017104472e-17	-1.3561213386087526e-23	-8.244673499587801e-47	-6.860436487395342e-26	6.526270077082444e-16	-9.283274686095376e-17	-1.6613816384769625e-22	-7.618466784403542e-14	-0.0563168986456616	-0.0097763740333646	9.557748924024751e-05	0.0031715930730657	-0.0694674771470289	-0.0290727906356665	0.0008452271553452	0.0048257303811729	0.0555828860504163	0.0193527427065873	0.0003745286502673	0.0030894572216935	-0.0045680646265396	0.0003519212989718	1.2384860066999924e-07	2.086721443224237e-05	0.0021678908641689	-2.1248589941800025e-05	4.515025745147651e-10	4.69975079894698e-06	-0.003664080809857	4.1565571837799686e-05	1.7276967622032863e-09	1.342548818116233e-05	0.0738152616	0.0737970061	0.0737665836	0.0737239991	1
9.938546461202124e-17	4.934837418112356e-23	2.148415912262778e-46	1.9454517937941448e-25	-4.8264709374084156e-15	1.8025011342998075e-16	5.132081153951842e-22	2.4565744543444217e-13	-0.0459923533198178	0.0103245453258438	0.0001065962361854	0.0021152965638949	0.0304511807678693	0.0999186579148982	0.0099837381995144	0.0009272744101574	0.13400500263009	0.0784221165796736	0.0061500283688359	0.0179573407298904	-0.005301563663917	-0.0007334990373774	5.380208378335726e-07	2.8106577282565045e-05	0.0024562108572236	0.0002883199930547	8.31284183950623e-08	6.032971775143093e-06	-0.0036540295786245	1.0051231232500232e-05	1.0102724928918811e-10	1.335193216146274e-05	0.0738044433	0.0737537398	0.0736692598	0.0735510419	1
-2.803202496427278e-16	-1.6282446335372141e-22	-5.4943167968635886e-46	-5.387591734518639e-25	2.051386736909392e-14	-2.998043965670561e-16	-1.5223189900470001e-21	-7.514439668038522e-13	-0.0427010260558802	0.0032913272639375	1.0832835158338952e-05	0.0018233776262249	0.0182197254314502	-0.0122314553364191	0.0001496084996468	0.0003319583947974	0.0984664949283455	-0.0355385077017444	0.0012629855296669	0.0096956506234738	-0.0055851174612811	-0.000283553797364	8.0402755999601e-08	3.119353705630704e-05	0.0024571222726597	9.114154360997244e-07	8.306780971608509e-13	6.037449862800369e-06	-0.0036131820896832	4.084748894129988e-05	1.6685173528096159e-09	1.3055084813207457e-05	0.0737882169	0.0736888563	0.0735233542	0.0732918594	1
7.726664178159957e-16	5.05890676571784e-22	1.3778863424255172e-45	1.4609578942719151e-24	-7.321064225197893e-14	3.225547285498867e-16	4.376729564313781e-21	2.2126915706024256e-12	-0.0538733574573342	-0.011172331401454	0.0001248209889439	0.0029023386437257	-0.0529711917241115	-0.0711909171555617	0.00506814668545	0.0028059471526725	0.0438255393005135	-0.054640955627832	0.0029856340319227	0.0019206778949808	-0.0042000584212913	0.0013850590399897	1.918388544257466e-06	1.7640490742259967e-05	0.0021622306179649	-0.0002948916546947	8.696108800863711e-08	4.675241245264873e-06	-0.0036739840280877	-6.080193840450002e-05	3.696875713744615e-09	1.3498158638643522e-05	0.0737665836	0.0736023744	0.0733289633	0.0729467557	1
-2.086309134672937e-15	-1.5070822600268186e-21	-3.382962645498649e-45	-3.8853177326310275e-24	2.388761939775471e-13	3.74391563015204e-16	-1.226433396161805e-20	-6.324177499902678e-12	-0.0598568651509765	-0.0059835076936422	3.580236431987654e-05	0.0035828443057021	0.0004688183663006	0.0534400100904121	0.0028558346784633	2.197906605807636e-07	0.0331971778073523	-0.0106283614931612	0.0001129620680293	0.0011020526143729	7.316694754772686e-05	0.004273225368839	1.826045505288944e-05	5.353402213451813e-09	0.0023103645182613	0.0001481339002963	2.194365241702374e-08	5.337784207240768e-06	-0.0040391017988107	-0.0003651177707229	1.3331098649773294e-07	1.631434334115583e-05	0.0737395449	0.0734943197	0.073086215	0.0725161352	1
5.5259195692739456e-15	4.347838257016818e-21	8.108533138857328e-45	1.0140784647879868e-23	-7.366658730334329e-13	-4.134351575252689e-15	3.3610917005821517e-20	1.7632820647937383e-11	-0.0499646803143178	0.0098921848366586	9.785532084262028e-05	0.0024964692789119	0.0990360056400874	0.0985671872737868	0.0097154904070657	0.0098081304131434	0.0368649517551062	0.0036677739477539	1.3452565731822245e-05	0.0013590246679063	-0.000554303917686	-0.0006274708652337	3.937196867171618e-07	3.072528331620479e-07	0.0021425941392718	-0.0001677703789894	2.8146900066280386e-08	4.5907096456418656e-06	-0.0039199215407516	0.0001191802580591	1.4203933911033696e-08	1.5365784885648394e-05	0.0737071028	0.0733647238	0.0727952696	0.0720005028	1
-1.4365110670163273e-14	-1.2218799163238295e-20	-1.8887244910301305e-44	-2.597567006715327e-23	2.1825243053385287e-12	1.8833706298194555e-14	-9.027396228565489e-20	-4.8108021704249706e-11	-0.0404570046642049	0.0095076756501129	9.039589626774976e-05	0.0016367692263994	-0.0005268406287939	-0.0995628462688813	0.0099127603571608	2.775610481479519e-07	-0.0132772751484395	-0.0501422269035457	0.0025142429188466	0.0001762860353673	-0.0005608711555316	-6.567237845599952e-06	4.31286129206803e-11	3.145764531073522e-07	0.0020781215078193	-6.447263145249998e-05	4.156720206409889e-09	4.318589001261161e-06	-0.0039759295845381	-5.600804378650022e-05	3.136900968790526e-09	1.5808016061205305e-05	0.0736692598	0.0732136245	0.0724563188	0.0714004629	1
3.6645321920908645e-14	3.357227356695858e-20	4.2435214172313563e-44	6.525127496040308e-23	-6.268946820661336e-12	-6.924527479656073e-14	2.3789033849020217e-19	1.2867483065624903e-10	-0.0483207428300289	-0.007863738165824	6.183837794063705e-05	0.0023348941876457	-0.0595523554723627	-0.0590255148435688	0.0034840114025483	0.0035464830423066	-0.0402718530441035	-0.026994577895664	0.000728707235765	0.0016218221476058	-0.0006202140360292	-5.934288049760006e-05	3.521577465752441e-09	3.8466545048762985e-07	0.0016782214426718	-0.0003999000651475	1.5992006210497486e-07	2.8164272106434177e-06	-0.0039189890103518	5.694057418630018e-05	3.242228988665554e-09	1.5358474863258176e-05	0.0736260185	0.0730410663	0.0720695862	0.0707167191	1
-9.165072738747979e-14	-9.038389636302671e-20	-9.077721075407478e-44	-1.6048923451306096e-22	1.7552833862159458e-11	2.298345253691442e-13	-6.152821019016576e-19	-3.3772168514366846e-10	-0.0486399606677423	-0.0003192178377134	1.0190002791442e-07	0.0023658457737595	-0.0374222785389974	0.0221300769333653	0.0004897403050766	0.0014004269310503	-0.02231964036919	0.0179522126749135	0.0003222819399253	0.0004981663462099	-0.0005509800471129	6.923398891630001e-05	4.793345221262353e-09	3.035790123165336e-07	0.0017284712625629	5.024981989109993e-05	2.525044399087982e-09	2.987612905505785e-06	-0.0034960339617128	0.0004229550486389	1.788909731692185e-07	1.2222253461449295e-05	0.0735773821	0.0728470998	0.0716353269	0.0699500728	1
