trial_type.control_moving_bars	trial_type.fixation_cross	trial_type.instruction	trial_type.rating	trial_type.watch_moving_bars	trial_type.watch_static_bars	rating	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	intercept
-4.7011753504725975e-15	0.0007613264410017	1.9009532836285142e-10	-2.601219938945036e-15	1.824851033102751e-11	-2.989044517760015e-15	1.9750000310572708e-15	-0.0163257138317496	2.744286275855252e-17	-4.687584459195974e-16	0.0002665289321159	-0.0011996068062987	1.4682157475914248e-15	-1.3597005175351085e-15	1.4390564924937686e-06	-0.0098963122139107	-2.8463086572722266e-17	8.118985992596698e-17	9.79369954366616e-05	0.000735000576965	-1.1058911154435648e-15	5.749744369956828e-16	5.402258470235057e-07	0.0002190001935239	9.69454854032701e-16	-6.255866541833392e-16	4.7961086051448764e-08	-8.047333842460886e-08	1.4786755646945142e-15	-1.9058009498676668e-15	1.0333360060793898e-14	-6.82459644815749e-15	-4.595342053046911e-15	-4.913248295728191e-16	-9.1482070152262e-16	5.446409565896569e-16	-3.410602602452769e-16	8.100531419218282e-16	-7.019519889691841e-16	6.347796339629194e-16	1
-3.828562938500995e-15	0.0015592055172073	-5.218868885087468e-10	-4.240251258149726e-15	-4.283165609975623e-11	-2.841651715489806e-15	-2.6483066761738093e-15	-0.0039386424616483	0.0123870713701006	0.0001534395371268	1.551290444068241e-05	-0.0205846064453882	-0.0193849996390854	0.0003757782110057	0.0004237260225147	-0.0194425377208342	-0.0095462255069239	9.113042142924812e-05	0.0003780122730264	0.0003999999720881	-0.0003350006048774	1.1222540573224813e-07	1.5999997768494877e-07	9.6079662796549e-07	-0.000218039396895	4.754117862023863e-08	9.257787800850502e-13	-0.000196000111957	-0.0001959196386165	3.838450444095249e-08	3.8416045252059584e-08	-6.795175760861917e-15	-4.892373183011019e-15	-5.014933701223988e-16	-7.513682581063535e-16	6.73304270725233e-16	-3.9202604423422285e-16	8.764166794072568e-16	-5.990623101571871e-16	5.614847430995044e-16	1
-3.7000517681274985e-15	0.0483373154645461	1.4214950543717556e-09	-4.757033846231654e-15	9.733520744123364e-11	-2.4450999960303685e-15	1.6705527907970686e-15	-0.0163119502388745	-0.0123733077772251	0.000153098745351	0.0002660797205947	0.0811126119127723	0.1016972183581561	0.0103423242217866	0.0065792558113087	0.0157286134817408	0.0351711512025777	0.0012370098769157	0.0002473892820571	0.0002880152216495	-0.0001119847504336	1.2540584203716216e-08	8.295276818115666e-08	8.744929369335477e-05	8.648849706249502e-05	7.480260667989277e-09	7.647379082781e-09	-0.0003520122726894	-0.000156012160734	2.4339794728461314e-08	1.2391263873609785e-07	0.0623779949000051	0.0623771210000035	0.0623756646000023	0.0623736257000013	0.0623710042000022	0.0623678002000011	0.062364013800002	0.0623596449000013	0.0623546936000019	1
-2.1394625809539866e-15	0.2078427218485567	-3.748857796776181e-09	-5.325837875126828e-15	-2.1048326838255537e-10	-1.402989495354972e-15	1.8967632115469534e-15	-0.0272428084758637	-0.0109308582369884	0.0001194836617964	0.0007421706136519	-0.0500324232804881	-0.1311450351932578	0.0171990202558411	0.0025032433793225	0.0468661902646104	0.0311375767828688	0.0009695486879097	0.0021964397899204	-1.8520806396180042e-08	-0.0002880337424541	8.296343634556692e-08	-2.4755765221880945e-16	-5.199999207106213e-05	-0.0001394492857645	1.944610476172045e-08	2.7039987074512646e-09	-0.0007109999464428	-0.0003589876737541	1.2887214913082358e-07	5.055209217221747e-07	0.0623756646000029	0.0623678002000036	0.0623546936000018	0.062336345900001	0.0623127587000016	0.0622839339000011	0.0622498739000016	0.0622105816000012	0.0621660604000015	1
-1.8123719588040344e-15	0.4558370640692151	9.77711554480711e-09	-8.694167555697958e-18	4.223855142265755e-10	-1.748085867424816e-15	2.0195612143285818e-15	-0.0188763241745439	0.0083664843013197	6.999805956474863e-05	0.0003563156143407	0.1237237172015013	0.1737561404819872	0.0301911963551997	0.0153075581981522	0.028913126951951	-0.0179530633126612	0.0003223124823086	0.0008359689101408	0.0005240082996761	0.0005240268204813	2.746041087247098e-07	2.7458469931333746e-07	3.0861108876571314e-05	8.286110095060475e-05	6.865961426727668e-09	9.524086130938888e-10	-0.0005305084231387	0.0001804915233067	3.257719018985002e-08	2.814391861787099e-07	0.062371004200002	0.0623491600000039	0.0623127587000022	0.0622618087000015	0.0621963221000015	0.0621163139000016	0.0620218030000018	0.0619128115000013	0.0617893646000018	1
-1.5663427937874663e-16	0.708260094763408	-2.4802892475129873e-08	9.321066385248377e-16	-7.519862977547844e-10	3.774733490069746e-15	2.106370789351428e-15	-0.0336827161667809	-0.014806391992238	0.0002192292438278	0.0011345253683695	0.0402451976740674	-0.0834785195274333	0.0069686632224913	0.0016196759358254	0.046740366796317	0.017827239844365	0.0003178104804684	0.0021846618882575	8.003751361767737e-05	-0.0004439707860554	1.971100598872155e-07	6.4060044091345995e-09	9.296768795162255e-05	6.210657907637109e-05	3.8572266555496835e-09	8.642991921944459e-09	-0.0008070036070649	-0.0002764951839272	7.644958601641344e-08	6.512548207901056e-07	0.062364013800001	0.0623212032000032	0.0622498739000022	0.0621500586000017	0.0620218030000012	0.0618651658000015	0.0616802186000014	0.0614670461000014	0.0612257459000017	1
1.3661584653754609e-15	0.907060115852627	6.186131550448158e-08	8.046629716491732e-16	9.754993928627095e-10	8.587600580030795e-16	2.1722280949960464e-15	-0.0333748491166136	0.0003078670501684	9.47821194736522e-08	0.0011138805535543	0.0302241714129222	-0.0100210262611416	0.000100420967325	0.0009135005375991	0.0345599235576537	-0.0121804432386633	0.0001483631974902	0.0011943883163132	0.0004540793152247	0.0003740418016077	1.3990727046782896e-07	2.0618802534655795e-07	0.0001517638235827	5.879613563257047e-05	3.456984597872349e-09	2.3032258236519303e-08	-0.001041037774202	-0.0002340341671347	5.4771991212043134e-08	1.083759645309804e-06	0.0623546936000004	0.0622839339000032	0.0621660604000021	0.0620011624000015	0.0617893646000011	0.0615308273000015	0.0612257459000015	0.0608743512000013	0.0604769091000016	1
1.3603218685780917e-15	1.037325274998988	-1.500718022433847e-07	5.071110792376986e-15	3.5666354423144126e-11	8.585379997081261e-16	2.709070833104333e-15	-0.057605284120429	-0.0242304350038172	0.0005871139804759	0.0033183687585918	0.0977655878202757	0.0675414164073536	0.0045618429303108	0.0095581101618425	0.0503417173548014	0.0157817937971461	0.0002490650154554	0.0025342885062351	0.0002891778266064	-0.0001649014886185	2.71925024853366e-08	8.362381651955994e-08	0.0003408494929952	0.0001890856694136	3.5753389531856346e-08	1.1617837646808063e-07	-0.0010415495052661	-5.117310628605711e-07	2.601897194706885e-13	1.0848253718806631e-06	0.0623430441	0.0622373577000038	0.0620613464000022	0.0618152091000017	0.0614992239000008	0.0611137478000017	0.0606592165000012	0.0601361434000012	0.0595451198000015	1
4.382828875541293e-15	1.109465807122718	3.543838213253713e-07	-5.205744734107465e-15	-7.083807873888344e-09	3.342392449410909e-15	2.3328326490949454e-15	0.043000968110988	0.1006062522314234	0.0101216179880577	0.0018490832584806	0.0269852675696255	-0.070780320250649	0.0050098537347838	0.0007282046658069	-0.0163559836717291	-0.0666977010265299	0.0044485833222257	0.0002675182018682	0.0034337215052018	0.0031445436785965	9.888154951303573e-06	1.179044337290666e-05	0.000346886807824	6.037314827535861e-06	3.644745328992075e-11	1.2033045814697137e-07	0.001680911824941	0.0027224613302061	7.4117957159139635e-06	2.825464570606641e-06	0.0623290656000003	0.062181481600002	0.0619357671000018	0.0615923098000022	0.0611516517000017	0.0606144883000015	0.0599816674000018	0.0592541874000015	0.0584331966000018	1
2.9117014405045824e-15	1.1400598401649238	-8.074898269838372e-07	7.786826761558942e-16	3.6093228178614576e-08	2.078562035871654e-15	2.2681076527571013e-15	0.0535406421287955	0.0105396740178067	0.0001110847283992	0.0028666003595629	0.133974307962404	0.1069890403927781	0.0114466547641676	0.0179491151940031	-0.002465990336474	0.0138899933352558	0.0001929319148534	6.081108339971978e-06	0.0029892827494099	-0.000444438755797	1.9752580648731037e-07	8.935811357905378e-06	0.0004310299492789	8.414314145415992e-05	7.080066680126807e-09	1.8578681705334494e-07	0.0010228584049083	-0.0006580534200395	4.330343036947793e-07	1.046239321562825e-06	0.0623127586999992	0.0621163138999999	0.0617893646000016	0.0613325977000022	0.0607469728000021	0.0600337202000024	0.0591943386000022	0.058230591400002	0.0571445035000019	1
