trial_type.cash	trial_type.control	trial_type.explode	trial_type.pumps	cash_demean	control_pumps_demean	explode_demean	pumps_demean	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
-2.450710306733405e-09	-3.473390827074485e-09	-0.0025607150427422	0.2285405278009598	-7.681137379505856e-09	-1.9165114212010623e-08	-0.0124834858352747	0.9227791539291912	0.6469669909571907	-0.0729786999999999	0.0037805000000005	1.4292180250142264e-05	0.0053258906536905	-0.0533733999999984	0.0299543000000003	0.000897260088489	0.0028487198275577	-0.1095809999999997	-0.0122377999999999	0.0001497637488393	0.0120079955609996	0.0100294000000006	-0.0008236000000015	6.783169617102038e-07	0.0001005888643599	0.0008847210000015	-0.0001332090000015	1.7744636504177394e-08	7.827312470976863e-07	0.000650761999997	2.892800000154885e-05	8.368285775268833e-10	4.234911805845337e-07	-0.0744157659000014	0.0539958876999995	-0.0240082919999999	-0.0102334157000015	0.0426618292000009	-0.0675308461000017	0.0804338397000009	-0.0790844839000011	1
6.284413105745043e-09	1.2704368541685951e-09	0.0452480142293837	0.1253525172303292	1.95584894072667e-08	7.067696639449974e-09	0.2205840693653628	0.5665408359756775	0.5357553025673246	-0.0729168000000003	6.190000000012018e-05	3.831608863490826e-09	0.00531685972224	-0.059756899999999	-0.0063835000000002	4.0749072248498687e-05	0.0035708870976072	-0.0219001999999988	0.0876808000000026	0.0076879226886423	0.0004796187600386	0.0097443199999976	-0.0002850800000011	8.127060522273112e-08	9.495177226230672e-05	0.0002524149999983	-0.0006323060000025	3.998108812910243e-07	6.371333165375172e-08	0.0009689800000003	0.0003182180000031	1.012626987287658e-07	9.389222415233444e-07	-0.0747635377000019	0.0552666915000001	-0.0264477464000002	-0.0068322673000011	0.0389598496000005	-0.0645158866000017	0.0791897184000011	-0.0805062393000011	1
-1.5768762103668955e-08	-4.5445442002326204e-10	0.1482740681715731	0.0308472983527532	-4.86995316538834e-08	-2.5509082888113397e-09	0.7228360823391485	0.2024581047981148	0.2549036659490896	-0.0729941000000007	-7.729999999948095e-05	5.975285460235976e-09	0.0053281386348077	-0.0597932	-3.630000000033609e-05	1.317689262009254e-09	0.0035752267662384	-0.109111000000001	-0.0872108000000022	0.0076057236366399	0.0119052103209999	0.0094409899999976	-0.000303329999999	9.200908879626645e-08	8.913229217746163e-05	0.0010179299999994	0.0007655150000023	5.860132184028029e-07	1.0361814855149636e-06	0.0008907240000007	-7.825600000134935e-05	6.1240000895275725e-09	7.933892433669682e-07	-0.0751031108000009	0.0565132535000002	-0.0288611000999983	-0.0034191328000008	0.035151083900001	-0.0612463124000012	0.0775202656000009	-0.0813633012000007	1
3.862352006756413e-08	1.5855823655768492e-10	0.1437411684875163	-0.0171712615809181	1.182373529185059e-07	8.991079932350838e-10	0.7007381963741188	-0.0080948781754488	0.0469483046148323	-0.0729861000000007	8.00000000104927e-06	6.399647733848377e-11	0.0053269707932077	-0.0597592000000003	3.40000000006735e-05	1.155999202897181e-09	0.003571161984638	-0.0316171000000004	0.0774939000000026	0.0060053045372113	0.0009996410124093	0.0098434899999972	0.0004025000000018	1.620062505213775e-07	9.68942953795675e-05	0.000776661	-0.0002412690000018	5.821072769810542e-08	6.032023074374392e-07	0.0008766659999998	-1.4058000000483485e-05	1.9762589039845963e-10	7.685432742651939e-07	-0.075434447900001	0.0577350269000008	-0.0312459713999987	-2.997080525449331e-16	0.0312459714000008	-0.0577350269000013	0.0754344479000011	-0.0816496581000011	1
-9.197887916810764e-08	-5.3713766477425247e-11	0.0768042145753766	-0.0358529117447087	-2.785955218140818e-07	-3.0832030022938315e-10	0.3744205460538806	-0.0843464723152041	-0.0568550996266282	-0.0730100000000003	-2.3899999999714887e-05	5.712078162604681e-10	0.0053304600999974	-0.0962840000000014	-0.0365248000000012	0.0013340610150406	0.0092706086560007	-0.0778236000000005	-0.0462065000000016	0.0021350406422495	0.006056512716959	0.0104246999999997	0.0005812100000016	3.3780506453693256e-07	0.00010867437009	0.0008564679999992	7.980700000002101e-05	6.369155928667694e-09	7.335374349298528e-07	0.0010324800000014	0.0001558140000007	2.4278001377812764e-08	1.066014951768781e-06	-0.0757575129000012	0.0589314758000015	-0.0336000066999999	0.0034191328000001	0.0272552159000006	-0.0539958877000014	0.0729434684000017	-0.0813633012000016	1
2.1155934942362526e-07	1.7533243044298085e-11	0.0259854132949946	-0.0006780946426462	6.320734636674523e-07	1.0223950519463018e-10	0.1266788898147657	-0.2061351864257458	-0.0476079667696197	-0.0872896000000018	-0.0142796000000022	0.0002039069761619	0.0076194742681601	-0.091748000000002	0.0045360000000009	2.057529599903373e-05	0.0084176955040001	-0.0554104999999999	0.0224131000000004	0.0005023470516106	0.0030703235102487	0.0102913999999994	-0.0001333000000005	1.7768888643838613e-08	0.0001059129139585	0.0010179299999992	0.0001614619999997	2.6069974887214145e-08	1.0361814835646654e-06	0.0007517720000005	-0.0002807080000025	7.879698367574919e-08	5.651611391377308e-07	-0.0760722702000005	0.0601020755000021	-0.0359208828000011	0.0068322673000002	0.0231897558000005	-0.0500436514000015	0.070060706200002	-0.0805062393000022	1
-4.646692474567282e-07	-5.446666626314918e-12	-0.0012679739179899	0.1413694687966553	-1.3618397514271165e-06	-3.2435210224232296e-11	-0.0061813728508401	-0.5598591615133706	0.1247787001043786	-0.0839183000000015	0.0033713000000009	1.1365663690648204e-05	0.0070422810748892	-0.1007260000000018	-0.008978	8.060448399912614e-05	0.0101457270760009	-0.1063090000000008	-0.0508985000000017	0.0025906573022504	0.0113016034809996	0.0106727999999998	0.0003814000000013	1.454659592060518e-07	0.0001139086598404	0.0010179299999997	-3.129705901380734e-16	1.9178886268238848e-16	1.036181485126903e-06	0.0007361020000001	-1.5670000000427966e-05	2.4554712937474356e-10	5.41846153940232e-07	-0.0763786853000012	0.0612463124000025	-0.0382063093000014	0.0102334157000009	0.0190607341000004	-0.0458939156000011	0.0668016447000022	-0.0790844839000023	1
9.540064456150589e-07	1.5627260851731017e-12	-0.0124075251197484	0.2615383585602637	2.711962323755632e-06	9.661112152648952e-12	-0.0604866849587514	-0.7663243551919523	0.3389398036769019	-0.0897280000000015	-0.0058097000000007	3.3752614091074254e-05	0.0080511139840002	-0.0834017000000007	0.0173243000000007	0.0003001313704899	0.0069558435628891	-0.1248540000000015	-0.0185450000000002	0.0003439170250002	0.0155885213160006	0.0099584599999979	-0.0007143400000017	5.102816368741792e-07	9.917092556860192e-05	0.0010179299999994	-9.91262224001795e-16	4.542447180049534e-16	1.036181485544036e-06	0.0009658530000028	0.0002297510000018	5.278552325085542e-08	9.328720188638816e-07	-0.076676724600002	0.0623636846000026	-0.0404540309000015	0.0136166111000013	0.0148794683000004	-0.0415630576000008	0.0631837885000023	-0.0771080077000024	1
-1.7469841331626777e-06	-3.9720983842835866e-13	-0.0142851422302664	0.2681520524117344	-4.680645826977449e-06	-2.585991387962938e-12	-0.0696400683732934	-0.6344424517207261	0.4073275751937278	-0.087290800000001	0.0024372000000009	5.939943840935978e-06	0.0076196837646392	-0.1094720000000016	-0.0260703000000008	0.0006796605420897	0.0119841187840018	-0.1147000000000012	0.0101540000000003	0.0001031037160001	0.0131560900000001	0.011212	0.0012535400000028	1.5713625349450983e-06	0.0001257089440033	0.0007395809999985	-0.0002783490000001	7.747816538072228e-08	5.469800534397372e-07	0.0006226239999998	-0.0003432290000038	1.1780615003681833e-07	3.876606453446161e-07	-0.0769663555000017	0.0634537020000023	-0.0426618292000014	0.0169759185000012	0.0106574190000002	-0.0370681691000007	0.0592265694000019	-0.0745906743000022	1
2.485155478004408e-06	6.800715113276638e-14	-0.011467363668693	0.2589990763194624	5.575247542733991e-06	5.566592767193053e-13	-0.055903397884094	-0.4342823189205093	0.394170434562973	-0.0896723000000007	-0.0023815	5.6715422504067626e-06	0.0080411213872895	-0.0978128000000016	0.0116592000000004	0.0001359369446388	0.0095673438438408	-0.1674960000000018	-0.0527960000000011	0.0027874176159997	0.0280549100160026	0.0104247000000004	-0.0007873000000027	6.198412909531671e-07	0.0001086743700881	0.0011819399999992	0.0004423590000015	1.9568148680962877e-07	1.3969821640347826e-06	0.0004587449999974	-0.0001638790000007	2.6856326962140798e-08	2.1044697573686082e-07	-0.0772475461000013	0.0645158866000019	-0.044827525400001	0.0203054443000009	0.0064061583000004	-0.0324269895000005	0.0549512416000016	-0.071550140800002	1
