img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-05_run-02	mni152	0.9187363885809531	85.6318975245856	14.368102475414402	5.959861274034783
sub-02_run-03	mni152	0.9279196132486316	87.72720404925587	12.272795950744127	7.148102551475793
sub-04_run-02	mni152	0.932105504596345	88.34033892641659	11.659661073583408	7.576578630279741
sub-02_run-01	mni152	0.9270036568034109	87.5776936306309	12.422306369369098	7.050034915141027
sub-10_run-02	mni152	0.9201915260267493	86.6075270225272	13.392472977472808	6.466880849280626
sub-13_run-03	mni152	0.9263925808489588	87.15617593624069	12.843824063759318	6.785843180627511
sub-03_run-03	mni152	0.928200786378949	87.17527570140449	12.824724298595516	6.797438578149503
sub-13_run-01	mni152	0.9227846752908594	86.27658554218644	13.723414457813549	6.2868162881333145
sub-09_run-03	mni152	0.9268715672033934	87.64013103456094	12.359868965439068	7.090700660308144
sub-13_run-02	mni152	0.9211857481811111	85.99172870140612	14.00827129859388	6.1386395843174295
sub-03_run-01	mni152	0.9272753947295379	87.0794173282295	12.920582671770505	6.739589037148045
sub-12_run-02	mni152	0.9218756831306961	86.75371599129258	13.246284008707427	6.549287025271777
sub-01_run-01	mni152	0.9241532376700387	86.48134255272757	13.518657447272432	6.397184253690542
sub-04_run-01	mni152	0.9338099950420223	88.66348767090913	11.33651232909086	7.821055109108638
sub-11_run-01	mni152	0.9232547936108905	86.46324580041903	13.536754199580967	6.3872952500752005
sub-01_run-02	mni152	0.9232310799722275	86.31387938156497	13.68612061843503	6.306672415651611
sub-05_run-01	mni152	0.923451082661609	86.45568215448357	13.544317845516424	6.383169912326223
sub-08_run-02	mni152	0.9193569549950747	85.419570367513	14.580429632486998	5.8585084610392855
sub-11_run-03	mni152	0.9224879551035002	86.35494524595863	13.64505475404137	6.328662420382166
sub-15_run-01	mni152	0.9306599597585513	88.55452596109664	11.445474038903354	7.737078050249239
sub-09_run-01	mni152	0.9205637640238084	86.3533362556372	13.646663744362803	6.327798344947735
sub-10_run-01	mni152	0.9173263286344799	86.08401124314035	13.915988756859655	6.185978786502445
sub-06_run-02	mni152	0.907229894394801	83.40849278042535	16.59150721957465	5.027179970847981
sub-03_run-02	mni152	0.9269787409471636	87.03004860475329	12.96995139524671	6.710129124820659
sub-07_run-01	mni152	0.8024266055592132	67.00437812697989	32.99562187302011	2.03070511551013
sub-10_run-03	mni152	0.9178326155972101	86.30235189133285	13.697648108667163	6.300523360409966
sub-08_run-03	mni152	0.9199519386257035	85.53989378182627	14.460106218173733	5.915578522813209
sub-14_run-02	mni152	0.9237084714497992	86.29253779705577	13.707462202944232	6.295296424638031
sub-09_run-02	mni152	0.9242911627240372	87.10736421893056	12.892635781069439	6.756365858627012
sub-11_run-02	mni152	0.920928270208567	86.06213358979744	13.937866410202554	6.174699272967614
sub-14_run-01	mni152	0.9276360119543072	87.08418295205918	12.915817047940822	6.742444758145833
sub-12_run-01	mni152	0.924733970938756	87.30580193209423	12.694198067905768	6.877614597240765
sub-01_run-03	mni152	0.9196223857284596	85.6823298980395	14.317670101960497	5.984376598138488
sub-05_run-03	mni152	0.9257588325075077	86.82304101949047	13.176958980509523	6.589004424155324
sub-06_run-01	mni152	0.9034975913867528	82.74918355399123	17.25081644600876	4.796827084270352
sub-07_run-03	mni152	0.8070238474094301	67.64813869304068	32.35186130695932	2.0910122620514775
sub-07_run-02	mni152	0.8020295591966101	66.94902744501346	33.050972554986544	2.025629573642079
sub-06_run-03	mni152	0.9049522214978184	83.00919340113379	16.990806598866218	4.8855357700718525
sub-15_run-02	mni152	0.9293389946008282	88.58980173891652	11.41019826108348	7.764089607545898
sub-04_run-03	mni152	0.931553309614811	88.24560272200706	11.754397277992936	7.507454498515555
sub-08_run-01	mni152	0.9189186012572308	85.39980411218765	14.600195887812356	5.849223172647697
sub-15_run-03	mni152	0.9283852595506431	88.2989548744472	11.701045125552783	7.546245136822833
sub-02_run-02	mni152	0.9272797675124148	87.5988023048843	12.401197695115696	7.063737266230804
sub-12_run-03	mni152	0.919517110598018	86.39057444873495	13.609425551265039	6.347848711417851
